Lambda	Spectrum	Dark	SpecMinusDark
268.175	323.5	0	323.5
268.319	320.5	0	320.5
268.463	334.5	0	334.5
268.607	283.25	0	283.25
268.751	324.75	0	324.75
268.895	349.75	0	349.75
269.039	338.5	0	338.5
269.183	341.25	0	341.25
269.327	367.5	0	367.5
269.47	369.25	0	369.25
269.614	340.75	0	340.75
269.758	381.75	0	381.75
269.902	356	0	356
270.046	373.25	0	373.25
270.19	382	0	382
270.334	394.75	0	394.75
270.477	405.75	0	405.75
270.621	394	0	394
270.765	439	0	439
270.909	413	0	413
271.053	404.25	0	404.25
271.196	396.75	0	396.75
271.34	448.25	0	448.25
271.484	407	0	407
271.628	428.75	0	428.75
271.771	429	0	429
271.915	425.25	0	425.25
272.059	427.5	0	427.5
272.202	417.25	0	417.25
272.346	423.75	0	423.75
272.49	465.75	0	465.75
272.634	470	0	470
272.777	440	0	440
272.921	426.5	0	426.5
273.064	436.75	0	436.75
273.208	460.75	0	460.75
273.352	455.25	0	455.25
273.495	454	0	454
273.639	458	0	458
273.783	453.75	0	453.75
273.926	431.25	0	431.25
274.07	453.5	0	453.5
274.213	449.25	0	449.25
274.357	480	0	480
274.5	510.25	0	510.25
274.644	522	0	522
274.787	575.5	0	575.5
274.931	552	0	552
275.074	540.25	0	540.25
275.218	515	0	515
275.361	505.25	0	505.25
275.505	496.75	0	496.75
275.648	530.25	0	530.25
275.792	493	0	493
275.935	522.25	0	522.25
276.079	504	0	504
276.222	508.75	0	508.75
276.366	495	0	495
276.509	495.75	0	495.75
276.652	488.5	0	488.5
276.796	476.25	0	476.25
276.939	505.75	0	505.75
277.082	513.25	0	513.25
277.226	531.25	0	531.25
277.369	580	0	580
277.513	573	0	573
277.656	511.75	0	511.75
277.799	545	0	545
277.942	534.5	0	534.5
278.086	519	0	519
278.229	526.25	0	526.25
278.372	565.25	0	565.25
278.516	562.25	0	562.25
278.659	602.75	0	602.75
278.802	595.25	0	595.25
278.945	574	0	574
279.089	572	0	572
279.232	553	0	553
279.375	578.75	0	578.75
279.518	663	0	663
279.661	641.75	0	641.75
279.805	643	0	643
279.948	613.25	0	613.25
280.091	627.25	0	627.25
280.234	585.75	0	585.75
280.377	597.25	0	597.25
280.52	612.25	0	612.25
280.663	588	0	588
280.806	589	0	589
280.95	580.75	0	580.75
281.093	579.5	0	579.5
281.236	608.5	0	608.5
281.379	653.25	0	653.25
281.522	640	0	640
281.665	644.25	0	644.25
281.808	626.75	0	626.75
281.951	575.5	0	575.5
282.094	580	0	580
282.237	615.25	0	615.25
282.38	646	0	646
282.523	622.75	0	622.75
282.666	635.75	0	635.75
282.809	633.75	0	633.75
282.952	600.5	0	600.5
283.095	664.25	0	664.25
283.238	689.75	0	689.75
283.381	682.75	0	682.75
283.523	648.25	0	648.25
283.666	685.5	0	685.5
283.809	653.5	0	653.5
283.952	717.75	0	717.75
284.095	768.75	0	768.75
284.238	837.5	0	837.5
284.381	864.25	0	864.25
284.524	815	0	815
284.666	861.25	0	861.25
284.809	850.75	0	850.75
284.952	828.75	0	828.75
285.095	777.5	0	777.5
285.238	728	0	728
285.38	725	0	725
285.523	711.25	0	711.25
285.666	766.75	0	766.75
285.809	759.75	0	759.75
285.951	803.75	0	803.75
286.094	827	0	827
286.237	798	0	798
286.38	773.25	0	773.25
286.522	782.25	0	782.25
286.665	774.25	0	774.25
286.808	809.75	0	809.75
286.95	804	0	804
287.093	833	0	833
287.236	887.5	0	887.5
287.378	865	0	865
287.521	810.75	0	810.75
287.663	799.25	0	799.25
287.806	886	0	886
287.949	865	0	865
288.091	808	0	808
288.234	776.25	0	776.25
288.376	760.5	0	760.5
288.519	720.25	0	720.25
288.661	754	0	754
288.804	856.75	0	856.75
288.946	862	0	862
289.089	893	0	893
289.231	837.5	0	837.5
289.374	867.25	0	867.25
289.516	825.75	0	825.75
