Lambda	Spectrum	Dark	SpecMinusDark
268.175	72.25	0	72.25
268.319	66	0	66
268.463	74.25	0	74.25
268.607	96.5	0	96.5
268.751	83.25	0	83.25
268.895	82.5	0	82.5
269.039	75	0	75
269.183	67	0	67
269.327	69.25	0	69.25
269.47	82.5	0	82.5
269.614	82.75	0	82.75
269.758	88.75	0	88.75
269.902	82.5	0	82.5
270.046	80.5	0	80.5
270.19	90.75	0	90.75
270.334	77.75	0	77.75
270.477	82.75	0	82.75
270.621	96.5	0	96.5
270.765	84.25	0	84.25
270.909	71.75	0	71.75
271.053	87.75	0	87.75
271.196	73.25	0	73.25
271.34	78.75	0	78.75
271.484	83.5	0	83.5
271.628	77.75	0	77.75
271.771	78.25	0	78.25
271.915	67.5	0	67.5
272.059	76.25	0	76.25
272.202	85.25	0	85.25
272.346	65.75	0	65.75
272.49	73	0	73
272.634	71.5	0	71.5
272.777	81	0	81
272.921	85	0	85
273.064	90.75	0	90.75
273.208	86.75	0	86.75
273.352	76.25	0	76.25
273.495	73.25	0	73.25
273.639	82.5	0	82.5
273.783	62.75	0	62.75
273.926	70.75	0	70.75
274.07	69.5	0	69.5
274.213	69.5	0	69.5
274.357	59.5	0	59.5
274.5	60.25	0	60.25
274.644	74.75	0	74.75
274.787	84.75	0	84.75
274.931	78	0	78
275.074	85.75	0	85.75
275.218	78	0	78
275.361	73.25	0	73.25
275.505	86.25	0	86.25
275.648	90	0	90
275.792	88.25	0	88.25
275.935	105.5	0	105.5
276.079	95	0	95
276.222	99.5	0	99.5
276.366	85.75	0	85.75
276.509	93.5	0	93.5
276.652	120	0	120
276.796	115	0	115
276.939	108	0	108
277.082	118.75	0	118.75
277.226	116	0	116
277.369	120	0	120
277.513	135.75	0	135.75
277.656	122	0	122
277.799	102.25	0	102.25
277.942	111.5	0	111.5
278.086	107.75	0	107.75
278.229	110.25	0	110.25
278.372	117.25	0	117.25
278.516	127.5	0	127.5
278.659	113	0	113
278.802	104.75	0	104.75
278.945	97.5	0	97.5
279.089	97.5	0	97.5
279.232	97	0	97
279.375	97.5	0	97.5
279.518	103.25	0	103.25
279.661	115.25	0	115.25
279.805	100.5	0	100.5
279.948	116.5	0	116.5
280.091	105.5	0	105.5
280.234	112	0	112
280.377	113	0	113
280.52	116.75	0	116.75
280.663	119.5	0	119.5
280.806	120.75	0	120.75
280.95	124.25	0	124.25
281.093	122	0	122
281.236	105.75	0	105.75
281.379	104.25	0	104.25
281.522	106.75	0	106.75
281.665	106	0	106
281.808	98.75	0	98.75
281.951	98.75	0	98.75
282.094	93	0	93
282.237	111.25	0	111.25
282.38	98.25	0	98.25
282.523	95.75	0	95.75
282.666	104.75	0	104.75
282.809	103.5	0	103.5
282.952	109	0	109
283.095	107.5	0	107.5
283.238	116.25	0	116.25
