Lambda	Spectrum	Dark	SpecMinusDark
268.175	322.5	0	322.5
268.319	289.5	0	289.5
268.463	270.25	0	270.25
268.607	238.5	0	238.5
268.751	246.25	0	246.25
268.895	242.75	0	242.75
269.039	277.25	0	277.25
269.183	267.5	0	267.5
269.327	298.75	0	298.75
269.47	342	0	342
269.614	375.75	0	375.75
269.758	434	0	434
269.902	460.75	0	460.75
270.046	439.75	0	439.75
270.19	448	0	448
270.334	386.25	0	386.25
270.477	408	0	408
270.621	443.25	0	443.25
270.765	483.75	0	483.75
270.909	407	0	407
271.053	363.5	0	363.5
271.196	373	0	373
271.34	404.5	0	404.5
271.484	459.25	0	459.25
271.628	498	0	498
271.771	578.75	0	578.75
271.915	513	0	513
272.059	487.25	0	487.25
272.202	531	0	531
272.346	565	0	565
272.49	452.75	0	452.75
272.634	352.5	0	352.5
272.777	348.5	0	348.5
272.921	348	0	348
273.064	322	0	322
273.208	327.75	0	327.75
273.352	333.75	0	333.75
273.495	305.25	0	305.25
273.639	306	0	306
273.783	316.5	0	316.5
273.926	318.25	0	318.25
274.07	353.75	0	353.75
274.213	383	0	383
274.357	400	0	400
274.5	422.25	0	422.25
274.644	427	0	427
274.787	432.75	0	432.75
274.931	379.5	0	379.5
275.074	371.5	0	371.5
275.218	355.5	0	355.5
275.361	365	0	365
275.505	355.75	0	355.75
275.648	343.25	0	343.25
275.792	349.25	0	349.25
275.935	414.25	0	414.25
276.079	453	0	453
276.222	487.25	0	487.25
276.366	456.5	0	456.5
276.509	426	0	426
276.652	460.5	0	460.5
276.796	505	0	505
276.939	522.5	0	522.5
277.082	513.75	0	513.75
277.226	603	0	603
277.369	638.25	0	638.25
277.513	521.5	0	521.5
277.656	448.25	0	448.25
277.799	421.75	0	421.75
277.942	422	0	422
278.086	409	0	409
278.229	417.25	0	417.25
278.372	414.5	0	414.5
278.516	448.25	0	448.25
278.659	438.5	0	438.5
278.802	469	0	469
278.945	482.5	0	482.5
279.089	554.25	0	554.25
279.232	527.5	0	527.5
279.375	425.75	0	425.75
279.518	462	0	462
279.661	490.75	0	490.75
279.805	567	0	567
279.948	558.25	0	558.25
280.091	535.25	0	535.25
280.234	589.5	0	589.5
