Lambda	Spectrum	Dark	SpecMinusDark
268.175	35.75	0	35.75
268.319	40.25	0	40.25
268.463	41	0	41
268.607	34	0	34
268.751	36.25	0	36.25
268.895	28.5	0	28.5
269.039	26.75	0	26.75
269.183	34.75	0	34.75
269.327	33.25	0	33.25
269.47	32.25	0	32.25
269.614	35	0	35
269.758	37	0	37
269.902	25	0	25
270.046	31.25	0	31.25
270.19	34.25	0	34.25
270.334	37.25	0	37.25
270.477	45.25	0	45.25
270.621	36.25	0	36.25
270.765	32.75	0	32.75
270.909	39.25	0	39.25
271.053	33.75	0	33.75
271.196	40.25	0	40.25
271.34	38.25	0	38.25
271.484	37.5	0	37.5
271.628	45.25	0	45.25
271.771	45.5	0	45.5
271.915	41.25	0	41.25
272.059	51.75	0	51.75
272.202	35.5	0	35.5
272.346	35.75	0	35.75
272.49	54.5	0	54.5
272.634	55.75	0	55.75
272.777	41.5	0	41.5
272.921	41	0	41
273.064	53	0	53
273.208	47	0	47
273.352	35	0	35
273.495	31	0	31
273.639	53.25	0	53.25
273.783	52.25	0	52.25
273.926	48.75	0	48.75
274.07	45.25	0	45.25
274.213	44.75	0	44.75
274.357	38.75	0	38.75
274.5	46.25	0	46.25
274.644	55	0	55
274.787	57.25	0	57.25
274.931	55.5	0	55.5
275.074	50.5	0	50.5
275.218	41.75	0	41.75
275.361	56.25	0	56.25
275.505	66.75	0	66.75
275.648	57	0	57
275.792	44	0	44
275.935	54	0	54
276.079	55.75	0	55.75
276.222	54.5	0	54.5
276.366	52.75	0	52.75
276.509	55.25	0	55.25
276.652	56.25	0	56.25
276.796	62	0	62
276.939	71	0	71
277.082	73.5	0	73.5
277.226	63.25	0	63.25
277.369	63.75	0	63.75
277.513	56.25	0	56.25
277.656	61.25	0	61.25
277.799	65.5	0	65.5
277.942	57.75	0	57.75
278.086	68.5	0	68.5
278.229	69.75	0	69.75
278.372	44.75	0	44.75
278.516	63.5	0	63.5
278.659	50	0	50
278.802	66.5	0	66.5
278.945	70	0	70
279.089	56.5	0	56.5
279.232	50.5	0	50.5
279.375	58.75	0	58.75
279.518	62.5	0	62.5
279.661	68.75	0	68.75
279.805	84.5	0	84.5
279.948	78.5	0	78.5
280.091	72	0	72
280.234	71.5	0	71.5
280.377	68	0	68
280.52	70.5	0	70.5
280.663	63.5	0	63.5
280.806	71.25	0	71.25
280.95	68	0	68
281.093	58.75	0	58.75
281.236	63.5	0	63.5
281.379	73	0	73
281.522	60.25	0	60.25
281.665	55.25	0	55.25
281.808	56.5	0	56.5
281.951	64	0	64
282.094	71.75	0	71.75
282.237	55.75	0	55.75
282.38	56.25	0	56.25
282.523	69.5	0	69.5
282.666	57.25	0	57.25
282.809	70	0	70
282.952	66	0	66
283.095	58.25	0	58.25
283.238	62.5	0	62.5
283.381	67.25	0	67.25
283.523	53.75	0	53.75
283.666	57.75	0	57.75
283.809	62.25	0	62.25
283.952	61	0	61
284.095	56.75	0	56.75
284.238	58	0	58
284.381	62.5	0	62.5
284.524	60.25	0	60.25
284.666	63.75	0	63.75
284.809	55.5	0	55.5
284.952	68.75	0	68.75
285.095	73	0	73
285.238	70.75	0	70.75
285.38	70	0	70
285.523	64	0	64
285.666	74	0	74
285.809	56.75	0	56.75
285.951	60	0	60
286.094	53.75	0	53.75
286.237	64.25	0	64.25
286.38	56.75	0	56.75
286.522	53	0	53
286.665	59.75	0	59.75
286.808	66	0	66
286.95	64.25	0	64.25
287.093	60.5	0	60.5
287.236	61.25	0	61.25
287.378	70	0	70
287.521	57.75	0	57.75
287.663	65.75	0	65.75
287.806	61.5	0	61.5
287.949	67.25	0	67.25
288.091	59.75	0	59.75
288.234	61.5	0	61.5
288.376	61	0	61
288.519	60.5	0	60.5
288.661	66.25	0	66.25
288.804	67.5	0	67.5
288.946	55.5	0	55.5
289.089	57.25	0	57.25
289.231	72.5	0	72.5
289.374	63.75	0	63.75
289.516	59.5	0	59.5
289.659	52.5	0	52.5
289.801	65.75	0	65.75
289.944	57.5	0	57.5
290.086	60	0	60
290.229	67	0	67
290.371	56	0	56
290.513	63	0	63
290.656	69	0	69
290.798	65.75	0	65.75
290.941	67.75	0	67.75
291.083	72.75	0	72.75
291.225	59.25	0	59.25
291.368	58.25	0	58.25
291.51	67	0	67
291.652	65	0	65
291.795	68.5	0	68.5
291.937	70.75	0	70.75
292.079	75.25	0	75.25
292.221	69.25	0	69.25
292.364	63.25	0	63.25
292.506	53	0	53
292.648	67.5	0	67.5
292.79	63.25	0	63.25
292.933	69.25	0	69.25
293.075	61.25	0	61.25
293.217	73.75	0	73.75
293.359	58.5	0	58.5
293.502	67.75	0	67.75
293.644	74.25	0	74.25
293.786	67.25	0	67.25
293.928	63.5	0	63.5
294.07	64.5	0	64.5
294.212	67.5	0	67.5
294.354	57.75	0	57.75
294.497	68.75	0	68.75
294.639	69.5	0	69.5
294.781	61	0	61
294.923	71.5	0	71.5
295.065	68.5	0	68.5
295.207	65	0	65
295.349	67.5	0	67.5
295.491	71.75	0	71.75
295.633	65	0	65
295.775	80.5	0	80.5
295.917	77.25	0	77.25
296.059	72	0	72
296.201	71.5	0	71.5
296.343	76.75	0	76.75
296.485	71.5	0	71.5
296.627	67.75	0	67.75
296.769	73.75	0	73.75
296.911	75.5	0	75.5
297.053	78	0	78
297.195	78.5	0	78.5
297.337	59.5	0	59.5
297.478	67	0	67
297.62	71	0	71
297.762	70.25	0	70.25
297.904	72.5	0	72.5
298.046	65	0	65
298.188	69.25	0	69.25
298.33	61.25	0	61.25
298.471	81.25	0	81.25
298.613	73	0	73
298.755	74.25	0	74.25
298.897	79.25	0	79.25
299.038	74.75	0	74.75
299.18	70.25	0	70.25
299.322	72.25	0	72.25
299.464	77.75	0	77.75
299.605	82.75	0	82.75
299.747	80	0	80
299.889	59.25	0	59.25
300.031	74.25	0	74.25
300.172	60.5	0	60.5
300.314	91	0	91
300.456	73.25	0	73.25
300.597	73.25	0	73.25
300.739	79.75	0	79.75
300.881	71.5	0	71.5
301.022	74.75	0	74.75
301.164	74.25	0	74.25
301.305	90.25	0	90.25
301.447	78.5	0	78.5
301.589	80	0	80
301.73	80	0	80
301.872	79.25	0	79.25
302.013	83.25	0	83.25
302.155	87.5	0	87.5
302.296	79.25	0	79.25
302.438	91.25	0	91.25
302.579	80.25	0	80.25
302.721	88.75	0	88.75
302.862	75	0	75
303.004	85.75	0	85.75
303.145	90.75	0	90.75
303.287	96.75	0	96.75
303.428	108	0	108
303.569	97.25	0	97.25
303.711	100.5	0	100.5
303.852	93.5	0	93.5
303.994	102.5	0	102.5
304.135	83.75	0	83.75
304.276	96.75	0	96.75
304.418	92.5	0	92.5
304.559	90	0	90
304.7	88	0	88
304.842	82	0	82
304.983	87.5	0	87.5
305.124	91	0	91
305.266	88.75	0	88.75
305.407	93.25	0	93.25
305.548	96.25	0	96.25
305.69	82.5	0	82.5
305.831	93.75	0	93.75
305.972	90	0	90
306.113	88.75	0	88.75
306.254	92.25	0	92.25
306.396	97.5	0	97.5
306.537	100.5	0	100.5
306.678	87.75	0	87.75
306.819	102	0	102
306.96	108.75	0	108.75
307.102	138.5	0	138.5
307.243	153	0	153
307.384	180	0	180
307.525	177.25	0	177.25
307.666	139.5	0	139.5
307.807	119.5	0	119.5
307.948	97.75	0	97.75
308.089	118.75	0	118.75
308.23	106.25	0	106.25
308.371	111.5	0	111.5
308.513	103.5	0	103.5
308.654	106	0	106
308.795	96	0	96
308.936	97.75	0	97.75
309.077	102	0	102
309.218	97	0	97
309.359	90.75	0	90.75
309.499	105.75	0	105.75
309.64	98	0	98
309.781	98.75	0	98.75
309.922	101.75	0	101.75
310.063	99	0	99
310.204	103	0	103
310.345	107.25	0	107.25
310.486	91.5	0	91.5
310.627	100.5	0	100.5
310.768	96.75	0	96.75
310.909	106.75	0	106.75
311.049	107.75	0	107.75
311.19	115	0	115
311.331	92.5	0	92.5
311.472	106	0	106
311.613	109	0	109
311.753	110	0	110
311.894	112.75	0	112.75
312.035	92	0	92
312.176	109.25	0	109.25
312.316	106.25	0	106.25
312.457	110.25	0	110.25
312.598	115.5	0	115.5
312.739	110.25	0	110.25
312.879	111.25	0	111.25
313.02	107.25	0	107.25
313.161	114.25	0	114.25
313.301	99.5	0	99.5
313.442	116.75	0	116.75
313.583	109.75	0	109.75
313.723	108.75	0	108.75
313.864	125.75	0	125.75
314.005	118	0	118
314.145	111	0	111
314.286	109.5	0	109.5
314.426	120	0	120
314.567	124.5	0	124.5
314.707	118.25	0	118.25
314.848	135.75	0	135.75
314.989	121.5	0	121.5
315.129	111.25	0	111.25
315.27	129	0	129
315.41	106.75	0	106.75
315.551	124	0	124
315.691	113.5	0	113.5
315.831	119.25	0	119.25
315.972	118.25	0	118.25
316.112	118.5	0	118.5
316.253	120.25	0	120.25
316.393	122.5	0	122.5
316.534	135.75	0	135.75
316.674	140.75	0	140.75
316.814	123	0	123
316.955	116.25	0	116.25
317.095	129.5	0	129.5
317.236	124.5	0	124.5
317.376	136	0	136
317.516	130.25	0	130.25
317.656	113.75	0	113.75
317.797	123.5	0	123.5
317.937	133.5	0	133.5
318.077	138.25	0	138.25
318.218	133.25	0	133.25
318.358	127.5	0	127.5
318.498	132	0	132
318.638	158	0	158
318.779	121.75	0	121.75
318.919	144.75	0	144.75
319.059	135	0	135
319.199	140.25	0	140.25
319.34	153.25	0	153.25
319.48	141.5	0	141.5
319.62	137	0	137
319.76	138.75	0	138.75
319.9	149.75	0	149.75
320.04	147.75	0	147.75
320.18	151	0	151
320.32	146.75	0	146.75
320.461	156	0	156
320.601	156.5	0	156.5
320.741	147	0	147
320.881	163.75	0	163.75
321.021	162.5	0	162.5
321.161	176.75	0	176.75
321.301	175.5	0	175.5
321.441	171.25	0	171.25
321.581	167	0	167
321.721	189	0	189
321.861	182	0	182
