Lambda	Spectrum	Dark	SpecMinusDark
268.175	103.25	0	103.25
268.319	99	0	99
268.463	112.75	0	112.75
268.607	100	0	100
268.751	142	0	142
268.895	104	0	104
269.039	135.5	0	135.5
269.183	142.25	0	142.25
269.327	142.5	0	142.5
269.47	121.25	0	121.25
269.614	127.5	0	127.5
269.758	141.5	0	141.5
269.902	162.5	0	162.5
270.046	143.5	0	143.5
270.19	127.5	0	127.5
270.334	139.5	0	139.5
270.477	149.25	0	149.25
270.621	136	0	136
270.765	162.75	0	162.75
270.909	146	0	146
271.053	171.75	0	171.75
271.196	162.5	0	162.5
271.34	150	0	150
271.484	152.75	0	152.75
271.628	169	0	169
271.771	179.75	0	179.75
271.915	179.75	0	179.75
272.059	201.25	0	201.25
272.202	228.25	0	228.25
272.346	190.25	0	190.25
272.49	239.25	0	239.25
272.634	184.75	0	184.75
272.777	178.5	0	178.5
272.921	186	0	186
273.064	217.5	0	217.5
273.208	231	0	231
273.352	208.75	0	208.75
273.495	217	0	217
273.639	221	0	221
273.783	222.5	0	222.5
273.926	191.5	0	191.5
274.07	220.75	0	220.75
274.213	236	0	236
274.357	203.75	0	203.75
274.5	219.75	0	219.75
274.644	203.5	0	203.5
274.787	218.25	0	218.25
274.931	220.75	0	220.75
275.074	212.25	0	212.25
275.218	209.25	0	209.25
275.361	188.75	0	188.75
275.505	202	0	202
275.648	175.25	0	175.25
275.792	163	0	163
275.935	215.5	0	215.5
276.079	192.75	0	192.75
276.222	197	0	197
276.366	188.5	0	188.5
276.509	181	0	181
276.652	181.5	0	181.5
276.796	190.75	0	190.75
276.939	189.75	0	189.75
277.082	172.25	0	172.25
277.226	183.75	0	183.75
277.369	192.25	0	192.25
277.513	179.25	0	179.25
277.656	186.25	0	186.25
277.799	186.5	0	186.5
277.942	187.75	0	187.75
278.086	165.5	0	165.5
278.229	196	0	196
278.372	193.5	0	193.5
278.516	217.25	0	217.25
278.659	230.75	0	230.75
278.802	248.25	0	248.25
278.945	276.25	0	276.25
279.089	270.25	0	270.25
279.232	264	0	264
279.375	244.75	0	244.75
279.518	262	0	262
279.661	226.5	0	226.5
279.805	230.5	0	230.5
279.948	224.5	0	224.5
280.091	219.75	0	219.75
280.234	220	0	220
280.377	221.5	0	221.5
280.52	224.75	0	224.75
280.663	246.5	0	246.5
280.806	248.75	0	248.75
280.95	224.25	0	224.25
281.093	263.75	0	263.75
281.236	308.25	0	308.25
281.379	336.25	0	336.25
281.522	330.75	0	330.75
281.665	280	0	280
281.808	304.75	0	304.75
281.951	277	0	277
282.094	278.5	0	278.5
282.237	281.75	0	281.75
282.38	305.75	0	305.75
282.523	279.75	0	279.75
282.666	294.75	0	294.75
282.809	288.25	0	288.25
282.952	287.75	0	287.75
283.095	280.25	0	280.25
283.238	297.25	0	297.25
283.381	314.25	0	314.25
283.523	406	0	406
283.666	388.25	0	388.25
283.809	354.5	0	354.5
283.952	332.5	0	332.5
284.095	325	0	325
284.238	356.5	0	356.5
284.381	387	0	387
284.524	378.25	0	378.25
284.666	434.5	0	434.5
284.809	417	0	417
284.952	359	0	359
285.095	348.5	0	348.5
285.238	348.5	0	348.5
285.38	330.25	0	330.25
285.523	309.75	0	309.75
285.666	314.5	0	314.5
285.809	310.5	0	310.5
285.951	334.75	0	334.75
286.094	329.5	0	329.5
286.237	315.75	0	315.75
286.38	290.5	0	290.5
286.522	305.75	0	305.75
286.665	316.75	0	316.75
286.808	384.25	0	384.25
286.95	352.25	0	352.25
287.093	374.25	0	374.25
287.236	374.75	0	374.75
287.378	401.75	0	401.75
287.521	445.5	0	445.5
287.663	393.5	0	393.5
287.806	350	0	350
287.949	353.75	0	353.75
288.091	359.75	0	359.75
288.234	351.75	0	351.75
288.376	327.5	0	327.5
288.519	350.5	0	350.5
288.661	360.25	0	360.25
288.804	383.75	0	383.75
288.946	375.25	0	375.25
289.089	396.25	0	396.25
289.231	421	0	421
289.374	389.5	0	389.5
289.516	362.75	0	362.75
289.659	398.5	0	398.5
289.801	404.5	0	404.5
289.944	358	0	358
290.086	413	0	413
290.229	420.75	0	420.75
290.371	433	0	433
290.513	432.75	0	432.75
290.656	419.25	0	419.25
290.798	414	0	414
290.941	427.25	0	427.25
291.083	421.5	0	421.5
291.225	426.25	0	426.25
