Lambda	Spectrum	Dark	SpecMinusDark
500.031	543.25	0	543.25
500.165	495.5	0	495.5
500.299	506.5	0	506.5
500.433	519.5	0	519.5
500.567	529.25	0	529.25
500.701	541.5	0	541.5
500.835	553.75	0	553.75
500.968	548.75	0	548.75
501.102	550.25	0	550.25
501.236	552.5	0	552.5
501.37	544.75	0	544.75
501.504	551.25	0	551.25
501.637	549.75	0	549.75
501.771	566	0	566
501.905	588.75	0	588.75
502.039	581.75	0	581.75
502.172	598	0	598
502.306	569.75	0	569.75
502.44	615.5	0	615.5
502.573	605.75	0	605.75
502.707	630.25	0	630.25
502.841	599	0	599
502.974	602.75	0	602.75
503.108	598.25	0	598.25
503.242	599.75	0	599.75
503.375	602	0	602
503.509	602	0	602
503.642	619.75	0	619.75
503.776	601.5	0	601.5
503.909	616.25	0	616.25
504.043	624	0	624
504.176	628.5	0	628.5
504.31	640.75	0	640.75
504.443	673.75	0	673.75
504.577	646.5	0	646.5
504.71	664	0	664
504.844	675.25	0	675.25
504.977	672.75	0	672.75
505.111	708.75	0	708.75
505.244	677.75	0	677.75
505.377	685.5	0	685.5
505.511	671	0	671
505.644	681.25	0	681.25
505.777	649.25	0	649.25
505.911	682.75	0	682.75
506.044	701.75	0	701.75
506.177	670	0	670
506.311	709	0	709
506.444	704.5	0	704.5
506.577	706.75	0	706.75
506.71	737.25	0	737.25
506.844	736.5	0	736.5
506.977	729	0	729
507.11	730.75	0	730.75
507.243	725.25	0	725.25
507.376	739	0	739
507.51	728.75	0	728.75
507.643	754	0	754
507.776	748.25	0	748.25
507.909	765.5	0	765.5
508.042	744	0	744
508.175	756.25	0	756.25
508.308	756.5	0	756.5
508.441	758	0	758
508.574	763.25	0	763.25
508.707	768	0	768
508.84	761	0	761
508.973	780.25	0	780.25
509.106	788.5	0	788.5
509.239	812	0	812
509.372	804.5	0	804.5
509.505	816	0	816
509.638	819.5	0	819.5
509.771	853.75	0	853.75
509.904	832	0	832
510.037	893.25	0	893.25
510.17	861	0	861
510.303	870.75	0	870.75
510.436	952.75	0	952.75
510.568	938.5	0	938.5
510.701	966.5	0	966.5
510.834	983.5	0	983.5
510.967	1061.75	0	1061.75
511.1	1104.75	0	1104.75
511.232	1117.75	0	1117.75
511.365	1173.75	0	1173.75
511.498	1203.75	0	1203.75
511.631	1229.25	0	1229.25
511.763	1273.75	0	1273.75
511.896	1291.75	0	1291.75
512.029	1321.25	0	1321.25
512.161	1318.75	0	1318.75
512.294	1381	0	1381
512.427	1388.25	0	1388.25
512.559	1406.25	0	1406.25
512.692	1446.5	0	1446.5
512.825	1411.75	0	1411.75
512.957	1424	0	1424
513.09	1418	0	1418
513.222	1392	0	1392
513.355	1360.25	0	1360.25
513.487	1321.25	0	1321.25
513.62	1350.5	0	1350.5
513.752	1282.5	0	1282.5
513.885	1268.5	0	1268.5
514.017	1259.5	0	1259.5
514.15	1235.5	0	1235.5
514.282	1252.75	0	1252.75
514.415	1213.75	0	1213.75
514.547	1230.25	0	1230.25
514.68	1226.75	0	1226.75
514.812	1243.75	0	1243.75
514.944	1233.75	0	1233.75
515.077	1244.75	0	1244.75
515.209	1220	0	1220
515.341	1261.75	0	1261.75
515.474	1287.25	0	1287.25
515.606	1308.25	0	1308.25
515.738	1320.25	0	1320.25
515.871	1343.5	0	1343.5
516.003	1363.25	0	1363.25
516.135	1347	0	1347
516.267	1383.5	0	1383.5
516.4	1377.5	0	1377.5
516.532	1420.25	0	1420.25
516.664	1460	0	1460
516.796	1452	0	1452
516.928	1447.75	0	1447.75
517.06	1479.75	0	1479.75
517.193	1553.5	0	1553.5
517.325	1580.5	0	1580.5
517.457	1584	0	1584
517.589	1602.75	0	1602.75
517.721	1658.75	0	1658.75
517.853	1692.25	0	1692.25
517.985	1749.75	0	1749.75
518.117	1721	0	1721
518.249	1872.75	0	1872.75
518.381	1959.25	0	1959.25
518.513	1976.5	0	1976.5
518.645	1957.25	0	1957.25
518.777	2023	0	2023
518.909	2071.75	0	2071.75
