Lambda	Spectrum	Dark	SpecMinusDark
500.031	386.25	0	386.25
500.165	377.5	0	377.5
500.299	389.5	0	389.5
500.433	392.25	0	392.25
500.567	393.25	0	393.25
500.701	381	0	381
500.835	388.25	0	388.25
500.968	390.75	0	390.75
501.102	405	0	405
501.236	397	0	397
501.37	426.5	0	426.5
501.504	416.5	0	416.5
501.637	439.75	0	439.75
501.771	410.5	0	410.5
501.905	413	0	413
502.039	416.75	0	416.75
502.172	426.75	0	426.75
502.306	441.75	0	441.75
502.44	446.25	0	446.25
502.573	441.5	0	441.5
502.707	440.75	0	440.75
502.841	458.25	0	458.25
502.974	442.75	0	442.75
503.108	443.5	0	443.5
503.242	461.75	0	461.75
503.375	452.75	0	452.75
503.509	455	0	455
503.642	485.25	0	485.25
503.776	469.75	0	469.75
503.909	474.25	0	474.25
504.043	480.75	0	480.75
504.176	489.5	0	489.5
504.31	471.5	0	471.5
504.443	458.25	0	458.25
504.577	495	0	495
504.71	496.75	0	496.75
504.844	486.25	0	486.25
504.977	502.75	0	502.75
505.111	499.5	0	499.5
505.244	501	0	501
505.377	503.25	0	503.25
505.511	524.5	0	524.5
505.644	526.75	0	526.75
505.777	504.75	0	504.75
505.911	518.5	0	518.5
506.044	539.5	0	539.5
506.177	520.25	0	520.25
506.311	517.75	0	517.75
506.444	517.25	0	517.25
506.577	522.25	0	522.25
506.71	516.75	0	516.75
506.844	524.5	0	524.5
506.977	514.25	0	514.25
507.11	533.5	0	533.5
507.243	540	0	540
507.376	535.25	0	535.25
507.51	532.25	0	532.25
507.643	532.5	0	532.5
507.776	518.75	0	518.75
507.909	549	0	549
508.042	620.5	0	620.5
508.175	835.5	0	835.5
508.308	1117.25	0	1117.25
508.441	1530.75	0	1530.75
508.574	1182	0	1182
508.707	1027.25	0	1027.25
508.84	964.75	0	964.75
508.973	947.5	0	947.5
509.106	953.25	0	953.25
509.239	935.5	0	935.5
509.372	942	0	942
509.505	923.75	0	923.75
509.638	905.75	0	905.75
509.771	902	0	902
509.904	906.75	0	906.75
510.037	926.5	0	926.5
510.17	917.25	0	917.25
510.303	965.75	0	965.75
510.436	1168	0	1168
510.568	1466.25	0	1466.25
510.701	1926.25	0	1926.25
510.834	1658.5	0	1658.5
510.967	1385.75	0	1385.75
511.1	1389.5	0	1389.5
511.232	1381.5	0	1381.5
511.365	1356.5	0	1356.5
511.498	1383.25	0	1383.25
511.631	1328.75	0	1328.75
511.763	1373.75	0	1373.75
511.896	1393.25	0	1393.25
512.029	1364.75	0	1364.75
512.161	1377.5	0	1377.5
512.294	1423.25	0	1423.25
512.427	1438.25	0	1438.25
512.559	1616.5	0	1616.5
512.692	1841.75	0	1841.75
512.825	2211.75	0	2211.75
512.957	1994.5	0	1994.5
513.09	1707.5	0	1707.5
513.222	1700.75	0	1700.75
513.355	1669.25	0	1669.25
513.487	1598.75	0	1598.75
513.62	1574.25	0	1574.25
513.752	1542.25	0	1542.25
513.885	1502.25	0	1502.25
514.017	1466	0	1466
514.15	1412.75	0	1412.75
514.282	1349.5	0	1349.5
514.415	1342	0	1342
514.547	1464.5	0	1464.5
514.68	1628.5	0	1628.5
514.812	1809.75	0	1809.75
514.944	1581.75	0	1581.75
515.077	1446.5	0	1446.5
515.209	1394.75	0	1394.75
515.341	1383.25	0	1383.25
515.474	1360.75	0	1360.75
515.606	1372.25	0	1372.25
515.738	1286.25	0	1286.25
515.871	1240.75	0	1240.75
516.003	1251.5	0	1251.5
516.135	1243.75	0	1243.75
516.267	1281	0	1281
516.4	1381.5	0	1381.5
516.532	1471.25	0	1471.25
516.664	1454.75	0	1454.75
516.796	1325.25	0	1325.25
516.928	1287.5	0	1287.5
517.06	1244.25	0	1244.25
517.193	1210	0	1210
517.325	1202.75	0	1202.75
517.457	1187.5	0	1187.5
517.589	1177.75	0	1177.75
517.721	1123	0	1123
517.853	1152.5	0	1152.5
517.985	1205.75	0	1205.75
518.117	1278.75	0	1278.75
518.249	1341.25	0	1341.25
518.381	1239.5	0	1239.5
518.513	1129.25	0	1129.25
518.645	1110.75	0	1110.75
518.777	1099.75	0	1099.75
518.909	1070	0	1070
519.041	1022.25	0	1022.25
519.173	1035	0	1035
519.305	1024.75	0	1024.75
519.437	1083.25	0	1083.25
519.569	1162	0	1162
519.701	1125	0	1125
519.832	1051	0	1051
519.964	1040.25	0	1040.25
520.096	987.5	0	987.5
520.228	1012.5	0	1012.5
520.36	924	0	924
520.491	911	0	911
520.623	957	0	957
520.755	981.75	0	981.75
520.887	1019.75	0	1019.75
521.018	960	0	960
521.15	927	0	927
521.282	931.5	0	931.5
521.414	909.25	0	909.25
521.545	929.25	0	929.25
521.677	933.5	0	933.5
521.808	910.5	0	910.5
521.94	900.25	0	900.25
522.072	909	0	909
522.203	928	0	928
522.335	908.75	0	908.75
522.466	885.75	0	885.75
522.598	857	0	857
522.729	831.5	0	831.5
522.861	832.5	0	832.5
522.993	838.25	0	838.25
523.124	838.25	0	838.25
523.256	825.5	0	825.5
523.387	801.25	0	801.25
523.518	789.25	0	789.25
523.65	784	0	784
523.781	760	0	760
523.913	786.75	0	786.75
524.044	781	0	781
524.176	755.5	0	755.5
524.307	738.5	0	738.5
524.438	752.5	0	752.5
524.57	731.75	0	731.75
524.701	740	0	740
524.832	724.75	0	724.75
524.964	741.25	0	741.25
525.095	729.25	0	729.25
525.226	752.25	0	752.25
525.357	742	0	742
525.489	713.75	0	713.75
525.62	712.5	0	712.5
525.751	696.5	0	696.5
525.882	698.5	0	698.5
526.013	682	0	682
526.145	649.75	0	649.75
526.276	675.75	0	675.75
526.407	669.75	0	669.75
526.538	646.25	0	646.25
526.669	656.5	0	656.5
526.8	674.25	0	674.25
526.931	668.75	0	668.75
527.062	670.25	0	670.25
527.193	651.5	0	651.5
527.324	640.25	0	640.25
527.455	633.5	0	633.5
527.586	630.25	0	630.25
527.717	643.5	0	643.5
527.848	618.25	0	618.25
527.979	618.5	0	618.5
528.11	631.25	0	631.25
528.241	602.5	0	602.5
528.372	613.25	0	613.25
528.503	604	0	604
528.634	618.25	0	618.25
528.765	606.5	0	606.5
528.896	599.25	0	599.25
529.026	586.5	0	586.5
529.157	576.5	0	576.5
529.288	612	0	612
529.419	583.25	0	583.25
529.55	583.5	0	583.5
529.681	581.25	0	581.25
529.811	591.25	0	591.25
529.942	568	0	568
530.073	560	0	560
530.203	579.25	0	579.25
530.334	587	0	587
530.465	571	0	571
530.596	571	0	571
530.726	580	0	580
530.857	549	0	549
530.987	575	0	575
531.118	567	0	567
531.249	576	0	576
531.379	569.5	0	569.5
531.51	566	0	566
531.64	564	0	564
531.771	546.5	0	546.5
531.901	551	0	551
532.032	544.75	0	544.75
532.163	548.5	0	548.5
532.293	549	0	549
