Lambda	Spectrum	Dark	SpecMinusDark
500.031	4835.25	0	4835.25
500.165	5141	0	5141
500.299	5468.75	0	5468.75
500.433	5850.5	0	5850.5
500.567	6175	0	6175
500.701	6219	0	6219
500.835	6302	0	6302
500.968	6159.25	0	6159.25
501.102	6024.75	0	6024.75
501.236	5804.5	0	5804.5
501.37	5596	0	5596
501.504	5434.5	0	5434.5
501.637	5224.5	0	5224.5
501.771	4982.75	0	4982.75
501.905	4808.25	0	4808.25
502.039	4833.5	0	4833.5
502.172	4718.75	0	4718.75
502.306	4768.75	0	4768.75
502.44	4619.25	0	4619.25
502.573	4682.5	0	4682.5
502.707	4699.25	0	4699.25
502.841	4630.75	0	4630.75
502.974	4619.25	0	4619.25
503.108	4547.5	0	4547.5
503.242	4645.25	0	4645.25
503.375	4684	0	4684
503.509	4597.75	0	4597.75
503.642	4642	0	4642
503.776	4674.25	0	4674.25
503.909	4701.5	0	4701.5
504.043	4836	0	4836
504.176	4780.25	0	4780.25
504.31	4897.5	0	4897.5
504.443	5075.5	0	5075.5
504.577	5163.75	0	5163.75
504.71	5262	0	5262
504.844	5352	0	5352
504.977	5364.75	0	5364.75
505.111	5446.75	0	5446.75
505.244	5347.25	0	5347.25
505.377	5330	0	5330
505.511	5305.5	0	5305.5
505.644	5325.25	0	5325.25
505.777	5394.25	0	5394.25
505.911	5432	0	5432
506.044	5555	0	5555
506.177	5603.25	0	5603.25
506.311	5592.5	0	5592.5
506.444	5694.5	0	5694.5
506.577	5805.5	0	5805.5
506.71	5761.5	0	5761.5
506.844	5823.5	0	5823.5
506.977	5862.75	0	5862.75
507.11	5933.75	0	5933.75
507.243	6097.75	0	6097.75
507.376	6239.25	0	6239.25
507.51	6402.25	0	6402.25
507.643	6445.25	0	6445.25
507.776	6723.25	0	6723.25
507.909	6865.75	0	6865.75
508.042	7065	0	7065
508.175	7358.5	0	7358.5
508.308	7507	0	7507
508.441	7665.5	0	7665.5
508.574	7631.75	0	7631.75
508.707	7623.5	0	7623.5
508.84	7649.25	0	7649.25
508.973	7533.5	0	7533.5
509.106	7373.75	0	7373.75
509.239	7404.25	0	7404.25
509.372	7162.25	0	7162.25
509.505	7148	0	7148
509.638	6966.75	0	6966.75
509.771	6950.75	0	6950.75
509.904	6915.5	0	6915.5
510.037	6860.5	0	6860.5
510.17	6845.5	0	6845.5
510.303	6886.25	0	6886.25
510.436	6792.25	0	6792.25
510.568	6720.25	0	6720.25
510.701	6749.75	0	6749.75
510.834	6834.25	0	6834.25
510.967	6757.5	0	6757.5
511.1	6823	0	6823
511.232	6906	0	6906
511.365	6970.25	0	6970.25
511.498	7000.5	0	7000.5
511.631	7154.25	0	7154.25
511.763	7298	0	7298
511.896	7353.5	0	7353.5
512.029	7532.5	0	7532.5
512.161	7884.75	0	7884.75
512.294	7918	0	7918
512.427	8235	0	8235
512.559	8565.25	0	8565.25
512.692	8777.25	0	8777.25
512.825	8967.25	0	8967.25
512.957	8976.5	0	8976.5
513.09	8795.5	0	8795.5
513.222	8636	0	8636
513.355	8630	0	8630
513.487	8352	0	8352
513.62	8365.25	0	8365.25
513.752	8392.75	0	8392.75
513.885	8518	0	8518
514.017	8658	0	8658
514.15	8622.5	0	8622.5
514.282	8987	0	8987
514.415	9494.25	0	9494.25
514.547	10057.5	0	10057.5
514.68	10697.5	0	10697.5
514.812	11072.8	0	11072.8
514.944	10928	0	10928
515.077	10070	0	10070
515.209	9531.25	0	9531.25
515.341	8997.25	0	8997.25
515.474	8744.25	0	8744.25
515.606	8461.5	0	8461.5
515.738	8247.5	0	8247.5
515.871	8034	0	8034
516.003	7876	0	7876
516.135	7770.5	0	7770.5
516.267	7709.25	0	7709.25
516.4	7706.25	0	7706.25
516.532	7621.5	0	7621.5
516.664	7585	0	7585
516.796	7587.75	0	7587.75
516.928	7608.5	0	7608.5
517.06	7806.5	0	7806.5
517.193	7781.75	0	7781.75
517.325	7880.5	0	7880.5
517.457	7930.75	0	7930.75
517.589	8165.25	0	8165.25
517.721	8186.25	0	8186.25
517.853	8268.25	0	8268.25
517.985	8281.25	0	8281.25
518.117	8486.25	0	8486.25
518.249	8437.5	0	8437.5
518.381	8461.5	0	8461.5
518.513	8465	0	8465
518.645	8415	0	8415
518.777	8401.5	0	8401.5
518.909	8471.25	0	8471.25
519.041	8411.75	0	8411.75
519.173	8453.5	0	8453.5
519.305	8628.5	0	8628.5
519.437	8716.75	0	8716.75
519.569	8920.5	0	8920.5
519.701	9066.25	0	9066.25
519.832	9292.75	0	9292.75
519.964	9347.25	0	9347.25
520.096	9752.75	0	9752.75
520.228	10178.8	0	10178.8
520.36	10664.5	0	10664.5
520.491	11198.2	0	11198.2
520.623	11717	0	11717
520.755	12492.2	0	12492.2
520.887	13446.8	0	13446.8
521.018	14386.8	0	14386.8
521.15	15628	0	15628
521.282	16166	0	16166
521.414	16044.5	0	16044.5
521.545	14694.2	0	14694.2
521.677	13452.8	0	13452.8
521.808	12440.5	0	12440.5
521.94	11320	0	11320
522.072	10805.8	0	10805.8
522.203	10260	0	10260
522.335	9757.75	0	9757.75
522.466	9302.75	0	9302.75
522.598	8917	0	8917
522.729	8695.75	0	8695.75
522.861	8472	0	8472
522.993	8149.25	0	8149.25
523.124	8043.75	0	8043.75
523.256	7839	0	7839
523.387	7751.25	0	7751.25
523.518	7603	0	7603
523.65	7407	0	7407
523.781	7370.25	0	7370.25
523.913	7242	0	7242
524.044	7168.5	0	7168.5
524.176	6888	0	6888
524.307	6961.5	0	6961.5
524.438	6767.5	0	6767.5
524.57	6764	0	6764
524.701	6716.75	0	6716.75
524.832	6659.5	0	6659.5
524.964	6586.75	0	6586.75
525.095	6478.25	0	6478.25
525.226	6551	0	6551
525.357	6387.75	0	6387.75
525.489	6449.75	0	6449.75
525.62	6385.75	0	6385.75
525.751	6405	0	6405
525.882	6390.5	0	6390.5
526.013	6472.75	0	6472.75
526.145	6355.75	0	6355.75
526.276	6525.75	0	6525.75
526.407	6556	0	6556
526.538	6502.75	0	6502.75
526.669	6575.75	0	6575.75
526.8	6774.75	0	6774.75
526.931	6838.25	0	6838.25
527.062	7133.5	0	7133.5
527.193	7374.25	0	7374.25
527.324	7487.75	0	7487.75
527.455	7708.75	0	7708.75
527.586	7564.5	0	7564.5
527.717	7123.75	0	7123.75
527.848	6831	0	6831
527.979	6592.25	0	6592.25
528.11	6347.25	0	6347.25
528.241	6304.75	0	6304.75
528.372	6126.25	0	6126.25
528.503	5967	0	5967
528.634	5925	0	5925
528.765	5808.5	0	5808.5
528.896	5855.75	0	5855.75
529.026	5649	0	5649
529.157	5565.5	0	5565.5
529.288	5491	0	5491
529.419	5484.75	0	5484.75
529.55	5520.75	0	5520.75
529.681	5410	0	5410
529.811	5363.25	0	5363.25
529.942	5280.5	0	5280.5
530.073	5273.25	0	5273.25
530.203	5275.25	0	5275.25
530.334	5273.5	0	5273.5
530.465	5263	0	5263
530.596	5123.75	0	5123.75
530.726	5170	0	5170
530.857	5124	0	5124
530.987	5074.25	0	5074.25
531.118	5045	0	5045
531.249	5061.75	0	5061.75
531.379	5030.5	0	5030.5
531.51	5070	0	5070
531.64	4996	0	4996
531.771	4958	0	4958
531.901	5030.75	0	5030.75
532.032	4941.75	0	4941.75
532.163	4937	0	4937
532.293	4916	0	4916
532.423	4970.5	0	4970.5
532.554	5008.75	0	5008.75
532.684	4956.25	0	4956.25
532.815	4920.5	0	4920.5
532.945	4880.5	0	4880.5
533.076	4815.75	0	4815.75
533.206	4877.75	0	4877.75
533.336	4858.5	0	4858.5
533.467	4778.25	0	4778.25
533.597	4845.25	0	4845.25
533.727	4789.75	0	4789.75
533.858	4770.25	0	4770.25
533.988	4798.75	0	4798.75
534.118	4736	0	4736
534.248	4746	0	4746
534.379	4780.75	0	4780.75
534.509	4777	0	4777
534.639	4771.25	0	4771.25
534.769	4836	0	4836
534.9	4777	0	4777
535.03	4691.75	0	4691.75
535.16	4706	0	4706
535.29	4789.5	0	4789.5
535.42	4788	0	4788
535.55	4779.5	0	4779.5
535.68	4752.75	0	4752.75
535.81	4711.5	0	4711.5
535.94	4665.25	0	4665.25
536.071	4617.5	0	4617.5
536.201	4735.75	0	4735.75
536.331	4628.25	0	4628.25
536.461	4667.25	0	4667.25
536.591	4611.5	0	4611.5
536.721	4558.75	0	4558.75
536.851	4587.25	0	4587.25
536.981	4614	0	4614
537.11	4596.5	0	4596.5
537.24	4549.75	0	4549.75
537.37	4512.75	0	4512.75
537.5	4489.5	0	4489.5
537.63	4530	0	4530
537.76	4487.75	0	4487.75
537.89	4513.25	0	4513.25
538.02	4557.75	0	4557.75
538.149	4441.25	0	4441.25
538.279	4464	0	4464
538.409	4465.25	0	4465.25
538.539	4408.5	0	4408.5
538.669	4394.25	0	4394.25
538.798	4441	0	4441
538.928	4471.5	0	4471.5
539.058	4376.5	0	4376.5
539.187	4388.75	0	4388.75
539.317	4379	0	4379
539.447	4415.5	0	4415.5
539.576	4410.25	0	4410.25
539.706	4410.75	0	4410.75
539.836	4417.25	0	4417.25
539.965	4410.5	0	4410.5
540.095	4330.25	0	4330.25
540.225	4408	0	4408
540.354	4274.75	0	4274.75
540.484	4317	0	4317
540.613	4258.75	0	4258.75
540.743	4242	0	4242
540.872	4300	0	4300
541.002	4214.25	0	4214.25
541.131	4173.5	0	4173.5
541.261	4297.25	0	4297.25
541.39	4233	0	4233
541.52	4281.5	0	4281.5
541.649	4286.5	0	4286.5
541.778	4257.75	0	4257.75
541.908	4165	0	4165
542.037	4253	0	4253
542.167	4197.25	0	4197.25
542.296	4193.75	0	4193.75
542.425	4135.25	0	4135.25
542.554	4159	0	4159
542.684	4193	0	4193
542.813	4143	0	4143
542.942	4173.25	0	4173.25
543.072	4148.5	0	4148.5
543.201	4113.5	0	4113.5
543.33	4206.5	0	4206.5
543.459	4153	0	4153
543.588	4129	0	4129
543.718	4189.75	0	4189.75
543.847	4141.25	0	4141.25
543.976	4197.25	0	4197.25
544.105	4156.5	0	4156.5
544.234	4109.5	0	4109.5
544.363	4182.75	0	4182.75
544.492	4197	0	4197
544.621	4175	0	4175
544.75	4166.25	0	4166.25
544.88	4189.25	0	4189.25
545.009	4195.25	0	4195.25
545.138	4202	0	4202
545.266	4184.5	0	4184.5
545.396	4257.5	0	4257.5
545.525	4200	0	4200
545.653	4252.5	0	4252.5
545.782	4318.5	0	4318.5
545.911	4210.25	0	4210.25
546.04	4219.25	0	4219.25
546.169	4259	0	4259
546.298	4290.25	0	4290.25
546.427	4255.25	0	4255.25
546.556	4201.5	0	4201.5
546.685	4176.5	0	4176.5
546.813	4204.5	0	4204.5
546.942	4212.5	0	4212.5
547.071	4138	0	4138
547.2	4096.25	0	4096.25
547.328	4135.25	0	4135.25
