Lambda	Spectrum	Dark	SpecMinusDark
500.031	391.5	0	391.5
500.165	358	0	358
500.299	379.5	0	379.5
500.433	410.75	0	410.75
500.567	374.25	0	374.25
500.701	377.75	0	377.75
500.835	404	0	404
500.968	421.25	0	421.25
501.102	400.25	0	400.25
501.236	431	0	431
501.37	447.75	0	447.75
501.504	400.5	0	400.5
501.637	429	0	429
501.771	493	0	493
501.905	462	0	462
502.039	461.75	0	461.75
502.172	525.25	0	525.25
502.306	460	0	460
502.44	497.5	0	497.5
502.573	553.5	0	553.5
502.707	500.25	0	500.25
502.841	540	0	540
502.974	573	0	573
503.108	507.25	0	507.25
503.242	538.75	0	538.75
503.375	605.5	0	605.5
503.509	562.5	0	562.5
503.642	585.5	0	585.5
503.776	623	0	623
503.909	636.75	0	636.75
504.043	577.25	0	577.25
504.176	685.75	0	685.75
504.31	648.25	0	648.25
504.443	646	0	646
504.577	732.75	0	732.75
504.71	616	0	616
504.844	676.25	0	676.25
504.977	757	0	757
505.111	703.5	0	703.5
505.244	753.75	0	753.75
505.377	728.5	0	728.5
505.511	761	0	761
505.644	761.5	0	761.5
505.777	877.25	0	877.25
505.911	746.25	0	746.25
506.044	920.75	0	920.75
506.177	801	0	801
506.311	859.25	0	859.25
506.444	907	0	907
506.577	797.5	0	797.5
506.71	940.25	0	940.25
506.844	911.5	0	911.5
506.977	868	0	868
507.11	986	0	986
507.243	967.25	0	967.25
507.376	1004.5	0	1004.5
507.51	1020.75	0	1020.75
507.643	898.5	0	898.5
507.776	1045.5	0	1045.5
507.909	962	0	962
508.042	1025.25	0	1025.25
508.175	1070.25	0	1070.25
508.308	975.25	0	975.25
508.441	1145.25	0	1145.25
508.574	1006.5	0	1006.5
508.707	1152	0	1152
508.84	1067.5	0	1067.5
508.973	1109.5	0	1109.5
509.106	1185.5	0	1185.5
509.239	1116.75	0	1116.75
509.372	1285	0	1285
509.505	1143.25	0	1143.25
509.638	1253.75	0	1253.75
509.771	1269.25	0	1269.25
509.904	1331.25	0	1331.25
510.037	1445.5	0	1445.5
510.17	1381	0	1381
510.303	1305.25	0	1305.25
510.436	1227	0	1227
510.568	1314	0	1314
510.701	1198.75	0	1198.75
510.834	1335	0	1335
510.967	1259	0	1259
511.1	1394	0	1394
511.232	1310.5	0	1310.5
511.365	1394.75	0	1394.75
511.498	1331	0	1331
511.631	1492.5	0	1492.5
511.763	1402	0	1402
511.896	1467.75	0	1467.75
512.029	1453.25	0	1453.25
512.161	1542.5	0	1542.5
512.294	1454.25	0	1454.25
512.427	1543	0	1543
512.559	1617.75	0	1617.75
512.692	1623.5	0	1623.5
512.825	1784.75	0	1784.75
