Lambda	Spectrum	Dark	SpecMinusDark
500.031	1571.25	0	1571.25
500.165	1695.75	0	1695.75
500.299	1864.75	0	1864.75
500.433	2002	0	2002
500.567	2110.25	0	2110.25
500.701	2174	0	2174
500.835	2220.75	0	2220.75
500.968	2144.75	0	2144.75
501.102	2076.5	0	2076.5
501.236	2041	0	2041
501.37	1955.5	0	1955.5
501.504	1811.75	0	1811.75
501.637	1771.25	0	1771.25
501.771	1670.25	0	1670.25
501.905	1642.5	0	1642.5
502.039	1574.25	0	1574.25
502.172	1549.25	0	1549.25
502.306	1499	0	1499
502.44	1455.5	0	1455.5
502.573	1446.25	0	1446.25
502.707	1496	0	1496
502.841	1413.5	0	1413.5
502.974	1466	0	1466
503.108	1423.25	0	1423.25
503.242	1409.5	0	1409.5
503.375	1460.5	0	1460.5
503.509	1432.25	0	1432.25
503.642	1397	0	1397
503.776	1398	0	1398
503.909	1400.25	0	1400.25
504.043	1470.25	0	1470.25
504.176	1564	0	1564
504.31	1620.5	0	1620.5
504.443	1828.5	0	1828.5
504.577	1972.5	0	1972.5
504.71	1940	0	1940
504.844	1795.5	0	1795.5
504.977	1735.75	0	1735.75
505.111	1672.75	0	1672.75
505.244	1571.25	0	1571.25
505.377	1535	0	1535
505.511	1519.75	0	1519.75
505.644	1471.75	0	1471.75
505.777	1499.75	0	1499.75
505.911	1441.5	0	1441.5
506.044	1445.5	0	1445.5
506.177	1413.75	0	1413.75
506.311	1435.25	0	1435.25
506.444	1424.75	0	1424.75
506.577	1446.25	0	1446.25
506.71	1407.25	0	1407.25
506.844	1376.75	0	1376.75
506.977	1393.5	0	1393.5
507.11	1365.75	0	1365.75
507.243	1365	0	1365
507.376	1378	0	1378
507.51	1377.25	0	1377.25
507.643	1387.25	0	1387.25
507.776	1377.75	0	1377.75
507.909	1401.5	0	1401.5
508.042	1423	0	1423
508.175	1373	0	1373
508.308	1370	0	1370
508.441	1346.75	0	1346.75
508.574	1380.25	0	1380.25
508.707	1385	0	1385
508.84	1340.5	0	1340.5
508.973	1347.5	0	1347.5
509.106	1366.75	0	1366.75
509.239	1343	0	1343
509.372	1368.5	0	1368.5
509.505	1369.25	0	1369.25
509.638	1389.75	0	1389.75
509.771	1388.75	0	1388.75
509.904	1350	0	1350
510.037	1337.25	0	1337.25
510.17	1335	0	1335
510.303	1359.25	0	1359.25
510.436	1351.25	0	1351.25
510.568	1355.5	0	1355.5
510.701	1366	0	1366
510.834	1378	0	1378
510.967	1383.5	0	1383.5
511.1	1330	0	1330
511.232	1373.25	0	1373.25
511.365	1378	0	1378
511.498	1372.5	0	1372.5
511.631	1379.75	0	1379.75
511.763	1387.5	0	1387.5
511.896	1415	0	1415
512.029	1365	0	1365
512.161	1391.25	0	1391.25
512.294	1408.75	0	1408.75
512.427	1407.25	0	1407.25
512.559	1376	0	1376
512.692	1400.5	0	1400.5
512.825	1386.5	0	1386.5
512.957	1413.25	0	1413.25
513.09	1410	0	1410
513.222	1419.5	0	1419.5
513.355	1414.75	0	1414.75
513.487	1429.25	0	1429.25
513.62	1435.5	0	1435.5
513.752	1433.5	0	1433.5
513.885	1388.75	0	1388.75
514.017	1487.75	0	1487.75
514.15	1433.5	0	1433.5
514.282	1416.25	0	1416.25
514.415	1445.25	0	1445.25
514.547	1474.25	0	1474.25
514.68	1479.25	0	1479.25
514.812	1481.25	0	1481.25
514.944	1491	0	1491
515.077	1465	0	1465
515.209	1542	0	1542
515.341	1517.5	0	1517.5
515.474	1533.5	0	1533.5
515.606	1523.5	0	1523.5
515.738	1510	0	1510
515.871	1552.5	0	1552.5
516.003	1577.25	0	1577.25
516.135	1589.75	0	1589.75
516.267	1570.25	0	1570.25
516.4	1610.5	0	1610.5
516.532	1669.75	0	1669.75
516.664	1688.5	0	1688.5
516.796	1669.25	0	1669.25
516.928	1701.5	0	1701.5
517.06	1744.75	0	1744.75
517.193	1827.25	0	1827.25
517.325	1875.25	0	1875.25
517.457	1882	0	1882
517.589	2002.75	0	2002.75
517.721	2052.75	0	2052.75
517.853	2096.5	0	2096.5
517.985	2075.5	0	2075.5
518.117	2114.5	0	2114.5
518.249	2172.25	0	2172.25
518.381	2194.25	0	2194.25
518.513	2152.25	0	2152.25
518.645	2149.25	0	2149.25
518.777	2154.75	0	2154.75
518.909	2317	0	2317
519.041	2476	0	2476
519.173	2768	0	2768
519.305	2988	0	2988
519.437	2858.75	0	2858.75
519.569	2293	0	2293
519.701	2137	0	2137
519.832	1966.5	0	1966.5
519.964	1872.5	0	1872.5
520.096	1836.75	0	1836.75
520.228	1820	0	1820
520.36	1772	0	1772
520.491	1771.25	0	1771.25
520.623	1707.25	0	1707.25
520.755	1728.25	0	1728.25
520.887	1704.5	0	1704.5
521.018	1687.5	0	1687.5
521.15	1707	0	1707
521.282	1717	0	1717
521.414	1713	0	1713
521.545	1682.75	0	1682.75
521.677	1664.25	0	1664.25
521.808	1652.5	0	1652.5
521.94	1635.5	0	1635.5
522.072	1642	0	1642
522.203	1651.75	0	1651.75
522.335	1633	0	1633
522.466	1633.75	0	1633.75
522.598	1591.75	0	1591.75
522.729	1658.5	0	1658.5
522.861	1627.25	0	1627.25
522.993	1604	0	1604
523.124	1616.25	0	1616.25
523.256	1660.25	0	1660.25
523.387	1625.25	0	1625.25
523.518	1628.5	0	1628.5
523.65	1645.5	0	1645.5
523.781	1656	0	1656
523.913	1688	0	1688
524.044	1629.5	0	1629.5
524.176	1740.25	0	1740.25
524.307	1644.25	0	1644.25
524.438	1698	0	1698
524.57	1728.5	0	1728.5
524.701	1732.25	0	1732.25
524.832	1728.5	0	1728.5
524.964	1739.5	0	1739.5
525.095	1779.5	0	1779.5
525.226	1814.25	0	1814.25
525.357	1859	0	1859
525.489	1863.75	0	1863.75
525.62	1904.25	0	1904.25
525.751	1987.25	0	1987.25
525.882	2103	0	2103
526.013	2221	0	2221
526.145	2462.75	0	2462.75
526.276	2946.5	0	2946.5
526.407	3955	0	3955
526.538	5486	0	5486
526.669	7497.5	0	7497.5
526.8	7681.25	0	7681.25
526.931	8181.75	0	8181.75
527.062	8224.5	0	8224.5
527.193	6688.5	0	6688.5
527.324	7285.25	0	7285.25
527.455	8965	0	8965
527.586	8205.75	0	8205.75
527.717	4994.25	0	4994.25
527.848	3709.75	0	3709.75
527.979	3117	0	3117
528.11	2796	0	2796
528.241	2593.25	0	2593.25
528.372	2444.5	0	2444.5
528.503	2270.75	0	2270.75
528.634	2157.5	0	2157.5
528.765	2064	0	2064
528.896	2014.5	0	2014.5
529.026	1985.25	0	1985.25
529.157	1927.25	0	1927.25
529.288	1880.75	0	1880.75
529.419	1855	0	1855
529.55	1849.75	0	1849.75
529.681	1811.5	0	1811.5
529.811	1752	0	1752
529.942	1741.75	0	1741.75
530.073	1710	0	1710
530.203	1701.25	0	1701.25
530.334	1682.25	0	1682.25
530.465	1684.5	0	1684.5
530.596	1673.75	0	1673.75
530.726	1655	0	1655
530.857	1681	0	1681
530.987	1621.5	0	1621.5
531.118	1637.25	0	1637.25
531.249	1640.25	0	1640.25
531.379	1664	0	1664
531.51	1638	0	1638
531.64	1605.25	0	1605.25
531.771	1611.5	0	1611.5
531.901	1616	0	1616
532.032	1611.5	0	1611.5
532.163	1584.5	0	1584.5
532.293	1596.5	0	1596.5
532.423	1588.25	0	1588.25
532.554	1579.5	0	1579.5
