Lambda	Spectrum	Dark	SpecMinusDark
500.031	306.75	0	306.75
500.165	316.25	0	316.25
500.299	292.5	0	292.5
500.433	298.75	0	298.75
500.567	315	0	315
500.701	315.25	0	315.25
500.835	320	0	320
500.968	332.25	0	332.25
501.102	332.75	0	332.75
501.236	332.5	0	332.5
501.37	330.5	0	330.5
501.504	345	0	345
501.637	353.5	0	353.5
501.771	347.75	0	347.75
501.905	375.75	0	375.75
502.039	363.25	0	363.25
502.172	370	0	370
502.306	354.25	0	354.25
502.44	382.25	0	382.25
502.573	377.75	0	377.75
502.707	379.5	0	379.5
502.841	386	0	386
502.974	379	0	379
503.108	397	0	397
503.242	386.25	0	386.25
503.375	403.75	0	403.75
503.509	411.5	0	411.5
503.642	406	0	406
503.776	397	0	397
503.909	401.5	0	401.5
504.043	423.25	0	423.25
504.176	428.25	0	428.25
504.31	420	0	420
504.443	417	0	417
504.577	452.75	0	452.75
504.71	453.5	0	453.5
504.844	451	0	451
504.977	465	0	465
505.111	441	0	441
505.244	476.25	0	476.25
505.377	487.75	0	487.75
505.511	475	0	475
505.644	494	0	494
505.777	501.5	0	501.5
505.911	495	0	495
506.044	501.25	0	501.25
506.177	503.5	0	503.5
506.311	531	0	531
506.444	544.25	0	544.25
506.577	535.5	0	535.5
506.71	555	0	555
506.844	555.75	0	555.75
506.977	591.5	0	591.5
507.11	590.5	0	590.5
507.243	608.25	0	608.25
507.376	637.5	0	637.5
507.51	671.25	0	671.25
507.643	699.25	0	699.25
507.776	716.75	0	716.75
507.909	819	0	819
508.042	895.25	0	895.25
508.175	1015.5	0	1015.5
508.308	1158	0	1158
508.441	1429.75	0	1429.75
508.574	2034.5	0	2034.5
508.707	3375.5	0	3375.5
508.84	5996.75	0	5996.75
508.973	9227.5	0	9227.5
509.106	11367.8	0	11367.8
509.239	8259.75	0	8259.75
509.372	5653.75	0	5653.75
509.505	4261.75	0	4261.75
509.638	3352.75	0	3352.75
509.771	2703.25	0	2703.25
509.904	2306.75	0	2306.75
510.037	2003.25	0	2003.25
510.17	1760.25	0	1760.25
510.303	1595.75	0	1595.75
510.436	1458	0	1458
510.568	1351.75	0	1351.75
510.701	1232.5	0	1232.5
510.834	1181.5	0	1181.5
510.967	1095.75	0	1095.75
511.1	1061.5	0	1061.5
511.232	988.75	0	988.75
511.365	924.25	0	924.25
511.498	890.75	0	890.75
511.631	920.25	0	920.25
511.763	840.75	0	840.75
511.896	799.75	0	799.75
512.029	828.5	0	828.5
512.161	767.75	0	767.75
512.294	786.5	0	786.5
512.427	769.75	0	769.75
512.559	758.75	0	758.75
512.692	734.25	0	734.25
512.825	706.75	0	706.75
512.957	736.25	0	736.25
513.09	703.75	0	703.75
513.222	691.75	0	691.75
513.355	671.5	0	671.5
513.487	661.25	0	661.25
513.62	663.5	0	663.5
513.752	642.25	0	642.25
513.885	638.75	0	638.75
514.017	633.75	0	633.75
514.15	630.5	0	630.5
514.282	655.25	0	655.25
514.415	600.5	0	600.5
514.547	615.25	0	615.25
514.68	612.25	0	612.25
514.812	610.75	0	610.75
514.944	615	0	615
515.077	593.75	0	593.75
515.209	606.5	0	606.5
515.341	599.5	0	599.5
515.474	612.75	0	612.75
515.606	609	0	609
515.738	613.75	0	613.75
515.871	637.25	0	637.25
516.003	627.25	0	627.25
516.135	599.75	0	599.75
516.267	602	0	602
516.4	593.25	0	593.25
516.532	604.5	0	604.5
516.664	580	0	580
516.796	592.25	0	592.25
516.928	594.5	0	594.5
517.06	560	0	560
517.193	584.25	0	584.25
517.325	573.5	0	573.5
517.457	562	0	562
517.589	545.75	0	545.75
517.721	563.5	0	563.5
517.853	564.5	0	564.5
517.985	568.25	0	568.25
518.117	564.5	0	564.5
518.249	558.25	0	558.25
518.381	565.75	0	565.75
518.513	559.25	0	559.25
518.645	556.5	0	556.5
518.777	558.25	0	558.25
518.909	540.5	0	540.5
519.041	545.75	0	545.75
519.173	567.5	0	567.5
519.305	526.75	0	526.75
519.437	560.5	0	560.5
519.569	543.75	0	543.75
519.701	537.75	0	537.75
519.832	555.75	0	555.75
519.964	536.75	0	536.75
520.096	544.75	0	544.75
520.228	552.75	0	552.75
520.36	552.75	0	552.75
520.491	520.25	0	520.25
520.623	536.75	0	536.75
520.755	557.25	0	557.25
520.887	559.25	0	559.25
521.018	547.75	0	547.75
521.15	520	0	520
521.282	532.25	0	532.25
521.414	540	0	540
521.545	541	0	541
521.677	558.25	0	558.25
521.808	549	0	549
521.94	518.5	0	518.5
522.072	518	0	518
522.203	525.5	0	525.5
522.335	549.5	0	549.5
522.466	528.5	0	528.5
522.598	517.75	0	517.75
522.729	526.5	0	526.5
522.861	534.75	0	534.75
522.993	549.75	0	549.75
523.124	536.75	0	536.75
523.256	522.75	0	522.75
523.387	540.25	0	540.25
523.518	516.75	0	516.75
523.65	507.25	0	507.25
523.781	516.75	0	516.75
523.913	515.75	0	515.75
524.044	506.5	0	506.5
524.176	524.75	0	524.75
524.307	536	0	536
524.438	518.75	0	518.75
524.57	511.75	0	511.75
524.701	525.75	0	525.75
524.832	553.25	0	553.25
524.964	517.5	0	517.5
525.095	529.25	0	529.25
525.226	511.75	0	511.75
525.357	514.25	0	514.25
525.489	511.5	0	511.5
525.62	518.75	0	518.75
525.751	518.5	0	518.5
525.882	527.75	0	527.75
526.013	522.5	0	522.5
526.145	536.75	0	536.75
526.276	510.25	0	510.25
526.407	506.75	0	506.75
526.538	552.25	0	552.25
526.669	524.25	0	524.25
526.8	520.75	0	520.75
526.931	512	0	512
527.062	520.75	0	520.75
527.193	521	0	521
527.324	525.5	0	525.5
527.455	530.75	0	530.75
527.586	544	0	544
527.717	529.25	0	529.25
527.848	558.5	0	558.5
527.979	523.25	0	523.25
528.11	553.25	0	553.25
528.241	535	0	535
528.372	555	0	555
528.503	550.75	0	550.75
528.634	558	0	558
528.765	536.5	0	536.5
528.896	556.5	0	556.5
529.026	555.5	0	555.5
529.157	540.25	0	540.25
529.288	558.5	0	558.5
529.419	560.25	0	560.25
529.55	548.75	0	548.75
529.681	564.75	0	564.75
529.811	552.5	0	552.5
529.942	564.25	0	564.25
530.073	570	0	570
530.203	566.25	0	566.25
530.334	578.75	0	578.75
530.465	586.75	0	586.75
530.596	585	0	585
530.726	594.5	0	594.5
530.857	576.5	0	576.5
530.987	609.75	0	609.75
531.118	607.25	0	607.25
531.249	603.5	0	603.5
531.379	614.25	0	614.25
531.51	616.75	0	616.75
531.64	629.25	0	629.25
531.771	610.5	0	610.5
531.901	656.25	0	656.25
532.032	663	0	663
532.163	648.75	0	648.75
532.293	682	0	682
532.423	674.25	0	674.25
532.554	679.5	0	679.5
532.684	695	0	695
532.815	723.25	0	723.25
532.945	738	0	738
533.076	735	0	735
533.206	776.25	0	776.25
533.336	781	0	781
533.467	826.5	0	826.5
533.597	860.5	0	860.5
533.727	850.5	0	850.5
533.858	889	0	889
533.988	965	0	965
534.118	1005.75	0	1005.75
534.248	1050.25	0	1050.25
534.379	1094.25	0	1094.25
534.509	1125	0	1125
534.639	1129	0	1129
534.769	1130.25	0	1130.25
534.9	1106.5	0	1106.5
535.03	1079.5	0	1079.5
535.16	1111.5	0	1111.5
535.29	1086.5	0	1086.5
535.42	1079.5	0	1079.5
535.55	1038.75	0	1038.75
535.68	1046.75	0	1046.75
535.81	1050.25	0	1050.25
535.94	1017.75	0	1017.75
536.071	993.75	0	993.75
536.201	1016.75	0	1016.75
536.331	995.25	0	995.25
536.461	1029	0	1029
536.591	979.25	0	979.25
536.721	986.25	0	986.25
536.851	1030.25	0	1030.25
536.981	1028.5	0	1028.5
537.11	1036.5	0	1036.5
537.24	1013.5	0	1013.5
537.37	1054	0	1054
537.5	1029.5	0	1029.5
537.63	1113.75	0	1113.75
537.76	1113.25	0	1113.25
537.89	1163.25	0	1163.25
538.02	1226	0	1226
538.149	1233.75	0	1233.75
538.279	1346.75	0	1346.75
538.409	1384.5	0	1384.5
538.539	1417.5	0	1417.5
538.669	1417	0	1417
538.798	1404.75	0	1404.75
538.928	1373.75	0	1373.75
539.058	1357.25	0	1357.25
539.187	1319.25	0	1319.25
539.317	1290	0	1290
539.447	1263.25	0	1263.25
539.576	1208.75	0	1208.75
539.706	1176.5	0	1176.5
539.836	1126	0	1126
539.965	1128	0	1128
540.095	1078	0	1078
540.225	1074.25	0	1074.25
540.354	1044.75	0	1044.75
540.484	1021.5	0	1021.5
540.613	988.5	0	988.5
540.743	969	0	969
540.872	971	0	971
541.002	883.25	0	883.25
541.131	881.25	0	881.25
541.261	882.25	0	882.25
541.39	841.5	0	841.5
541.52	863	0	863
541.649	849.5	0	849.5
541.778	814.5	0	814.5
541.908	809.5	0	809.5
542.037	768.25	0	768.25
542.167	756	0	756
542.296	755.75	0	755.75
542.425	742.25	0	742.25
542.554	708.25	0	708.25
542.684	684.5	0	684.5
542.813	677	0	677
542.942	698.25	0	698.25
543.072	704.5	0	704.5
543.201	666	0	666
543.33	666.25	0	666.25
543.459	646	0	646
543.588	645	0	645
543.718	646.25	0	646.25
543.847	631	0	631
543.976	618.5	0	618.5
544.105	613.5	0	613.5
544.234	596	0	596
544.363	611.5	0	611.5
544.492	602	0	602
544.621	598.75	0	598.75
544.75	574.25	0	574.25
544.88	594	0	594
545.009	591.25	0	591.25
545.138	545.5	0	545.5
545.266	558.75	0	558.75
545.396	570.5	0	570.5
545.525	579.5	0	579.5
545.653	541.5	0	541.5
545.782	552.75	0	552.75
545.911	541.75	0	541.75
546.04	540.75	0	540.75
546.169	548.75	0	548.75
546.298	561.25	0	561.25
546.427	552.75	0	552.75
546.556	530.75	0	530.75
546.685	539.75	0	539.75
546.813	537.25	0	537.25
546.942	516	0	516
547.071	527.75	0	527.75
547.2	530.75	0	530.75
547.328	511.25	0	511.25
547.457	493	0	493
547.586	488	0	488
547.715	494.75	0	494.75
547.843	493.25	0	493.25
547.972	508	0	508
548.101	516	0	516
548.229	481	0	481
548.358	476.75	0	476.75
548.487	480.5	0	480.5
548.615	490.5	0	490.5
548.744	459.5	0	459.5
548.872	487.5	0	487.5
549.001	474.75	0	474.75
549.129	468.25	0	468.25
549.258	469.75	0	469.75
549.387	474.75	0	474.75
549.515	456.25	0	456.25
549.643	464.25	0	464.25
549.772	450	0	450
549.9	437.75	0	437.75
550.029	451.25	0	451.25
550.157	454.5	0	454.5
550.286	446	0	446
550.414	452	0	452
550.542	458.25	0	458.25
550.671	439.5	0	439.5
550.799	449.75	0	449.75
550.927	442	0	442
551.056	423.5	0	423.5
551.184	445	0	445
551.312	436.25	0	436.25
551.441	432.25	0	432.25
551.569	420.5	0	420.5
551.697	410.75	0	410.75
551.825	428.5	0	428.5
551.953	408	0	408
552.082	426.5	0	426.5
552.21	417.75	0	417.75
552.338	414.75	0	414.75
552.466	421.25	0	421.25
552.594	397	0	397
552.722	413.25	0	413.25
552.851	407.75	0	407.75
552.979	398.25	0	398.25
553.107	414	0	414
553.235	423.5	0	423.5
553.363	410	0	410
553.491	412.25	0	412.25
553.619	412	0	412
553.747	403.5	0	403.5
553.875	395.75	0	395.75
554.003	382	0	382
554.131	413.5	0	413.5
554.259	392	0	392
554.387	386.25	0	386.25
554.514	401.25	0	401.25
554.642	415	0	415
554.77	400.25	0	400.25
554.898	384.5	0	384.5
555.026	407.5	0	407.5
555.154	390	0	390
555.281	386	0	386
555.409	392	0	392
555.537	391.25	0	391.25
555.665	379.25	0	379.25
555.793	401.5	0	401.5
555.92	386.5	0	386.5
556.048	387.5	0	387.5
556.176	405.5	0	405.5
556.303	382.5	0	382.5
556.431	392.25	0	392.25
556.559	377.25	0	377.25
556.686	384.25	0	384.25
556.814	391.75	0	391.75
556.942	386.75	0	386.75
557.069	381	0	381
557.197	377.5	0	377.5
557.324	389	0	389
557.452	392.75	0	392.75
557.579	355.75	0	355.75
557.707	370	0	370
557.835	368.25	0	368.25
557.962	365.5	0	365.5
558.089	371.25	0	371.25
558.217	377.25	0	377.25
558.344	379.5	0	379.5
558.472	363.5	0	363.5
558.599	367.25	0	367.25
558.727	351	0	351
558.854	368	0	368
558.981	355.75	0	355.75
559.109	370.75	0	370.75
559.236	376	0	376
559.363	360	0	360
559.491	358	0	358
559.618	370.25	0	370.25
559.745	351.25	0	351.25
559.872	338.5	0	338.5
560	353.5	0	353.5
560.127	347	0	347
560.254	361	0	361
560.381	357.5	0	357.5
560.508	354.75	0	354.75
560.636	345.25	0	345.25
560.763	342.5	0	342.5
560.89	356.5	0	356.5
561.017	338.75	0	338.75
561.144	346.75	0	346.75
561.271	345	0	345
561.398	345.75	0	345.75
561.525	341.25	0	341.25
561.652	364.25	0	364.25
561.779	341.25	0	341.25
561.906	348	0	348
562.033	351.75	0	351.75
562.16	340	0	340
562.287	352	0	352
562.414	342.5	0	342.5
562.541	344.5	0	344.5
562.668	337.25	0	337.25
562.795	353	0	353
562.922	337.5	0	337.5
563.049	338.25	0	338.25
563.175	349.75	0	349.75
563.302	335	0	335
563.429	339.5	0	339.5
563.556	334.75	0	334.75
563.683	338.5	0	338.5
563.809	316.25	0	316.25
563.936	317.5	0	317.5
564.063	306.25	0	306.25
564.19	320.75	0	320.75
564.316	312.25	0	312.25
564.443	310.5	0	310.5
564.57	317.25	0	317.25
564.696	333.5	0	333.5
564.823	327.25	0	327.25
564.95	327.5	0	327.5
565.076	321.75	0	321.75
565.203	330.5	0	330.5
565.33	323.25	0	323.25
565.456	319.5	0	319.5
565.583	307.25	0	307.25
565.709	336.75	0	336.75
565.836	318.75	0	318.75
565.962	321	0	321
566.089	324.25	0	324.25
566.215	319	0	319
566.341	301.75	0	301.75
566.468	328.25	0	328.25
566.594	326	0	326
566.721	305.5	0	305.5
566.847	324	0	324
566.974	320.25	0	320.25
567.1	314	0	314
567.226	309	0	309
567.353	306.25	0	306.25
567.479	320	0	320
567.605	304	0	304
567.732	299	0	299
567.858	301.5	0	301.5
567.984	301	0	301
568.11	305	0	305
568.236	302.5	0	302.5
568.363	303	0	303
568.489	297.25	0	297.25
568.615	317.5	0	317.5
568.741	308.5	0	308.5
568.867	291.25	0	291.25
568.993	286	0	286
569.12	301	0	301
569.246	303.75	0	303.75
569.372	301.75	0	301.75
569.498	308.5	0	308.5
569.624	295.5	0	295.5
569.75	293.5	0	293.5
569.876	295.25	0	295.25
570.002	299.75	0	299.75
570.128	290.75	0	290.75
570.254	298.75	0	298.75
570.38	299.75	0	299.75
570.506	305.5	0	305.5
570.632	301.25	0	301.25
570.758	293.75	0	293.75
570.883	286.75	0	286.75
571.009	294.75	0	294.75
571.135	278.75	0	278.75
571.261	296.5	0	296.5
571.387	278.75	0	278.75
571.513	298.25	0	298.25
571.638	303.75	0	303.75
571.764	271.25	0	271.25
571.89	292.25	0	292.25
572.016	286.25	0	286.25
572.141	276	0	276
572.267	296.25	0	296.25
572.393	299.5	0	299.5
572.518	275.5	0	275.5
572.644	290	0	290
572.77	279.5	0	279.5
572.895	281.5	0	281.5
573.021	275.25	0	275.25
573.147	274.75	0	274.75
573.272	277.5	0	277.5
573.398	283.25	0	283.25
573.523	279.75	0	279.75
573.649	278.5	0	278.5
573.774	274.25	0	274.25
573.9	284.75	0	284.75
574.025	279.5	0	279.5
574.151	266.75	0	266.75
574.276	278.25	0	278.25
574.402	275.5	0	275.5
574.527	276.25	0	276.25
574.652	294.75	0	294.75
574.778	268.25	0	268.25
574.903	260.5	0	260.5
575.029	264.75	0	264.75
575.154	280	0	280
575.279	271.25	0	271.25
575.405	277.5	0	277.5
575.53	254.75	0	254.75
575.655	271.75	0	271.75
575.78	263.5	0	263.5
575.906	272.5	0	272.5
576.031	267.75	0	267.75
576.156	278.75	0	278.75
576.281	271.75	0	271.75
576.406	269.75	0	269.75
576.532	260.75	0	260.75
576.657	263.75	0	263.75
576.782	268.75	0	268.75
576.907	264.25	0	264.25
577.032	261.25	0	261.25
577.157	270.75	0	270.75
577.282	267.25	0	267.25
577.407	268.25	0	268.25
577.532	253	0	253
577.657	258	0	258
577.782	254.75	0	254.75
577.907	255.5	0	255.5
578.032	269	0	269
578.157	269.5	0	269.5
578.282	269	0	269
578.407	265.25	0	265.25
578.532	271.75	0	271.75
578.657	261.5	0	261.5
578.782	271.75	0	271.75
578.907	260.5	0	260.5
579.031	250.5	0	250.5
579.156	274.75	0	274.75
579.281	262.75	0	262.75
579.406	266.75	0	266.75
579.531	261.75	0	261.75
579.655	243.25	0	243.25
579.78	271.25	0	271.25
579.905	250.75	0	250.75
580.03	278.75	0	278.75
580.154	259.75	0	259.75
580.279	266	0	266
580.404	251.5	0	251.5
580.528	245.25	0	245.25
580.653	256.25	0	256.25
580.778	257.75	0	257.75
580.902	251.5	0	251.5
581.027	255.25	0	255.25
581.151	251.5	0	251.5
581.276	257.5	0	257.5
581.4	250.25	0	250.25
581.525	252.25	0	252.25
581.649	247.5	0	247.5
581.774	249.75	0	249.75
581.898	253.75	0	253.75
582.023	244.5	0	244.5
582.147	254.5	0	254.5
582.272	241.75	0	241.75
582.396	239.25	0	239.25
582.52	256.25	0	256.25
582.645	240.75	0	240.75
582.769	244.25	0	244.25
582.893	254.25	0	254.25
583.018	249	0	249
583.142	246.5	0	246.5
583.266	247.25	0	247.25
583.391	247.5	0	247.5
583.515	245.5	0	245.5
583.639	242	0	242
583.763	242.75	0	242.75
583.888	250.5	0	250.5
584.012	245.75	0	245.75
584.136	243.75	0	243.75
584.26	247	0	247
584.384	242.75	0	242.75
584.508	231.25	0	231.25
584.632	227.25	0	227.25
584.757	246.75	0	246.75
584.881	240.5	0	240.5
585.005	254.75	0	254.75
585.129	234	0	234
585.253	238	0	238
585.377	231.75	0	231.75
585.501	240.75	0	240.75
585.625	235.75	0	235.75
585.749	243	0	243
585.873	240	0	240
585.997	232.75	0	232.75
586.12	239.25	0	239.25
586.244	246.75	0	246.75
586.368	240.5	0	240.5
586.492	226.5	0	226.5
586.616	232.75	0	232.75
586.74	232	0	232
586.864	232.75	0	232.75
586.987	226.25	0	226.25
587.111	233.75	0	233.75
587.235	226.25	0	226.25
587.359	230.5	0	230.5
