Lambda	Spectrum	Dark	SpecMinusDark
500.031	238.5	0	238.5
500.165	244.75	0	244.75
500.299	247.75	0	247.75
500.433	255.25	0	255.25
500.567	247.25	0	247.25
500.701	244.25	0	244.25
500.835	263.75	0	263.75
500.968	257.25	0	257.25
501.102	258.5	0	258.5
501.236	253	0	253
501.37	261	0	261
501.504	304.25	0	304.25
501.637	316	0	316
501.771	313.25	0	313.25
501.905	294	0	294
502.039	287	0	287
502.172	294	0	294
502.306	288.5	0	288.5
502.44	282.5	0	282.5
502.573	284.5	0	284.5
502.707	282	0	282
502.841	285.5	0	285.5
502.974	298.75	0	298.75
503.108	289.75	0	289.75
503.242	276.75	0	276.75
503.375	272	0	272
503.509	285.25	0	285.25
503.642	295.25	0	295.25
503.776	285.25	0	285.25
503.909	293.75	0	293.75
504.043	292	0	292
504.176	283	0	283
504.31	292.5	0	292.5
504.443	288	0	288
504.577	300.75	0	300.75
504.71	310.5	0	310.5
504.844	296.5	0	296.5
504.977	313.75	0	313.75
505.111	315.5	0	315.5
505.244	307.25	0	307.25
505.377	315.25	0	315.25
505.511	335.25	0	335.25
505.644	320.25	0	320.25
505.777	318.75	0	318.75
505.911	309.5	0	309.5
506.044	311	0	311
506.177	324.5	0	324.5
506.311	321	0	321
506.444	311.25	0	311.25
506.577	334.25	0	334.25
506.71	336.5	0	336.5
506.844	326.25	0	326.25
506.977	363.5	0	363.5
507.11	398.5	0	398.5
507.243	398.5	0	398.5
507.376	358.75	0	358.75
507.51	365	0	365
507.643	354.75	0	354.75
507.776	382.25	0	382.25
507.909	354.75	0	354.75
508.042	334.75	0	334.75
508.175	342	0	342
508.308	343.25	0	343.25
508.441	351	0	351
508.574	329.75	0	329.75
508.707	335.25	0	335.25
508.84	337	0	337
508.973	341.5	0	341.5
509.106	330.5	0	330.5
509.239	329.25	0	329.25
509.372	332.5	0	332.5
509.505	340	0	340
509.638	351.25	0	351.25
509.771	344.75	0	344.75
509.904	314	0	314
510.037	343.75	0	343.75
510.17	348	0	348
510.303	339.5	0	339.5
510.436	346.25	0	346.25
510.568	322.5	0	322.5
510.701	333.25	0	333.25
510.834	330	0	330
510.967	361.75	0	361.75
511.1	350.5	0	350.5
511.232	386.25	0	386.25
511.365	381	0	381
511.498	379	0	379
511.631	406.75	0	406.75
511.763	382.75	0	382.75
511.896	381.5	0	381.5
512.029	377	0	377
512.161	368.5	0	368.5
512.294	368.75	0	368.75
512.427	381.25	0	381.25
512.559	369.75	0	369.75
512.692	413.5	0	413.5
512.825	394.75	0	394.75
512.957	380.25	0	380.25
513.09	377	0	377
513.222	368.25	0	368.25
513.355	390.25	0	390.25
513.487	388.25	0	388.25
513.62	376	0	376
513.752	375.5	0	375.5
513.885	397.5	0	397.5
514.017	398	0	398
514.15	405.5	0	405.5
514.282	436	0	436
514.415	481.25	0	481.25
514.547	460.25	0	460.25
514.68	435	0	435
514.812	440.25	0	440.25
514.944	452	0	452
515.077	405.5	0	405.5
515.209	409.5	0	409.5
515.341	399.5	0	399.5
515.474	404.5	0	404.5
515.606	406.5	0	406.5
515.738	407.25	0	407.25
515.871	392.25	0	392.25
516.003	404.25	0	404.25
516.135	399.25	0	399.25
516.267	401.75	0	401.75
516.4	426.5	0	426.5
516.532	423.5	0	423.5
516.664	460	0	460
516.796	465	0	465
516.928	492.75	0	492.75
517.06	509.75	0	509.75
517.193	513.25	0	513.25
517.325	487.5	0	487.5
517.457	472	0	472
517.589	468.75	0	468.75
517.721	476.75	0	476.75
517.853	488.5	0	488.5
517.985	513.25	0	513.25
518.117	511	0	511
518.249	537.25	0	537.25
518.381	538.75	0	538.75
518.513	553.75	0	553.75
518.645	574	0	574
518.777	599	0	599
518.909	640	0	640
519.041	658.75	0	658.75
519.173	635.25	0	635.25
519.305	679	0	679
519.437	718	0	718
519.569	782	0	782
519.701	815.25	0	815.25
519.832	880.5	0	880.5
519.964	938	0	938
520.096	1007.5	0	1007.5
520.228	1134.5	0	1134.5
520.36	1271	0	1271
520.491	1485.25	0	1485.25
520.623	1839.5	0	1839.5
