Lambda	Spectrum	Dark	SpecMinusDark
500.031	847	0	847
500.165	846.25	0	846.25
500.299	899.75	0	899.75
500.433	881.5	0	881.5
500.567	902.75	0	902.75
500.701	918	0	918
500.835	920.5	0	920.5
500.968	965.25	0	965.25
501.102	962.75	0	962.75
501.236	1011.25	0	1011.25
501.37	1011.5	0	1011.5
501.504	1029.25	0	1029.25
501.637	1027	0	1027
501.771	1110.25	0	1110.25
501.905	1156	0	1156
502.039	1229.75	0	1229.75
502.172	1245.5	0	1245.5
502.306	1203	0	1203
502.44	1167	0	1167
502.573	1185.5	0	1185.5
502.707	1178.75	0	1178.75
502.841	1141.75	0	1141.75
502.974	1145	0	1145
503.108	1129.5	0	1129.5
503.242	1135.75	0	1135.75
503.375	1195.25	0	1195.25
503.509	1206.25	0	1206.25
503.642	1239	0	1239
503.776	1339.75	0	1339.75
503.909	1355.25	0	1355.25
504.043	1364	0	1364
504.176	1335	0	1335
504.31	1312	0	1312
504.443	1318.25	0	1318.25
504.577	1331.5	0	1331.5
504.71	1289	0	1289
504.844	1306.5	0	1306.5
504.977	1333	0	1333
505.111	1348	0	1348
505.244	1360.75	0	1360.75
505.377	1371	0	1371
505.511	1397.75	0	1397.75
505.644	1445	0	1445
505.777	1449	0	1449
505.911	1435.25	0	1435.25
506.044	1485.5	0	1485.5
506.177	1493.75	0	1493.75
506.311	1564.5	0	1564.5
506.444	1542	0	1542
506.577	1582	0	1582
506.71	1562.25	0	1562.25
506.844	1575.75	0	1575.75
506.977	1601.75	0	1601.75
507.11	1589	0	1589
507.243	1623.5	0	1623.5
507.376	1651.5	0	1651.5
507.51	1635.25	0	1635.25
507.643	1677.75	0	1677.75
507.776	1825	0	1825
507.909	1903.25	0	1903.25
508.042	2062.75	0	2062.75
508.175	2007.5	0	2007.5
508.308	1939.75	0	1939.75
508.441	1820	0	1820
508.574	1789	0	1789
508.707	1770.75	0	1770.75
508.84	1751.25	0	1751.25
508.973	1745.25	0	1745.25
509.106	1704	0	1704
509.239	1705	0	1705
509.372	1696.25	0	1696.25
509.505	1692	0	1692
509.638	1640	0	1640
509.771	1732	0	1732
509.904	1730	0	1730
510.037	1765.5	0	1765.5
510.17	1789.5	0	1789.5
510.303	1882.5	0	1882.5
510.436	2051.5	0	2051.5
510.568	2483.5	0	2483.5
510.701	3844.25	0	3844.25
510.834	5706.75	0	5706.75
510.967	8245.75	0	8245.75
511.1	6701.25	0	6701.25
511.232	3034.25	0	3034.25
511.365	2370	0	2370
511.498	2109.25	0	2109.25
511.631	2065.75	0	2065.75
511.763	2004.5	0	2004.5
511.896	1906.5	0	1906.5
512.029	1867	0	1867
512.161	1773.5	0	1773.5
512.294	1773.75	0	1773.75
512.427	1801.75	0	1801.75
512.559	1820.75	0	1820.75
512.692	1772.5	0	1772.5
512.825	1830.75	0	1830.75
512.957	1845.25	0	1845.25
513.09	1851.25	0	1851.25
513.222	1932.25	0	1932.25
513.355	1893.75	0	1893.75
513.487	1932.75	0	1932.75
513.62	1961	0	1961
