Lambda	Spectrum	Dark	SpecMinusDark
500.031	7560.25	0	7560.25
500.165	8345.75	0	8345.75
500.299	9470.5	0	9470.5
500.433	10542	0	10542
500.567	11307	0	11307
500.701	11521.5	0	11521.5
500.835	11815.2	0	11815.2
500.968	11529.8	0	11529.8
501.102	10898	0	10898
501.236	10010	0	10010
501.37	9518.75	0	9518.75
501.504	8741.5	0	8741.5
501.637	8281.75	0	8281.75
501.771	7788	0	7788
501.905	7584.5	0	7584.5
502.039	7679.75	0	7679.75
502.172	7618.75	0	7618.75
502.306	7360.25	0	7360.25
502.44	6593	0	6593
502.573	6400.25	0	6400.25
502.707	6320.25	0	6320.25
502.841	6226.25	0	6226.25
502.974	6069.5	0	6069.5
503.108	5948	0	5948
503.242	5968	0	5968
503.375	5895.5	0	5895.5
503.509	5735	0	5735
503.642	5675.75	0	5675.75
503.776	5588.5	0	5588.5
503.909	5637	0	5637
504.043	5737.25	0	5737.25
504.176	5789.5	0	5789.5
504.31	5995.75	0	5995.75
504.443	6167.25	0	6167.25
504.577	6399	0	6399
504.71	6555	0	6555
504.844	6623.75	0	6623.75
504.977	6629.75	0	6629.75
505.111	6367	0	6367
505.244	6176	0	6176
505.377	6142	0	6142
505.511	6023.25	0	6023.25
505.644	5848.75	0	5848.75
505.777	5819.5	0	5819.5
505.911	5753	0	5753
506.044	5708.5	0	5708.5
506.177	5763.5	0	5763.5
506.311	5733.75	0	5733.75
506.444	5723.75	0	5723.75
506.577	5771	0	5771
506.71	5657.75	0	5657.75
506.844	5794.75	0	5794.75
506.977	5694.25	0	5694.25
507.11	5715.75	0	5715.75
507.243	5835	0	5835
507.376	5836.75	0	5836.75
507.51	5780.25	0	5780.25
507.643	5766	0	5766
507.776	5848.25	0	5848.25
507.909	5818	0	5818
508.042	5799.75	0	5799.75
508.175	5752	0	5752
508.308	5750	0	5750
508.441	5782.5	0	5782.5
508.574	5694	0	5694
508.707	5631.25	0	5631.25
508.84	5663.5	0	5663.5
508.973	5640.5	0	5640.5
509.106	5679.75	0	5679.75
509.239	5809	0	5809
509.372	5756.5	0	5756.5
509.505	5755.25	0	5755.25
509.638	5725.75	0	5725.75
509.771	5796.75	0	5796.75
509.904	5858.5	0	5858.5
510.037	5893.75	0	5893.75
510.17	5973	0	5973
510.303	6055.25	0	6055.25
510.436	5986.25	0	5986.25
510.568	5915.75	0	5915.75
510.701	5906.25	0	5906.25
510.834	5933.5	0	5933.5
510.967	6015	0	6015
511.1	5980.5	0	5980.5
511.232	6054.75	0	6054.75
511.365	5890.5	0	5890.5
511.498	5978.75	0	5978.75
511.631	6026.5	0	6026.5
511.763	5942.75	0	5942.75
511.896	5965.25	0	5965.25
512.029	5995.25	0	5995.25
512.161	6086.25	0	6086.25
512.294	6048.75	0	6048.75
512.427	6024.25	0	6024.25
512.559	6172	0	6172
512.692	6270.5	0	6270.5
512.825	6327	0	6327
512.957	6335.75	0	6335.75
513.09	6419	0	6419
513.222	6383	0	6383
513.355	6469.25	0	6469.25
513.487	6541	0	6541
513.62	6662.75	0	6662.75
513.752	6766	0	6766
513.885	6746	0	6746
514.017	6692	0	6692
514.15	6934.5	0	6934.5
514.282	7237.25	0	7237.25
514.415	7499.5	0	7499.5
514.547	7054.5	0	7054.5
514.68	7053.5	0	7053.5
514.812	6892.25	0	6892.25
514.944	6890	0	6890
515.077	6972.25	0	6972.25
515.209	7077.25	0	7077.25
515.341	7209.75	0	7209.75
515.474	7179.5	0	7179.5
515.606	7326.5	0	7326.5
515.738	7175.5	0	7175.5
515.871	7343	0	7343
516.003	7369.25	0	7369.25
516.135	7448.75	0	7448.75
516.267	7555.25	0	7555.25
516.4	7735.75	0	7735.75
516.532	7954	0	7954
516.664	8181.5	0	8181.5
516.796	8417.75	0	8417.75
516.928	8974	0	8974
517.06	9883.25	0	9883.25
517.193	11288.5	0	11288.5
517.325	11556.2	0	11556.2
517.457	10562.8	0	10562.8
517.589	10063	0	10063
517.721	9963	0	9963
517.853	9892.25	0	9892.25
517.985	9924	0	9924
518.117	9968.75	0	9968.75
518.249	10012	0	10012
518.381	9863	0	9863
518.513	9644	0	9644
518.645	9381.5	0	9381.5
518.777	9155.25	0	9155.25
518.909	8810	0	8810
519.041	8751.5	0	8751.5
519.173	8560.5	0	8560.5
519.305	8439.25	0	8439.25
519.437	8632	0	8632
519.569	8947	0	8947
519.701	9066.75	0	9066.75
519.832	8489.75	0	8489.75
519.964	8346	0	8346
520.096	8215.5	0	8215.5
520.228	8036.5	0	8036.5
520.36	7976.25	0	7976.25
520.491	7786.25	0	7786.25
520.623	7741.5	0	7741.5
520.755	7774.25	0	7774.25
520.887	7671.75	0	7671.75
521.018	7608	0	7608
521.15	7703.5	0	7703.5
521.282	7698.75	0	7698.75
521.414	7664	0	7664
521.545	7460.25	0	7460.25
521.677	7604.5	0	7604.5
521.808	7581.75	0	7581.75
521.94	7761.75	0	7761.75
522.072	7836	0	7836
