Lambda	Spectrum	Dark	SpecMinusDark
500.031	4445.5	0	4445.5
500.165	4797.75	0	4797.75
500.299	5163	0	5163
500.433	5625	0	5625
500.567	5761.75	0	5761.75
500.701	5975.25	0	5975.25
500.835	6013.25	0	6013.25
500.968	5890	0	5890
501.102	5806	0	5806
501.236	5596.75	0	5596.75
501.37	5447	0	5447
501.504	5159	0	5159
501.637	5004	0	5004
501.771	4880.5	0	4880.5
501.905	4594.75	0	4594.75
502.039	4588	0	4588
502.172	4513	0	4513
502.306	4434.5	0	4434.5
502.44	4399.75	0	4399.75
502.573	4418.25	0	4418.25
502.707	4425.5	0	4425.5
502.841	4419.5	0	4419.5
502.974	4452.25	0	4452.25
503.108	4371.25	0	4371.25
503.242	4371	0	4371
503.375	4361.25	0	4361.25
503.509	4397.75	0	4397.75
503.642	4358.5	0	4358.5
503.776	4426.5	0	4426.5
503.909	4473	0	4473
504.043	4530.5	0	4530.5
504.176	4536.25	0	4536.25
504.31	4646.75	0	4646.75
504.443	4655.75	0	4655.75
504.577	4778	0	4778
504.71	4842.25	0	4842.25
504.844	5062	0	5062
504.977	4998.75	0	4998.75
505.111	4946.25	0	4946.25
505.244	4831.5	0	4831.5
505.377	4901	0	4901
505.511	4861.5	0	4861.5
505.644	4774.75	0	4774.75
505.777	4928.5	0	4928.5
505.911	4884.75	0	4884.75
506.044	4970	0	4970
506.177	4974.25	0	4974.25
506.311	4953.75	0	4953.75
506.444	4996.25	0	4996.25
506.577	4983.25	0	4983.25
506.71	5108	0	5108
506.844	4994	0	4994
506.977	5085.75	0	5085.75
507.11	4953	0	4953
507.243	5046	0	5046
507.376	5136.5	0	5136.5
507.51	5105.5	0	5105.5
507.643	5153.25	0	5153.25
507.776	5107	0	5107
507.909	5132	0	5132
508.042	5145.75	0	5145.75
508.175	5201.25	0	5201.25
508.308	5330	0	5330
508.441	5264	0	5264
508.574	5326.5	0	5326.5
508.707	5300.25	0	5300.25
508.84	5416.5	0	5416.5
508.973	5442	0	5442
509.106	5524	0	5524
509.239	5565.75	0	5565.75
509.372	5568.5	0	5568.5
509.505	5561.75	0	5561.75
509.638	5696	0	5696
509.771	5704.5	0	5704.5
509.904	5812.25	0	5812.25
510.037	5836.75	0	5836.75
510.17	5851.75	0	5851.75
510.303	6018.5	0	6018.5
510.436	5932.25	0	5932.25
510.568	6110.5	0	6110.5
510.701	6151.25	0	6151.25
510.834	6233.25	0	6233.25
510.967	6263.25	0	6263.25
511.1	6415.5	0	6415.5
511.232	6455.75	0	6455.75
511.365	6481	0	6481
511.498	6579	0	6579
511.631	6704.5	0	6704.5
511.763	6830.25	0	6830.25
511.896	6967.25	0	6967.25
512.029	7009.5	0	7009.5
512.161	7091.5	0	7091.5
512.294	7210.25	0	7210.25
512.427	7168	0	7168
512.559	7251	0	7251
512.692	7474.75	0	7474.75
512.825	7637.25	0	7637.25
512.957	7887	0	7887
513.09	7916.5	0	7916.5
513.222	8256	0	8256
513.355	8434.25	0	8434.25
513.487	8474.5	0	8474.5
513.62	8765	0	8765
513.752	8815.75	0	8815.75
513.885	8961	0	8961
514.017	8887	0	8887
514.15	8740.25	0	8740.25
514.282	8708.5	0	8708.5
514.415	8608.25	0	8608.25
514.547	8508.5	0	8508.5
514.68	8277.5	0	8277.5
514.812	8258.5	0	8258.5
514.944	8226.75	0	8226.75
515.077	8002	0	8002
515.209	8095.75	0	8095.75
515.341	8001.25	0	8001.25
515.474	7998.25	0	7998.25
515.606	7996.25	0	7996.25
515.738	7903.5	0	7903.5
515.871	7898.75	0	7898.75
516.003	7894.5	0	7894.5
516.135	7815.5	0	7815.5
516.267	7795.5	0	7795.5
516.4	7855.75	0	7855.75
516.532	7963.75	0	7963.75
516.664	8035.25	0	8035.25
516.796	8077.25	0	8077.25
516.928	8120.75	0	8120.75
517.06	8356.25	0	8356.25
517.193	8541.25	0	8541.25
517.325	8664.5	0	8664.5
517.457	8800	0	8800
517.589	9009.75	0	9009.75
517.721	9106	0	9106
517.853	9274.5	0	9274.5
517.985	9419.25	0	9419.25
518.117	9416.5	0	9416.5
518.249	9306.25	0	9306.25
518.381	9270.5	0	9270.5
518.513	9056.25	0	9056.25
518.645	8794	0	8794
518.777	8598.25	0	8598.25
518.909	8367	0	8367
519.041	8121.75	0	8121.75
519.173	8000.5	0	8000.5
519.305	7820.5	0	7820.5
519.437	7573.5	0	7573.5
519.569	7440	0	7440
519.701	7419.25	0	7419.25
519.832	7207.75	0	7207.75
519.964	7139.75	0	7139.75
520.096	6881.75	0	6881.75
520.228	6904.5	0	6904.5
520.36	6737.5	0	6737.5
520.491	6782.25	0	6782.25
520.623	6604.25	0	6604.25
520.755	6667.25	0	6667.25
520.887	6589.25	0	6589.25
521.018	6483.25	0	6483.25
521.15	6535	0	6535
521.282	6343	0	6343
521.414	6436	0	6436
521.545	6350.5	0	6350.5
521.677	6267	0	6267
521.808	6349.5	0	6349.5
521.94	6201	0	6201
522.072	6197	0	6197
522.203	6155.25	0	6155.25
522.335	6117.5	0	6117.5
522.466	6065.25	0	6065.25
522.598	6065	0	6065
522.729	6120.5	0	6120.5
522.861	6039	0	6039
522.993	6041.25	0	6041.25
523.124	6189.5	0	6189.5
523.256	6086.5	0	6086.5
523.387	6156.25	0	6156.25
523.518	6141	0	6141
523.65	6016	0	6016
523.781	5936.75	0	5936.75
523.913	5873.75	0	5873.75
524.044	5770.5	0	5770.5
524.176	5690.5	0	5690.5
524.307	5688.5	0	5688.5
524.438	5542.25	0	5542.25
524.57	5544.75	0	5544.75
524.701	5482.25	0	5482.25
524.832	5467.25	0	5467.25
524.964	5342.75	0	5342.75
525.095	5303	0	5303
525.226	5303.25	0	5303.25
525.357	5282.5	0	5282.5
525.489	5140.5	0	5140.5
525.62	5115.75	0	5115.75
525.751	5123.5	0	5123.5
525.882	5053.5	0	5053.5
526.013	5103.75	0	5103.75
526.145	5064.25	0	5064.25
526.276	4983.75	0	4983.75
526.407	4988.25	0	4988.25
526.538	4913.25	0	4913.25
526.669	4911.25	0	4911.25
526.8	4807	0	4807
526.931	4845.25	0	4845.25
527.062	4704.5	0	4704.5
527.193	4665.5	0	4665.5
527.324	4684	0	4684
527.455	4546.5	0	4546.5
527.586	4528	0	4528
527.717	4523.75	0	4523.75
527.848	4473.75	0	4473.75
527.979	4524.5	0	4524.5
528.11	4479.75	0	4479.75
528.241	4353.5	0	4353.5
528.372	4376.25	0	4376.25
528.503	4357.25	0	4357.25
528.634	4237.75	0	4237.75
528.765	4235.75	0	4235.75
528.896	4237.75	0	4237.75
529.026	4115	0	4115
529.157	4158.5	0	4158.5
529.288	4207.25	0	4207.25
529.419	4118.75	0	4118.75
529.55	4101.25	0	4101.25
529.681	4124.5	0	4124.5
529.811	4069.75	0	4069.75
529.942	4052	0	4052
530.073	4039.25	0	4039.25
530.203	4001.5	0	4001.5
530.334	4076.75	0	4076.75
530.465	3937.25	0	3937.25
530.596	3972	0	3972
530.726	3950.5	0	3950.5
530.857	3936.25	0	3936.25
530.987	4022.75	0	4022.75
531.118	3860.5	0	3860.5
531.249	3950	0	3950
531.379	3877.25	0	3877.25
531.51	3931.5	0	3931.5
531.64	3919.25	0	3919.25
531.771	3915.25	0	3915.25
531.901	3838	0	3838
532.032	3827.5	0	3827.5
532.163	3796.25	0	3796.25
532.293	3773	0	3773
532.423	3824	0	3824
532.554	3800	0	3800
532.684	3806.75	0	3806.75
532.815	3822.5	0	3822.5
532.945	3762	0	3762
533.076	3735.5	0	3735.5
533.206	3763	0	3763
533.336	3747.75	0	3747.75
533.467	3709.25	0	3709.25
533.597	3656.5	0	3656.5
533.727	3668.75	0	3668.75
533.858	3676	0	3676
533.988	3625.75	0	3625.75
534.118	3578.5	0	3578.5
534.248	3612.25	0	3612.25
534.379	3628.75	0	3628.75
534.509	3625.5	0	3625.5
534.639	3660.75	0	3660.75
534.769	3563.25	0	3563.25
534.9	3637	0	3637
535.03	3595.75	0	3595.75
535.16	3583.75	0	3583.75
535.29	3564.25	0	3564.25
535.42	3498.5	0	3498.5
535.55	3483	0	3483
535.68	3471.25	0	3471.25
535.81	3495.75	0	3495.75
535.94	3457.5	0	3457.5
536.071	3556.25	0	3556.25
536.201	3443	0	3443
536.331	3474	0	3474
536.461	3362.25	0	3362.25
536.591	3448.75	0	3448.75
536.721	3396.5	0	3396.5
536.851	3490.5	0	3490.5
536.981	3370.5	0	3370.5
537.11	3435.5	0	3435.5
537.24	3385.75	0	3385.75
537.37	3347.75	0	3347.75
537.5	3325.25	0	3325.25
537.63	3332.25	0	3332.25
537.76	3361.25	0	3361.25
537.89	3372.75	0	3372.75
538.02	3311.25	0	3311.25
538.149	3307.5	0	3307.5
538.279	3276.5	0	3276.5
538.409	3312	0	3312
538.539	3279.75	0	3279.75
538.669	3297.5	0	3297.5
538.798	3229.25	0	3229.25
538.928	3260.75	0	3260.75
539.058	3252	0	3252
539.187	3216.25	0	3216.25
539.317	3160.75	0	3160.75
539.447	3133	0	3133
539.576	3169.25	0	3169.25
539.706	3134	0	3134
539.836	3208.5	0	3208.5
539.965	3134.75	0	3134.75
540.095	3119.5	0	3119.5
540.225	3101.5	0	3101.5
540.354	3085	0	3085
540.484	3092.25	0	3092.25
540.613	3068.25	0	3068.25
540.743	3112.25	0	3112.25
540.872	3096.75	0	3096.75
541.002	3063	0	3063
541.131	3024.5	0	3024.5
541.261	3036.5	0	3036.5
541.39	3076.5	0	3076.5
541.52	3030.75	0	3030.75
541.649	3031.5	0	3031.5
541.778	3056.75	0	3056.75
541.908	3029.25	0	3029.25
542.037	3050.75	0	3050.75
542.167	2990.75	0	2990.75
542.296	3051.75	0	3051.75
542.425	3022.75	0	3022.75
542.554	2969	0	2969
542.684	2975.25	0	2975.25
542.813	2987.25	0	2987.25
542.942	3034.25	0	3034.25
543.072	2967.75	0	2967.75
543.201	2933	0	2933
543.33	2971	0	2971
543.459	2943	0	2943
543.588	2912.5	0	2912.5
543.718	3006.25	0	3006.25
543.847	2969.5	0	2969.5
543.976	2934	0	2934
544.105	2939.5	0	2939.5
544.234	2928.25	0	2928.25
544.363	2947.5	0	2947.5
544.492	2927.75	0	2927.75
544.621	2921.5	0	2921.5
544.75	3007.25	0	3007.25
544.88	2993.5	0	2993.5
545.009	2996.75	0	2996.75
545.138	2916.25	0	2916.25
545.266	2891.75	0	2891.75
545.396	2943	0	2943
545.525	2897.25	0	2897.25
545.653	2913.25	0	2913.25
545.782	2964.5	0	2964.5
545.911	2985.25	0	2985.25
546.04	2925.5	0	2925.5
546.169	2887.5	0	2887.5
546.298	2927	0	2927
546.427	2917.25	0	2917.25
546.556	2950.5	0	2950.5
546.685	2905.25	0	2905.25
546.813	2914.25	0	2914.25
546.942	2901	0	2901
547.071	2898	0	2898
547.2	2882.25	0	2882.25
547.328	2893.5	0	2893.5
547.457	2819	0	2819
547.586	2922	0	2922
547.715	2872.5	0	2872.5
547.843	2870.5	0	2870.5
547.972	2909.75	0	2909.75
548.101	2936.5	0	2936.5
548.229	2969	0	2969
548.358	2947.75	0	2947.75
548.487	2894.25	0	2894.25
548.615	2875.25	0	2875.25
548.744	2897.75	0	2897.75
