Lambda	Spectrum	Dark	SpecMinusDark
500.031	10266.8	0	10266.8
500.165	11051.5	0	11051.5
500.299	12179	0	12179
500.433	13079.8	0	13079.8
500.567	13806.5	0	13806.5
500.701	13997.2	0	13997.2
500.835	14141.8	0	14141.8
500.968	13743.5	0	13743.5
501.102	13297.8	0	13297.8
501.236	12735.8	0	12735.8
501.37	12135	0	12135
501.504	11275.8	0	11275.8
501.637	10820.8	0	10820.8
501.771	10355.2	0	10355.2
501.905	9821.25	0	9821.25
502.039	9436.5	0	9436.5
502.172	9355.25	0	9355.25
502.306	9102.25	0	9102.25
502.44	8940	0	8940
502.573	8787	0	8787
502.707	8743.75	0	8743.75
502.841	8584.5	0	8584.5
502.974	8546	0	8546
503.108	8455.5	0	8455.5
503.242	8349.5	0	8349.5
503.375	8249.75	0	8249.75
503.509	8174.75	0	8174.75
503.642	8265.5	0	8265.5
503.776	8143.75	0	8143.75
503.909	8168.75	0	8168.75
504.043	8350.25	0	8350.25
504.176	8382.75	0	8382.75
504.31	8515.25	0	8515.25
504.443	8719.75	0	8719.75
504.577	9067.75	0	9067.75
504.71	9228.5	0	9228.5
504.844	9342.25	0	9342.25
504.977	9397.5	0	9397.5
505.111	9069.75	0	9069.75
505.244	8825.75	0	8825.75
505.377	8721.25	0	8721.25
505.511	8518.5	0	8518.5
505.644	8505.25	0	8505.25
505.777	8474.25	0	8474.25
505.911	8525.75	0	8525.75
506.044	8551.5	0	8551.5
506.177	8395.75	0	8395.75
506.311	8518	0	8518
506.444	8429.5	0	8429.5
506.577	8428.75	0	8428.75
506.71	8421.75	0	8421.75
506.844	8459.75	0	8459.75
506.977	8466	0	8466
507.11	8333.75	0	8333.75
507.243	8348.25	0	8348.25
507.376	8393.25	0	8393.25
507.51	8287.75	0	8287.75
507.643	8260	0	8260
507.776	8250.25	0	8250.25
507.909	8311.5	0	8311.5
508.042	8243.5	0	8243.5
508.175	8239.25	0	8239.25
508.308	8229	0	8229
508.441	8249.5	0	8249.5
508.574	8138.25	0	8138.25
508.707	8135.75	0	8135.75
508.84	8217.5	0	8217.5
508.973	8156	0	8156
509.106	8122.25	0	8122.25
509.239	8200	0	8200
509.372	8205.75	0	8205.75
509.505	8183.75	0	8183.75
509.638	8237	0	8237
509.771	8141.5	0	8141.5
509.904	8127	0	8127
510.037	8164.75	0	8164.75
510.17	8134.25	0	8134.25
510.303	8259.5	0	8259.5
510.436	8137.75	0	8137.75
510.568	8256.5	0	8256.5
510.701	8178.75	0	8178.75
510.834	8333.5	0	8333.5
510.967	8270.25	0	8270.25
511.1	8291.75	0	8291.75
511.232	8368.25	0	8368.25
511.365	8424.75	0	8424.75
511.498	8326.75	0	8326.75
511.631	8552	0	8552
511.763	8347.75	0	8347.75
511.896	8520.5	0	8520.5
512.029	8445.25	0	8445.25
512.161	8591.25	0	8591.25
512.294	8515	0	8515
512.427	8486.25	0	8486.25
512.559	8700.75	0	8700.75
512.692	8580.5	0	8580.5
512.825	8685	0	8685
512.957	8664	0	8664
513.09	8728	0	8728
513.222	8726.25	0	8726.25
513.355	8915.75	0	8915.75
513.487	8893	0	8893
513.62	8922.5	0	8922.5
513.752	8941.5	0	8941.5
513.885	9008	0	9008
514.017	9053.75	0	9053.75
514.15	9114	0	9114
514.282	9114.25	0	9114.25
514.415	9231.75	0	9231.75
514.547	9435.5	0	9435.5
514.68	9551.75	0	9551.75
514.812	9653.5	0	9653.5
514.944	9899.5	0	9899.5
515.077	9783.25	0	9783.25
515.209	10092.2	0	10092.2
515.341	10313.8	0	10313.8
515.474	10636.2	0	10636.2
515.606	10860.2	0	10860.2
515.738	11117.5	0	11117.5
515.871	11512	0	11512
516.003	12148.2	0	12148.2
516.135	13039.5	0	13039.5
516.267	14111	0	14111
516.4	15402.8	0	15402.8
516.532	15877	0	15877
516.664	15575.5	0	15575.5
516.796	14287.8	0	14287.8
516.928	13495.5	0	13495.5
517.06	13169.2	0	13169.2
517.193	12872.5	0	12872.5
517.325	12963.8	0	12963.8
517.457	12931.2	0	12931.2
517.589	13114.2	0	13114.2
517.721	13286.5	0	13286.5
517.853	13294.8	0	13294.8
517.985	13331.2	0	13331.2
518.117	13226	0	13226
518.249	12983.5	0	12983.5
518.381	13032.8	0	13032.8
518.513	12624.8	0	12624.8
518.645	12355.5	0	12355.5
518.777	12006.5	0	12006.5
518.909	11760.8	0	11760.8
519.041	11529.8	0	11529.8
519.173	11244.8	0	11244.8
519.305	11009.2	0	11009.2
519.437	10877.2	0	10877.2
519.569	10827.2	0	10827.2
519.701	10666.8	0	10666.8
519.832	10482.2	0	10482.2
519.964	10394	0	10394
520.096	10181.5	0	10181.5
520.228	10352.5	0	10352.5
520.36	10102.8	0	10102.8
520.491	10112	0	10112
520.623	10011.5	0	10011.5
520.755	10002.2	0	10002.2
520.887	10044.8	0	10044.8
521.018	9787.25	0	9787.25
521.15	9939.5	0	9939.5
521.282	9851.25	0	9851.25
521.414	9980	0	9980
521.545	9995.75	0	9995.75
521.677	10062.5	0	10062.5
521.808	10083.8	0	10083.8
521.94	10065.5	0	10065.5
522.072	10027.5	0	10027.5
522.203	9932.25	0	9932.25
522.335	9653.25	0	9653.25
522.466	9480.25	0	9480.25
522.598	9472.25	0	9472.25
522.729	9447.75	0	9447.75
522.861	9296.5	0	9296.5
522.993	9308.5	0	9308.5
523.124	9336	0	9336
523.256	9322	0	9322
523.387	9441.25	0	9441.25
523.518	9386.75	0	9386.75
523.65	9249.25	0	9249.25
523.781	9316	0	9316
523.913	9311	0	9311
524.044	9123	0	9123
524.176	9302.25	0	9302.25
524.307	9356.5	0	9356.5
524.438	9269.5	0	9269.5
