Lambda	Spectrum	Dark	SpecMinusDark
500.031	11140.2	0	11140.2
500.165	11943.5	0	11943.5
500.299	13194.8	0	13194.8
500.433	14196.5	0	14196.5
500.567	14922.5	0	14922.5
500.701	15161	0	15161
500.835	15272.8	0	15272.8
500.968	14999.8	0	14999.8
501.102	14386.2	0	14386.2
501.236	13842.2	0	13842.2
501.37	13122.5	0	13122.5
501.504	12458.2	0	12458.2
501.637	11859.2	0	11859.2
501.771	11227	0	11227
501.905	10766.5	0	10766.5
502.039	10585.8	0	10585.8
502.172	10234.5	0	10234.5
502.306	10115.5	0	10115.5
502.44	9885.5	0	9885.5
502.573	9755.25	0	9755.25
502.707	9753.25	0	9753.25
502.841	9574.75	0	9574.75
502.974	9520.25	0	9520.25
503.108	9348.25	0	9348.25
503.242	9231	0	9231
503.375	9074	0	9074
503.509	8969.75	0	8969.75
503.642	9068	0	9068
503.776	8988.5	0	8988.5
503.909	9159.5	0	9159.5
504.043	9167.5	0	9167.5
504.176	9192.25	0	9192.25
504.31	9519.5	0	9519.5
504.443	9597.75	0	9597.75
504.577	9831.75	0	9831.75
504.71	10210.2	0	10210.2
504.844	10323	0	10323
504.977	10321.2	0	10321.2
505.111	10006.2	0	10006.2
505.244	9629.75	0	9629.75
505.377	9555.5	0	9555.5
505.511	9390	0	9390
505.644	9405	0	9405
505.777	9386.5	0	9386.5
505.911	9198.75	0	9198.75
506.044	9331.75	0	9331.75
506.177	9262	0	9262
506.311	9285.5	0	9285.5
506.444	9248.25	0	9248.25
506.577	9107.75	0	9107.75
506.71	9119.25	0	9119.25
506.844	9003.5	0	9003.5
506.977	9082.25	0	9082.25
507.11	9035	0	9035
507.243	8993.75	0	8993.75
507.376	8996.5	0	8996.5
507.51	9047.25	0	9047.25
507.643	8954	0	8954
507.776	8971	0	8971
507.909	9128.25	0	9128.25
508.042	9047.75	0	9047.75
508.175	8929	0	8929
508.308	9093	0	9093
508.441	8941.5	0	8941.5
508.574	8886	0	8886
508.707	8873.75	0	8873.75
508.84	8899	0	8899
508.973	8834	0	8834
509.106	8917.25	0	8917.25
509.239	9006.5	0	9006.5
509.372	8947.25	0	8947.25
509.505	8944	0	8944
509.638	8846	0	8846
509.771	8908	0	8908
509.904	8873.25	0	8873.25
510.037	8938.5	0	8938.5
510.17	8957.5	0	8957.5
510.303	8989	0	8989
510.436	8980.5	0	8980.5
510.568	8862	0	8862
510.701	8948.25	0	8948.25
510.834	8979.75	0	8979.75
510.967	9015	0	9015
511.1	9055.75	0	9055.75
511.232	9030.5	0	9030.5
511.365	9100.5	0	9100.5
511.498	9087.75	0	9087.75
511.631	9049	0	9049
511.763	9120.25	0	9120.25
511.896	9240.75	0	9240.75
512.029	9158.25	0	9158.25
512.161	9129.25	0	9129.25
512.294	9073.5	0	9073.5
512.427	9151.5	0	9151.5
512.559	9167.25	0	9167.25
512.692	9140.5	0	9140.5
512.825	9179.5	0	9179.5
512.957	9274.25	0	9274.25
513.09	9186.25	0	9186.25
513.222	9305.5	0	9305.5
513.355	9287.75	0	9287.75
513.487	9298.25	0	9298.25
513.62	9321.5	0	9321.5
513.752	9502.5	0	9502.5
513.885	9483.75	0	9483.75
514.017	9480.25	0	9480.25
514.15	9473.5	0	9473.5
514.282	9586.25	0	9586.25
514.415	9504.75	0	9504.75
514.547	9676.25	0	9676.25
514.68	9714	0	9714
514.812	9626.75	0	9626.75
514.944	9725.5	0	9725.5
515.077	9729.75	0	9729.75
