Lambda	Spectrum	Dark	SpecMinusDark
500.031	7414.5	0	7414.5
500.165	8049.75	0	8049.75
500.299	8759.75	0	8759.75
500.433	9509.5	0	9509.5
500.567	9977	0	9977
500.701	10331.8	0	10331.8
500.835	10508.8	0	10508.8
500.968	10257.8	0	10257.8
501.102	9825.25	0	9825.25
501.236	9367.5	0	9367.5
501.37	8996.75	0	8996.75
501.504	8423.75	0	8423.75
501.637	7951.25	0	7951.25
501.771	7518	0	7518
501.905	7075.75	0	7075.75
502.039	6871.75	0	6871.75
502.172	6461.25	0	6461.25
502.306	6409.5	0	6409.5
502.44	6323.5	0	6323.5
502.573	6116.75	0	6116.75
502.707	6148.75	0	6148.75
502.841	5892	0	5892
502.974	5921.75	0	5921.75
503.108	5745.25	0	5745.25
503.242	5697.25	0	5697.25
503.375	5569.75	0	5569.75
503.509	5537	0	5537
503.642	5609.75	0	5609.75
503.776	5517.5	0	5517.5
503.909	5565	0	5565
504.043	5629.25	0	5629.25
504.176	5685.5	0	5685.5
504.31	5693.75	0	5693.75
504.443	5863.25	0	5863.25
504.577	5976	0	5976
504.71	6173	0	6173
504.844	6367.75	0	6367.75
504.977	6252.25	0	6252.25
505.111	6201.5	0	6201.5
505.244	5986.5	0	5986.5
505.377	5864.5	0	5864.5
505.511	5790.25	0	5790.25
505.644	5814.5	0	5814.5
505.777	5803.25	0	5803.25
505.911	5664.75	0	5664.75
506.044	5748.25	0	5748.25
506.177	5738.5	0	5738.5
506.311	5685.75	0	5685.75
506.444	5656.5	0	5656.5
506.577	5667.25	0	5667.25
506.71	5557.5	0	5557.5
506.844	5656.75	0	5656.75
506.977	5638.25	0	5638.25
507.11	5659.75	0	5659.75
507.243	5607	0	5607
507.376	5751.75	0	5751.75
507.51	5755.25	0	5755.25
507.643	5928	0	5928
507.776	5965.25	0	5965.25
507.909	6157.5	0	6157.5
508.042	6133.25	0	6133.25
508.175	6165.5	0	6165.5
508.308	6059	0	6059
508.441	5884	0	5884
