Lambda	Spectrum	Dark	SpecMinusDark
500.031	704.75	0	704.75
500.165	784.5	0	784.5
500.299	883	0	883
500.433	829.75	0	829.75
500.567	703.25	0	703.25
500.701	680.25	0	680.25
500.835	714.25	0	714.25
500.968	746	0	746
501.102	768.25	0	768.25
501.236	777.5	0	777.5
501.37	790	0	790
501.504	869.5	0	869.5
501.637	969	0	969
501.771	1074	0	1074
501.905	1148.75	0	1148.75
502.039	965.5	0	965.5
502.172	919.25	0	919.25
502.306	904.5	0	904.5
502.44	899	0	899
502.573	877.75	0	877.75
502.707	869.75	0	869.75
502.841	855	0	855
502.974	887.25	0	887.25
503.108	944.5	0	944.5
503.242	1031.25	0	1031.25
503.375	1063.75	0	1063.75
503.509	1089	0	1089
503.642	942.5	0	942.5
503.776	889.25	0	889.25
503.909	891.5	0	891.5
504.043	895.75	0	895.75
504.176	957	0	957
504.31	933.75	0	933.75
504.443	898	0	898
504.577	907.25	0	907.25
504.71	911.75	0	911.75
504.844	944.5	0	944.5
504.977	1041.25	0	1041.25
505.111	1149.5	0	1149.5
505.244	1144.5	0	1144.5
505.377	989.25	0	989.25
505.511	978.25	0	978.25
505.644	984.5	0	984.5
505.777	1072.75	0	1072.75
505.911	1124.25	0	1124.25
506.044	1138.5	0	1138.5
506.177	1315.5	0	1315.5
506.311	1477.25	0	1477.25
506.444	1747.25	0	1747.25
506.577	1165	0	1165
506.71	1061.25	0	1061.25
506.844	1060.25	0	1060.25
506.977	1051.5	0	1051.5
507.11	1051.5	0	1051.5
507.243	1068.5	0	1068.5
507.376	1036	0	1036
507.51	1001.5	0	1001.5
507.643	1048.75	0	1048.75
507.776	1078.25	0	1078.25
507.909	1099.75	0	1099.75
508.042	1137.5	0	1137.5
508.175	1228.75	0	1228.75
508.308	1309.75	0	1309.75
508.441	1515	0	1515
508.574	1245.75	0	1245.75
508.707	1118.25	0	1118.25
508.84	1115.75	0	1115.75
508.973	1147.75	0	1147.75
509.106	1072.5	0	1072.5
509.239	1120.75	0	1120.75
509.372	1185	0	1185
509.505	1304.25	0	1304.25
509.638	1391.75	0	1391.75
509.771	1287.75	0	1287.75
509.904	1344.25	0	1344.25
510.037	1603	0	1603
510.17	1701	0	1701
510.303	1331.25	0	1331.25
510.436	1112.75	0	1112.75
510.568	1058.5	0	1058.5
510.701	1010.5	0	1010.5
510.834	1025.5	0	1025.5
510.967	1056.5	0	1056.5
511.1	1127.25	0	1127.25
511.232	1237.75	0	1237.75
511.365	1378.25	0	1378.25
511.498	1321.75	0	1321.75
511.631	1070.25	0	1070.25
511.763	1113	0	1113
511.896	1161.75	0	1161.75
512.029	1168	0	1168
512.161	1070.75	0	1070.75
512.294	1048	0	1048
512.427	1036	0	1036
512.559	1040.75	0	1040.75
512.692	1109	0	1109
512.825	1138.75	0	1138.75
512.957	1149	0	1149
513.09	1177	0	1177
513.222	1182.75	0	1182.75
513.355	1075	0	1075
513.487	1128.25	0	1128.25
513.62	1096	0	1096
513.752	1167.5	0	1167.5
513.885	1124.75	0	1124.75
514.017	1097	0	1097
514.15	1107.5	0	1107.5
514.282	1113	0	1113
514.415	1096.25	0	1096.25
514.547	1147.25	0	1147.25
514.68	1205.5	0	1205.5
514.812	1253.75	0	1253.75
514.944	1452.5	0	1452.5
515.077	1451	0	1451
515.209	1317	0	1317
515.341	1138.75	0	1138.75
515.474	1032.75	0	1032.75
515.606	997.75	0	997.75
515.738	1030	0	1030
515.871	1053	0	1053
516.003	1110.75	0	1110.75
516.135	1074.75	0	1074.75
516.267	1070.75	0	1070.75
516.4	1157.5	0	1157.5
516.532	1238	0	1238
