Lambda	Spectrum	Dark	SpecMinusDark
500.031	4103.5	0	4103.5
500.165	4642.5	0	4642.5
500.299	5101	0	5101
500.433	5767.5	0	5767.5
500.567	5686.25	0	5686.25
500.701	5354.25	0	5354.25
500.835	5066.25	0	5066.25
500.968	5061.5	0	5061.5
501.102	4932.75	0	4932.75
501.236	4716	0	4716
501.37	4628	0	4628
501.504	4541.5	0	4541.5
501.637	4504.25	0	4504.25
501.771	4261.75	0	4261.75
501.905	4352	0	4352
502.039	4772.5	0	4772.5
502.172	5284.75	0	5284.75
502.306	4435	0	4435
502.44	3802.25	0	3802.25
502.573	3556.5	0	3556.5
502.707	3598.75	0	3598.75
502.841	3927.25	0	3927.25
502.974	4301	0	4301
503.108	4332	0	4332
503.242	3923.25	0	3923.25
503.375	4005.75	0	4005.75
503.509	4068	0	4068
503.642	3884.5	0	3884.5
503.776	3712	0	3712
503.909	3833	0	3833
504.043	4281.25	0	4281.25
504.176	4484.5	0	4484.5
504.31	5125.25	0	5125.25
504.443	4521.5	0	4521.5
504.577	4297.5	0	4297.5
504.71	4700	0	4700
504.844	4722.25	0	4722.25
504.977	4320	0	4320
505.111	4374.75	0	4374.75
505.244	4410.75	0	4410.75
505.377	3942	0	3942
505.511	3795.5	0	3795.5
505.644	3899	0	3899
505.777	4044.75	0	4044.75
505.911	4656.25	0	4656.25
506.044	4714	0	4714
506.177	5153.75	0	5153.75
506.311	5250	0	5250
506.444	4279.75	0	4279.75
506.577	3811	0	3811
506.71	4076	0	4076
506.844	4539.75	0	4539.75
506.977	5120	0	5120
507.11	3909.25	0	3909.25
507.243	3671.5	0	3671.5
507.376	3868	0	3868
507.51	4001.75	0	4001.75
507.643	4195.5	0	4195.5
507.776	4057	0	4057
507.909	4386.25	0	4386.25
508.042	5536	0	5536
508.175	6946.25	0	6946.25
508.308	8584.75	0	8584.75
508.441	6167.5	0	6167.5
508.574	3705	0	3705
508.707	3763	0	3763
508.84	3797	0	3797
508.973	4097.75	0	4097.75
509.106	4112.75	0	4112.75
509.239	4133.5	0	4133.5
509.372	4219	0	4219
509.505	3882	0	3882
509.638	4511.75	0	4511.75
509.771	5837.75	0	5837.75
509.904	7590.75	0	7590.75
510.037	7701.5	0	7701.5
510.17	4766.5	0	4766.5
510.303	4917.75	0	4917.75
510.436	5511.25	0	5511.25
510.568	4722.75	0	4722.75
510.701	4129.75	0	4129.75
510.834	3574.25	0	3574.25
510.967	3491.25	0	3491.25
511.1	3583.5	0	3583.5
511.232	3675.25	0	3675.25
511.365	3851.25	0	3851.25
511.498	4036.5	0	4036.5
511.631	3842	0	3842
511.763	3670.25	0	3670.25
511.896	3864	0	3864
512.029	3968	0	3968
512.161	4529.25	0	4529.25
512.294	4889	0	4889
512.427	5646	0	5646
512.559	5797.5	0	5797.5
512.692	4837	0	4837
