Lambda	Spectrum	Dark	SpecMinusDark
500.031	3412.25	0	3412.25
500.165	3718.75	0	3718.75
500.299	4123.25	0	4123.25
500.433	4460.5	0	4460.5
500.567	4638.5	0	4638.5
500.701	4753	0	4753
500.835	4781.25	0	4781.25
500.968	4590.5	0	4590.5
501.102	4564.25	0	4564.25
501.236	4349.25	0	4349.25
501.37	4182.5	0	4182.5
501.504	3939.5	0	3939.5
501.637	3771.25	0	3771.25
501.771	3623	0	3623
501.905	3535	0	3535
502.039	3380.75	0	3380.75
502.172	3305.75	0	3305.75
502.306	3243	0	3243
502.44	3166	0	3166
502.573	3144.5	0	3144.5
502.707	3154.25	0	3154.25
502.841	3054.25	0	3054.25
502.974	3010	0	3010
503.108	3028	0	3028
503.242	2977.75	0	2977.75
503.375	2965	0	2965
503.509	3008.5	0	3008.5
503.642	3006.5	0	3006.5
503.776	2958	0	2958
503.909	2944.75	0	2944.75
504.043	3002.5	0	3002.5
504.176	3048.75	0	3048.75
504.31	3075.75	0	3075.75
504.443	3172	0	3172
504.577	3227.75	0	3227.75
504.71	3269.25	0	3269.25
504.844	3297.25	0	3297.25
504.977	3336.25	0	3336.25
505.111	3274	0	3274
505.244	3187.75	0	3187.75
505.377	3159	0	3159
505.511	3182.5	0	3182.5
505.644	3142.5	0	3142.5
505.777	3109.5	0	3109.5
505.911	3122.25	0	3122.25
506.044	3142.5	0	3142.5
506.177	3150.25	0	3150.25
506.311	3165.75	0	3165.75
506.444	3048.25	0	3048.25
506.577	3088.5	0	3088.5
506.71	3095.75	0	3095.75
506.844	3023.5	0	3023.5
506.977	3102.75	0	3102.75
507.11	3039	0	3039
507.243	3012.75	0	3012.75
507.376	3045.25	0	3045.25
507.51	3003.75	0	3003.75
507.643	3088.25	0	3088.25
507.776	3075.5	0	3075.5
507.909	3029.25	0	3029.25
508.042	3062.5	0	3062.5
508.175	3023.25	0	3023.25
508.308	3048.5	0	3048.5
508.441	3056.25	0	3056.25
508.574	3038.5	0	3038.5
508.707	3019.25	0	3019.25
508.84	3018	0	3018
508.973	3088.75	0	3088.75
509.106	3021	0	3021
509.239	3054.25	0	3054.25
509.372	3022	0	3022
509.505	3134	0	3134
509.638	3036.75	0	3036.75
509.771	3042	0	3042
509.904	3054.5	0	3054.5
510.037	3093	0	3093
510.17	3012.5	0	3012.5
510.303	3065.25	0	3065.25
510.436	3071	0	3071
510.568	3157.25	0	3157.25
510.701	3099	0	3099
510.834	3033.25	0	3033.25
510.967	3106	0	3106
511.1	3104	0	3104
511.232	3096	0	3096
511.365	3178	0	3178
511.498	3076	0	3076
511.631	3089	0	3089
511.763	3094.5	0	3094.5
511.896	3155.5	0	3155.5
512.029	3127.5	0	3127.5
512.161	3181.5	0	3181.5
512.294	3145	0	3145
512.427	3138.75	0	3138.75
512.559	3123.25	0	3123.25
512.692	3087.75	0	3087.75
512.825	3148.25	0	3148.25
512.957	3166	0	3166
513.09	3121.25	0	3121.25
513.222	3172	0	3172
513.355	3189.75	0	3189.75
513.487	3192	0	3192
513.62	3153.5	0	3153.5
513.752	3199.5	0	3199.5
513.885	3269.5	0	3269.5
514.017	3251.75	0	3251.75
514.15	3250.5	0	3250.5
514.282	3322.75	0	3322.75
514.415	3290.75	0	3290.75
514.547	3305.75	0	3305.75
514.68	3319.25	0	3319.25
514.812	3286.25	0	3286.25
514.944	3236.25	0	3236.25
