Lambda	Spectrum	Dark	SpecMinusDark
500.031	2020.5	0	2020.5
500.165	2105.25	0	2105.25
500.299	2112.5	0	2112.5
500.433	2239.75	0	2239.75
500.567	2355	0	2355
500.701	2530.25	0	2530.25
500.835	2954.5	0	2954.5
500.968	3144.25	0	3144.25
501.102	2894.75	0	2894.75
501.236	2694	0	2694
501.37	2691	0	2691
501.504	2663.25	0	2663.25
501.637	2660.5	0	2660.5
501.771	2635.75	0	2635.75
501.905	2620.5	0	2620.5
502.039	2669.5	0	2669.5
502.172	2703	0	2703
502.306	2720.25	0	2720.25
502.44	2746.25	0	2746.25
502.573	2769.75	0	2769.75
502.707	2846.25	0	2846.25
502.841	2846	0	2846
502.974	2908	0	2908
503.108	2973	0	2973
503.242	3056.25	0	3056.25
503.375	3030.5	0	3030.5
503.509	3113.5	0	3113.5
503.642	3192	0	3192
503.776	3203.5	0	3203.5
503.909	3258.5	0	3258.5
504.043	3316.25	0	3316.25
504.176	3443.25	0	3443.25
504.31	3630.5	0	3630.5
504.443	3601.25	0	3601.25
504.577	3781.25	0	3781.25
504.71	3789	0	3789
504.844	3915	0	3915
504.977	3922.75	0	3922.75
505.111	3964	0	3964
505.244	3981	0	3981
505.377	3932	0	3932
505.511	3971	0	3971
505.644	4003.75	0	4003.75
505.777	4046.5	0	4046.5
505.911	4009	0	4009
506.044	4022.5	0	4022.5
506.177	4028.5	0	4028.5
506.311	4019.25	0	4019.25
506.444	3941.25	0	3941.25
506.577	3994.5	0	3994.5
506.71	3993.75	0	3993.75
506.844	3881.75	0	3881.75
506.977	3922.5	0	3922.5
507.11	3884	0	3884
507.243	3890.75	0	3890.75
507.376	3884.75	0	3884.75
507.51	3823.75	0	3823.75
507.643	3842.25	0	3842.25
507.776	3744.5	0	3744.5
507.909	3836.25	0	3836.25
508.042	3743.75	0	3743.75
508.175	3792.75	0	3792.75
508.308	3809	0	3809
508.441	3677.75	0	3677.75
508.574	3770	0	3770
508.707	3717.25	0	3717.25
508.84	3694.75	0	3694.75
508.973	3769.5	0	3769.5
509.106	3790.75	0	3790.75
509.239	3785.5	0	3785.5
509.372	3750	0	3750
509.505	3763.75	0	3763.75
509.638	3839.25	0	3839.25
509.771	3754.25	0	3754.25
509.904	3779.75	0	3779.75
510.037	3810	0	3810
510.17	3763.75	0	3763.75
510.303	3813.5	0	3813.5
510.436	3635	0	3635
510.568	3694.25	0	3694.25
510.701	3694.5	0	3694.5
510.834	3773.25	0	3773.25
510.967	3716.25	0	3716.25
511.1	3710.5	0	3710.5
511.232	3821.5	0	3821.5
511.365	3783.75	0	3783.75
511.498	3754	0	3754
511.631	3805.5	0	3805.5
511.763	3790.75	0	3790.75
511.896	3905.25	0	3905.25
512.029	3844.25	0	3844.25
512.161	3852.5	0	3852.5
512.294	3764.25	0	3764.25
512.427	3828.75	0	3828.75
512.559	3738	0	3738
512.692	3728.5	0	3728.5
512.825	3743.75	0	3743.75
512.957	3798.5	0	3798.5
513.09	3819.25	0	3819.25
513.222	3716.5	0	3716.5
513.355	3713.75	0	3713.75
513.487	3651.25	0	3651.25
513.62	3750.75	0	3750.75
513.752	3846.5	0	3846.5
513.885	3815.75	0	3815.75
514.017	3754.75	0	3754.75
514.15	3760	0	3760
514.282	3814.25	0	3814.25
514.415	3848.25	0	3848.25
514.547	3856.75	0	3856.75
514.68	3792.75	0	3792.75
514.812	3821.5	0	3821.5
514.944	3780	0	3780
515.077	3842.5	0	3842.5
515.209	3856.75	0	3856.75
515.341	3822.25	0	3822.25
515.474	3776.25	0	3776.25
515.606	3828	0	3828
515.738	3844.75	0	3844.75
515.871	3800.25	0	3800.25
516.003	3906	0	3906
516.135	3925.5	0	3925.5
516.267	3811.5	0	3811.5
