Lambda	Spectrum	Dark	SpecMinusDark
500.031	10632.8	0	10632.8
500.165	11717.8	0	11717.8
500.299	13079.5	0	13079.5
500.433	14342	0	14342
500.567	15060.5	0	15060.5
500.701	15353.2	0	15353.2
500.835	15583.8	0	15583.8
500.968	15078.2	0	15078.2
501.102	14367.5	0	14367.5
501.236	13576.2	0	13576.2
501.37	12679	0	12679
501.504	11850.2	0	11850.2
501.637	11104	0	11104
501.771	10474.8	0	10474.8
501.905	9842	0	9842
502.039	9527.5	0	9527.5
502.172	9119.5	0	9119.5
502.306	8807	0	8807
502.44	8615.25	0	8615.25
502.573	8430	0	8430
502.707	8419.25	0	8419.25
502.841	8291.25	0	8291.25
502.974	8097	0	8097
503.108	7906	0	7906
503.242	7802	0	7802
503.375	7598	0	7598
503.509	7513.5	0	7513.5
503.642	7542	0	7542
503.776	7480	0	7480
503.909	7521	0	7521
504.043	7623	0	7623
504.176	7728.25	0	7728.25
504.31	7771.5	0	7771.5
504.443	8127	0	8127
504.577	8284.5	0	8284.5
504.71	8728	0	8728
504.844	8817.5	0	8817.5
504.977	8709.25	0	8709.25
505.111	8412.5	0	8412.5
505.244	8061.75	0	8061.75
505.377	7885	0	7885
505.511	7603.25	0	7603.25
505.644	7548.5	0	7548.5
505.777	7526.75	0	7526.75
505.911	7481.75	0	7481.75
506.044	7479.5	0	7479.5
506.177	7373.5	0	7373.5
506.311	7378.75	0	7378.75
506.444	7436.25	0	7436.25
506.577	7310.75	0	7310.75
506.71	7340.75	0	7340.75
506.844	7213.25	0	7213.25
506.977	7199.75	0	7199.75
507.11	7111.5	0	7111.5
507.243	7111.25	0	7111.25
507.376	7134.75	0	7134.75
507.51	7116	0	7116
507.643	7121.25	0	7121.25
507.776	7188.25	0	7188.25
507.909	7137	0	7137
508.042	7061.25	0	7061.25
508.175	7056.5	0	7056.5
508.308	7029.5	0	7029.5
508.441	7063	0	7063
508.574	7040.5	0	7040.5
508.707	6973	0	6973
508.84	6982.25	0	6982.25
508.973	6933.75	0	6933.75
509.106	7027.5	0	7027.5
509.239	7007.75	0	7007.75
509.372	7023	0	7023
509.505	7074.5	0	7074.5
509.638	7004.75	0	7004.75
509.771	7003.75	0	7003.75
509.904	7018.75	0	7018.75
510.037	6963.5	0	6963.5
510.17	6996.75	0	6996.75
510.303	7014.75	0	7014.75
510.436	6989.25	0	6989.25
510.568	7037.75	0	7037.75
510.701	6941.25	0	6941.25
510.834	7096.75	0	7096.75
510.967	7090.75	0	7090.75
511.1	7146	0	7146
511.232	7233.25	0	7233.25
511.365	7358.5	0	7358.5
511.498	7450.75	0	7450.75
511.631	7381.25	0	7381.25
511.763	7295.5	0	7295.5
511.896	7438.5	0	7438.5
512.029	7539.25	0	7539.25
512.161	7667.25	0	7667.25
512.294	7310	0	7310
512.427	7293.75	0	7293.75
512.559	7163.75	0	7163.75
512.692	7236	0	7236
512.825	7268.5	0	7268.5
512.957	7329.5	0	7329.5
513.09	7254.75	0	7254.75
513.222	7293.75	0	7293.75
513.355	7342	0	7342
513.487	7234.75	0	7234.75
513.62	7289.25	0	7289.25
513.752	7357.25	0	7357.25
513.885	7394.75	0	7394.75
514.017	7493.5	0	7493.5
514.15	7467.25	0	7467.25
514.282	7536.5	0	7536.5
514.415	7597	0	7597
514.547	7509.75	0	7509.75
514.68	7598.75	0	7598.75
514.812	7706.5	0	7706.5
514.944	7670.75	0	7670.75
515.077	7668	0	7668
515.209	7814.25	0	7814.25
515.341	7838.25	0	7838.25
515.474	7883.25	0	7883.25
515.606	8076.75	0	8076.75
515.738	7956.5	0	7956.5
515.871	8119.5	0	8119.5
516.003	8306	0	8306
516.135	8368.5	0	8368.5
516.267	8528.25	0	8528.25
516.4	8767.75	0	8767.75
516.532	9375.25	0	9375.25
516.664	9644.5	0	9644.5
516.796	10124.8	0	10124.8
516.928	9858	0	9858
517.06	9703.75	0	9703.75
517.193	9919.5	0	9919.5
517.325	10170.2	0	10170.2
517.457	10640.2	0	10640.2
517.589	11020.5	0	11020.5
517.721	11236.2	0	11236.2
517.853	11461.8	0	11461.8
517.985	11705	0	11705
518.117	11638	0	11638
518.249	11470.2	0	11470.2
518.381	11452.5	0	11452.5
518.513	11016.2	0	11016.2
518.645	10528	0	10528
518.777	10367	0	10367
518.909	9882	0	9882
519.041	9732.75	0	9732.75
519.173	9410	0	9410
519.305	9268	0	9268
519.437	9035	0	9035
519.569	8908	0	8908
519.701	8641.75	0	8641.75
519.832	8519.5	0	8519.5
519.964	8539.5	0	8539.5
520.096	8247.5	0	8247.5
520.228	8237.5	0	8237.5
520.36	8148.25	0	8148.25
