0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Ag:7145.9,I_:2545.9,Sb:488.6,Ti:215.0,W_:213.6,In:151.2,,,,,,,,,,,,,
Ag:6718.5,Bi:4512.6,Zr:493.7,S :349.6,Si:295.5,Pt:292.0,Pd:278.7,Sb:266.5,Si:254.3,Sn:247.5,Ge:197.7,Fe:192.2,I_:180.6,V_:171.1,Ge:169.7,Ni:159.8,,,
Fe:1217.3,W_:272.0,Ag:250.5,I_:248.5,Ge:227.7,Zr:225.4,Pt:185.1,Si:178.4,S :170.7,V_:170.4,Bi:169.4,,,,,,,,
Nb:2674.6,Sn:1238.5,Ni:1202.9,Sb:1184.4,Pd:1107.1,In:1074.1,S :1042.7,Si:856.5,I_:779.4,K :769.0,Ge:727.9,Fe:679.6,Zr:527.0,P :283.6,Al:254.6,Mo:248.9,C_:221.5,Ag:217.9,Cu:201.7
Ti:1382.3,S :241.6,Pd:218.8,Ag:210.9,,,,,,,,,,,,,,,
Ti:3687.0,W_:1019.9,Nb:874.0,Ni:386.4,S :250.9,Zr:229.0,Pd:218.8,Ag:210.2,Cr:167.8,Pd:163.4,,,,,,,,,
Ti:996.9,Nb:599.1,Ni:472.2,In:350.2,Co:306.9,Sn:237.2,Fe:222.9,Ag:207.4,Pd:191.9,W_:178.9,Sb:169.8,Sn:166.8,Ca:165.0,,,,,,
Nb:1843.2,Mo:976.8,Ni:839.9,Ta:493.3,Cu:386.0,Ca:283.3,I_:248.9,Bi:233.9,Sb:175.7,Ag:173.9,,,,,,,,,
Ti:1481.3,V_:919.0,Nb:389.3,Ta:176.1,Ag:164.8,Pd:162.5,S :156.9,,,,,,,,,,,,
Nb:1611.3,Nb:1520.2,Ca:897.9,Ni:851.1,Ni:775.7,W_:419.0,W_:358.7,Bi:185.8,K :182.6,S :168.5,Ag:163.9,,,,,,,,
Ti:1481.3,W_:694.5,Sn:290.8,Ta:176.1,Zr:175.7,P :173.7,Ag:163.7,,,,,,,,,,,,
Nb:1843.2,V_:1134.7,Ni:839.9,Ta:493.3,Pd:443.4,Cu:372.4,Ca:283.3,Bi:275.6,Ca:199.4,Si:195.6,I_:177.9,Co:170.2,S :165.2,Ag:163.4,Zr:151.7,Sb:150.1,,,
V_:919.0,Nb:389.3,Ag:162.4,,,,,,,,,,,,,,,,
