0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Al:856.1,K :489.6,W_:425.7,Sn:346.7,S :224.6,S :221.9,Ti:166.6,,,,,,,,,,,,,,,,,,,,
Nb:4861.6,Ni:1984.7,Zr:905.9,Al:852.3,Bi:693.7,Mo:463.4,In:215.7,W_:196.3,Pt:192.4,Si:188.1,C_:155.4,,,,,,,,,,,,,,,,
Bi:979.2,Al:733.3,Nb:294.4,Ge:277.6,Zr:223.4,Cu:192.6,W_:170.1,Au:168.8,Fe:161.2,,,,,,,,,,,,,,,,,,
Bi:2281.3,Al:498.7,Ta:347.8,I_:313.3,S :246.4,W_:238.0,Si:234.0,Pd:223.3,In:187.2,Ge:171.8,K :163.0,Pt:162.1,Sn:150.8,,,,,,,,,,,,,,
I_:3324.4,Nb:3064.1,Ni:1542.7,Al:255.5,V_:235.7,Ta:173.5,,,,,,,,,,,,,,,,,,,,,
Pt:1398.7,Sn:1238.5,Sb:1184.4,Pd:1107.1,In:1074.1,S :1042.7,Si:856.5,Si:843.4,Ge:796.1,I_:779.4,K :769.0,Ge:727.9,V_:717.9,I_:706.9,Zr:706.6,Fe:679.6,Bi:579.2,Zr:527.0,Zn:422.0,P :336.9,Ta:327.4,P :283.6,Al:254.6,C_:234.5,C_:221.5,Ag:217.9,Cu:201.7
Nb:836.6,Ti:681.4,Ni:491.5,Pd:420.0,Fe:384.4,W_:307.2,K :244.1,Al:235.1,Sn:208.5,Mo:198.1,Fe:192.9,S :178.9,Zn:171.3,,,,,,,,,,,,,,
Ti:775.4,Cr:717.9,Nb:458.6,Ni:291.2,Fe:221.8,Al:199.0,Si:194.7,W_:178.8,In:165.2,,,,,,,,,,,,,,,,,,
W_:267.8,S :203.5,Al:194.7,Sn:193.5,,,,,,,,,,,,,,,,,,,,,,,
Zr:6177.2,Ti:4551.3,Nb:1611.3,Fe:902.8,Ni:851.1,W_:358.7,Bi:205.4,K :182.6,Al:180.9,Mo:174.2,Sn:168.5,,,,,,,,,,,,,,,,
Nb:1123.6,Ti:539.0,W_:217.2,S :190.0,Al:180.4,Ge:157.6,,,,,,,,,,,,,,,,,,,,,
