0,1,2,3,4,5,6,7,8,9,10,11
Au:2141.8,Mo:342.2,W_:272.0,Ge:270.2,I_:248.5,Bi:246.6,Zr:225.4,Ta:208.4,Sb:179.4,Si:178.4,S :170.7,Co:151.5
Nb:2446.2,Au:1147.6,Ni:941.5,Ti:365.5,,,,,,,,
Au:814.1,,,,,,,,,,,
Ti:3468.9,Nb:1419.7,Zr:1320.3,Ni:741.3,Au:507.2,V_:313.2,Cd:288.6,S :211.4,I_:154.4,Ge:150.8,,
V_:770.5,Au:376.0,Pd:252.5,Pd:194.9,Ti:188.5,,,,,,,
Ti:738.0,Nb:423.2,Au:242.9,Ni:203.9,S :162.7,In:162.4,,,,,,
Ca:3961.3,Nb:499.1,I_:371.3,Ni:325.6,Pd:224.4,S :205.6,Au:203.9,V_:162.8,Pt:161.0,Ta:155.8,K :152.2,
W_:226.4,Au:195.4,,,,,,,,,,
Si:197.0,Au:193.9,,,,,,,,,,
Ti:2416.8,Nb:2033.5,Ni:769.7,V_:474.7,Mo:419.5,Fe:270.5,Ta:209.5,Pd:186.2,Sn:170.9,Au:169.7,Pt:154.7,
Bi:979.2,Al:733.3,Nb:294.4,Ge:277.6,Zr:223.4,Cu:192.6,Au:168.8,Sb:167.1,Fe:161.2,Pb:155.3,,
K :311.7,P :161.7,Bi:153.4,Au:150.1,,,,,,,,
