0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Ag:6718.5,Bi:4512.6,Zr:493.7,S :349.6,Si:295.5,Pt:292.0,Pd:278.7,Sb:266.5,Si:254.3,Sn:247.5,Ge:197.7,Fe:192.2,I_:180.6,V_:171.1,Ge:169.7,Ni:159.8,,,,,,
Bi:2281.3,Al:498.7,Ta:347.8,I_:313.3,S :246.4,W_:238.0,Si:234.0,Pd:223.3,In:187.2,Ge:171.8,K :163.0,Pt:162.1,Sn:150.8,,,,,,,,,
Pd:3992.1,Pt:3821.8,Sn:3551.6,In:3217.6,Fe:3191.1,I_:3158.8,Sb:3048.6,S :2890.8,Zr:2866.3,Si:2711.9,K :2516.1,Ta:1215.8,Zn:1202.7,Bi:1153.9,Ge:1143.3,P :993.2,Pb:745.3,Ca:473.8,,,,
Ca:5109.1,Nb:3383.7,Fe:2526.6,Ni:1499.2,Bi:1132.4,I_:530.9,Pd:175.6,Si:155.8,,,,,,,,,,,,,,
Bi:979.2,Al:733.3,Nb:294.4,Ge:277.6,Zr:223.4,Cu:192.6,W_:170.1,Au:168.8,Fe:161.2,,,,,,,,,,,,,
Nb:4861.6,Ni:1984.7,Zr:905.9,Al:852.3,Bi:693.7,Mo:463.4,In:215.7,W_:196.3,Pt:192.4,Si:188.1,C_:155.4,,,,,,,,,,,
Pd:2653.5,Pt:2617.1,In:2403.1,Sn:2214.2,Zr:2081.2,I_:1994.7,Fe:1918.4,S :1786.3,Sb:1753.6,Si:1485.8,K :1377.5,Zn:727.6,Ta:699.0,Bi:645.2,P :600.1,Ge:559.3,Nb:499.0,Ca:340.3,Ni:176.4,,,
Pt:1398.7,In:1351.3,Sn:1238.5,Pd:1230.2,Sb:1184.4,S :1076.6,Sb:1065.9,S :1042.7,Si:843.4,Ge:796.1,K :769.0,V_:717.9,I_:706.9,Zr:706.6,Fe:679.6,Bi:579.2,Zn:422.0,P :336.9,Ta:327.4,Al:254.6,C_:234.5,Cu:229.5
Bi:571.1,Ti:450.2,K :215.6,,,,,,,,,,,,,,,,,,,
Bi:561.4,Nb:342.0,Zr:281.2,Si:234.6,Ni:233.6,Sb:170.2,,,,,,,,,,,,,,,,
