Wavelength,Intensity,Pixel
521.282,4512.598930704866,160.0
514.812,2281.2922080106873,111.0
500.835,1153.8533673336487,6.0
527.455,1132.425563582996,207.0
512.825,979.2106070360624,96.0
508.441,693.6818448759477,63.0
568.236,645.169513625854,524.0
518.117,579.2367892196462,136.0
572.267,571.127911735925,556.0
508.84,561.40117144748,66.0
517.853,441.6127774366141,134.0
589.46,436.4508708303292,694.0
517.589,420.42435517500326,132.0
512.161,366.3470754336995,91.0
509.239,332.1570295098327,69.0
504.844,315.98125090741814,36.0
505.111,315.04806291619207,38.0
518.909,287.1827429958512,142.0
524.044,275.5547263881008,181.0
523.781,271.5053055177377,179.0
553.875,263.1882529739987,411.0
681.264,252.8939729099792,1482.0
523.518,246.64274712876522,177.0
524.307,233.89838244889052,183.0
554.131,212.75122299543364,413.0
519.569,205.41834305476004,147.0
590.077,200.84866803925888,699.0
517.06,198.2932416331514,128.0
519.832,191.34136102629782,149.0
519.305,185.8258563805448,145.0
567.1,182.40741109995543,515.0
524.701,177.78545197407402,186.0
506.577,176.88697867653173,49.0
525.226,173.50609042712858,190.0
594.63,171.8050351486545,736.0
523.124,169.42882564858883,174.0
660.179,156.2122878535165,1292.0
558.981,155.32235831333855,451.0
566.847,153.93484639861072,513.0
566.594,153.35836677234147,511.0
554.642,151.94678960207602,417.0
565.076,151.03804268938666,499.0
528.896,150.90757941235643,218.0
555.665,150.37087836733826,425.0
