0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
C_:3180.6,Nb:2573.0,Ni:1265.9,Pd:809.5,W_:580.4,Mo:263.5,Pt:260.9,Bi:198.3,Zr:172.4,Ta:161.8,Sn:152.2,,,,,,,,,,,
C_:908.4,V_:800.6,Nb:573.5,Ge:493.1,Ni:323.0,W_:291.8,I_:272.6,Cu:238.6,S :236.7,Sb:215.3,,,,,,,,,,,,
Ti:656.5,C_:615.8,Nb:509.2,Sb:435.3,Si:316.2,In:254.2,Sn:205.6,W_:178.6,Pb:170.9,Ta:150.1,,,,,,,,,,,,
Nb:753.7,Fe:668.9,V_:614.7,Ti:551.3,C_:481.3,Ni:444.2,Pb:285.9,Ta:220.9,Bi:155.3,S :153.1,,,,,,,,,,,,
Zr:3082.4,K :2724.8,Mo:1459.8,Nb:530.0,Zn:516.9,Ti:483.8,In:445.2,Bi:436.5,Cr:399.8,C_:326.0,Pb:305.5,Pd:292.8,Ca:280.5,W_:272.8,Sn:212.7,Pt:192.6,,,,,,
Nb:3797.1,Ni:1882.4,Mo:643.7,C_:289.4,Zr:215.5,Pb:173.3,S :164.1,W_:160.2,,,,,,,,,,,,,,
C_:286.9,Nb:280.9,Ti:275.3,Sb:222.1,K :161.0,W_:159.3,Fe:157.4,,,,,,,,,,,,,,,
Pt:1398.7,In:1351.3,Sn:1238.5,Pd:1230.2,Sb:1184.4,S :1076.6,Sb:1065.9,S :1042.7,Si:843.4,Ge:796.1,K :769.0,V_:717.9,I_:706.9,Zr:706.6,Fe:679.6,Bi:579.2,Zn:422.0,P :336.9,Ta:327.4,Al:254.6,C_:234.5,Cu:229.5
Ti:6114.6,In:1351.3,Pd:1230.2,S :1076.6,Sb:1065.9,Si:795.0,K :684.1,Nb:492.1,Bi:441.6,Zn:368.3,Ni:244.5,C_:234.3,Cu:229.5,,,,,,,,,
Nb:2674.6,Sn:1238.5,Ni:1202.9,Sb:1184.4,Pd:1107.1,In:1074.1,S :1042.7,Si:856.5,I_:779.4,K :769.0,Ge:727.9,Fe:679.6,Zr:527.0,P :283.6,Al:254.6,Mo:248.9,C_:221.5,Ag:217.9,Cu:201.7,,,
Zr:459.8,Nb:375.9,W_:333.0,In:283.8,Sb:222.2,C_:216.5,Ta:216.4,Nb:190.5,Pt:164.9,,,,,,,,,,,,,
Zr:526.8,I_:406.0,Si:337.8,Ti:275.3,C_:215.3,Bi:212.8,Zn:186.0,Cu:175.2,K :161.0,,,,,,,,,,,,,
Nb:367.2,Bi:332.2,Ta:274.5,Ta:270.8,W_:227.0,Si:220.4,Ni:188.0,Sn:187.0,K :179.7,In:179.3,C_:179.3,W_:170.4,Pd:160.0,,,,,,,,,
Ta:204.3,Sb:180.7,C_:168.0,In:164.2,,,,,,,,,,,,,,,,,,
Nb:4861.6,Ni:1984.7,Zr:905.9,Al:852.3,Bi:693.7,Mo:463.4,In:215.7,W_:196.3,Pt:192.4,Si:188.1,C_:155.4,,,,,,,,,,,
