Wavelength,Intensity,Pixel
516.928,3180.569125074997,127.0
513.355,908.3554216882162,100.0
563.936,615.7990601459264,490.0
558.981,481.3067323036403,451.0
589.46,325.972395861015,694.0
510.037,289.4269880744582,75.0
554.387,286.88133661572374,415.0
518.117,234.47711007624156,136.0
517.853,234.32827529565026,134.0
518.381,221.497359524977,138.0
550.542,216.4679922548097,385.0
554.131,215.31852544581466,413.0
509.372,179.28441307882053,70.0
506.044,167.99964895618564,45.0
508.441,155.42643033885633,63.0
