0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Ca:8549.3,Sn:1300.3,Nb:530.3,Ti:335.6,Pb:250.7,In:227.7,Pb:217.7,S :215.7,Sb:158.4,,,,,,,,,,
Ca:7580.1,Ti:1911.2,Nb:295.4,,,,,,,,,,,,,,,,
Ca:6549.3,Cd:651.2,Ti:170.2,,,,,,,,,,,,,,,,
Ca:6217.3,Nb:248.9,,,,,,,,,,,,,,,,,
Ca:6109.5,Zr:354.9,Ti:274.3,K :205.5,I_:169.9,,,,,,,,,,,,,,
Ca:5109.1,Nb:3383.7,Fe:2526.6,Ni:1499.2,Bi:1132.4,I_:530.9,Pd:175.6,Si:155.8,,,,,,,,,,,
Ca:4290.6,Ti:1318.6,Cr:554.6,I_:496.6,Co:397.7,I_:371.3,Pd:224.4,Pt:161.0,In:154.8,K :152.2,W_:150.3,,,,,,,,
Ca:4236.6,V_:518.8,Nb:227.2,K :206.6,Fe:204.1,I_:200.9,Pt:181.1,Pb:165.2,W_:161.9,Sb:161.3,In:158.2,,,,,,,,
Ca:4159.1,Fe:248.2,,,,,,,,,,,,,,,,,
Ca:3961.3,Nb:499.1,I_:371.3,Ni:325.6,Pd:224.4,S :205.6,Au:203.9,V_:162.8,Pt:161.0,Ta:155.8,K :152.2,,,,,,,,
Ti:4453.7,Ca:3873.4,Ta:349.0,Sn:319.4,I_:291.4,Nb:264.0,Zr:180.8,Fe:154.1,Sb:150.1,,,,,,,,,,
Ca:3807.1,Mo:1122.8,Nb:290.0,Pb:216.3,,,,,,,,,,,,,,,
Ca:3004.9,Ni:471.4,Fe:186.2,Zr:180.8,Mo:166.8,W_:162.9,I_:152.8,Sb:150.1,,,,,,,,,,,
Ca:2660.6,Ti:326.4,Sb:217.5,Nb:192.4,,,,,,,,,,,,,,,
Ca:2453.8,Ta:250.4,,,,,,,,,,,,,,,,,
Nb:4740.9,Zr:3896.9,Ca:2356.8,Ni:1716.7,Ta:337.6,W_:329.6,Ti:272.9,In:219.5,Fe:162.8,,,,,,,,,,
Ca:2159.7,Ta:714.4,Ti:270.3,,,,,,,,,,,,,,,,
Ca:1925.3,V_:197.6,K :173.3,Sb:169.6,W_:166.9,,,,,,,,,,,,,,
Ca:1608.6,Sn:176.5,Sn:157.0,,,,,,,,,,,,,,,,
Ca:1361.8,Ti:551.3,Ti:494.1,Ta:220.9,Sn:162.4,,,,,,,,,,,,,,
Ca:1338.1,,,,,,,,,,,,,,,,,,
Ca:1323.9,Ti:167.4,,,,,,,,,,,,,,,,,
Nb:1611.3,Nb:1520.2,Ca:897.9,Ni:851.1,Ni:775.7,W_:419.0,W_:358.7,Bi:185.8,K :182.6,S :168.5,Ag:163.9,,,,,,,,
Ti:832.8,Ca:759.3,,,,,,,,,,,,,,,,,
Ca:641.1,,,,,,,,,,,,,,,,,,
Ca:484.9,Pb:208.1,,,,,,,,,,,,,,,,,
Ti:4247.0,Ca:481.3,Nb:434.9,Ni:197.3,S :196.6,Pt:167.4,Fe:158.3,,,,,,,,,,,,
Pd:3992.1,Pt:3821.8,Sn:3551.6,In:3217.6,Fe:3191.1,I_:3158.8,Sb:3048.6,S :2890.8,Zr:2866.3,Si:2711.9,K :2516.1,Ta:1215.8,Zn:1202.7,Bi:1153.9,Ge:1143.3,P :993.2,Pb:745.3,Ca:473.8,
Ca:422.4,Nb:345.6,Ni:208.4,,,,,,,,,,,,,,,,
Ca:415.7,Nb:256.7,,,,,,,,,,,,,,,,,
Mo:3736.0,Nb:528.4,Ca:405.2,Fe:332.3,Pb:201.0,,,,,,,,,,,,,,
Ti:736.3,Ca:403.7,Nb:384.8,Zr:375.6,Pd:290.4,S :274.6,W_:259.8,Ni:246.5,S :245.9,Mo:213.6,,,,,,,,,
Ca:394.7,Zr:375.6,Ta:262.3,S :245.9,Mo:213.6,Si:191.3,S :190.4,K :181.8,,,,,,,,,,,
Ti:918.8,Nb:434.5,Ca:394.6,S :345.9,Pb:178.8,In:170.7,Zn:152.9,,,,,,,,,,,,
Zr:946.4,Ca:393.0,Nb:256.7,Ta:210.1,S :167.8,,,,,,,,,,,,,,
Ca:374.8,,,,,,,,,,,,,,,,,,
Sb:1695.4,Ca:373.1,Pd:181.9,W_:181.0,I_:154.6,,,,,,,,,,,,,,
V_:2139.8,I_:948.9,Ca:342.6,W_:224.6,Pb:184.7,,,,,,,,,,,,,,
Pd:2653.5,Pt:2617.1,In:2403.1,Sn:2214.2,Zr:2081.2,I_:1994.7,Fe:1918.4,S :1786.3,Sb:1753.6,Si:1485.8,K :1377.5,Zn:727.6,Ta:699.0,Bi:645.2,P :600.1,Ge:559.3,Nb:499.0,Ca:340.3,Ni:176.4
In:1084.3,Ti:983.0,I_:546.4,Ni:455.6,Ca:323.5,Cr:278.1,P :274.8,Zr:223.7,Sn:204.9,Fe:198.0,W_:187.8,Bi:173.5,Pt:171.5,Pd:167.5,Sb:151.8,,,,
Sb:2852.8,Ca:321.9,V_:256.7,S :153.6,,,,,,,,,,,,,,,
Ti:1339.2,V_:1322.6,Nb:573.6,W_:381.6,Ca:315.1,Ni:306.5,Cu:264.2,Sb:203.5,Zr:201.4,Bi:177.8,P :158.5,,,,,,,,
Sn:870.7,Nb:434.5,Ca:290.2,S :262.2,Ni:246.2,,,,,,,,,,,,,,
Nb:1843.2,Mo:976.8,Ni:839.9,Ta:493.3,Cu:386.0,Cu:372.4,Ca:283.3,Bi:275.6,I_:248.9,Bi:233.9,Si:195.6,Sb:175.7,Ag:173.9,Co:170.2,Ag:163.4,Sb:150.1,,,
Ca:281.1,,,,,,,,,,,,,,,,,,
Zr:3082.4,K :2724.8,Mo:1459.8,Nb:530.0,Zn:516.9,Ti:483.8,In:445.2,Bi:436.5,Cr:399.8,C_:326.0,Pb:305.5,Pd:292.8,Ca:280.5,W_:272.8,Sn:212.7,Pt:192.6,,,
K :1195.6,Ti:1113.3,Mo:300.4,Ca:255.6,,,,,,,,,,,,,,,
Ca:249.8,Nb:238.7,Ni:156.1,,,,,,,,,,,,,,,,
Ca:243.5,Sb:206.8,,,,,,,,,,,,,,,,,
Ti:366.5,Ca:232.0,W_:174.0,,,,,,,,,,,,,,,,
Ti:946.0,Sn:383.6,Sb:235.9,Ca:218.4,Ta:216.4,Zr:205.0,Nb:190.5,P :168.9,,,,,,,,,,,
Ca:213.7,,,,,,,,,,,,,,,,,,
Nb:1487.4,Ni:634.6,Ti:297.1,Zr:274.0,W_:225.2,Ca:213.2,Sb:156.9,,,,,,,,,,,,
V_:241.8,Zr:220.0,Ca:212.6,,,,,,,,,,,,,,,,
S :506.8,Mo:471.0,Ca:211.6,Sb:184.7,Sn:150.9,,,,,,,,,,,,,,
Ca:203.7,,,,,,,,,,,,,,,,,,
Nb:1884.4,Fe:1450.8,V_:1134.7,Ni:979.3,Pd:443.4,Cu:372.4,Cu:286.4,Bi:275.6,Bi:271.5,Ca:199.4,Si:195.6,W_:186.7,I_:177.9,Co:170.2,S :165.2,Ag:163.4,Zr:151.7,Sb:150.1,
Ta:270.2,W_:201.7,Ca:198.9,W_:159.3,,,,,,,,,,,,,,,
V_:771.5,Ca:197.2,Nb:157.4,I_:155.0,,,,,,,,,,,,,,,
Ti:2569.4,Nb:1510.8,Ni:767.1,Si:248.7,W_:228.0,Ca:196.4,Pb:179.9,K :178.3,Zr:154.3,,,,,,,,,,
Ti:852.6,S :572.2,Mo:475.1,Fe:237.6,Ta:205.0,Ca:193.3,Ta:186.4,,,,,,,,,,,,
I_:190.5,Ca:186.6,Nb:186.0,,,,,,,,,,,,,,,,
Nb:333.7,Ti:296.1,V_:214.2,Ca:185.4,S :151.6,,,,,,,,,,,,,,
Ca:181.1,,,,,,,,,,,,,,,,,,
Mo:253.5,P :241.6,S :187.8,Zr:187.2,Ca:177.9,Si:174.6,Sn:161.8,Si:158.8,Sn:158.4,,,,,,,,,,
Mo:971.0,Sn:671.2,Pb:243.9,W_:223.6,Ca:169.6,Si:153.8,,,,,,,,,,,,,
Mo:348.6,In:193.7,Ca:167.4,Pb:156.1,,,,,,,,,,,,,,,
Ca:167.0,,,,,,,,,,,,,,,,,,
Ti:996.9,Nb:599.1,Ni:472.2,In:350.2,Co:306.9,Sn:237.2,Fe:222.9,Ag:207.4,Pd:191.9,W_:178.9,Sb:169.8,Sn:166.8,Ca:165.0,,,,,,
Mo:5601.2,Ti:832.1,In:637.7,W_:632.9,S :608.7,Sn:608.1,Zr:537.4,I_:507.0,Pd:471.3,Sb:465.1,Fe:417.0,I_:406.0,Si:379.9,K :358.7,Bi:263.2,Ta:172.1,Ca:164.4,Zn:163.2,Ni:153.7
Zn:3652.0,Si:221.6,Ti:221.5,Ta:188.0,Ca:161.7,,,,,,,,,,,,,,
Ti:205.6,Ca:154.7,,,,,,,,,,,,,,,,,
Ta:513.0,V_:295.4,Zr:242.8,Ca:154.0,,,,,,,,,,,,,,,
Zr:1690.9,K :1353.8,Sb:545.9,Zn:472.2,Cr:296.6,Mo:241.6,Bi:200.8,In:186.9,Pb:173.6,Pd:152.1,Ca:151.0,,,,,,,,
