Wavelength,Intensity,Pixel
559.363,8549.26820973344,454.0
616.691,7580.089996114776,918.0
644.432,6549.347474380733,1154.0
646.736,6217.257128123798,1174.0
612.734,6109.540282704035,885.0
527.455,5109.098135271791,207.0
526.931,4290.589369610368,203.0
559.872,4236.629166657161,458.0
649.835,4159.127967060776,1201.0
526.669,3961.3390724319092,201.0
560.381,3873.3904872549647,462.0
586.244,3807.0794133674276,668.0
560.636,3004.8873134961377,464.0
610.808,2660.6274638644018,869.0
715.243,2453.8000177357317,1803.0
535.42,2356.754178172365,268.0
645.47,2159.6889109606423,1163.0
617.409,1925.3195843500744,924.0
647.656,1608.6116462106982,1182.0
558.727,1361.7822895641057,449.0
720.646,1338.0897880652785,1856.0
650.408,1323.9485081543535,1206.0
519.305,897.8663575979645,145.0
672.251,759.2594767590765,1400.0
733.052,641.0513921185694,1980.0
504.577,484.8500107496325,34.0
551.697,481.26487701256247,394.0
500.835,473.8188525623227,6.0
615.135,422.42749524717146,905.0
614.535,415.6695218119776,900.0
557.452,405.18809003974275,439.0
562.287,403.6863136171203,477.0
562.541,394.7399469109116,479.0
556.942,394.5516497951103,435.0
614.775,393.0370825955197,902.0
646.046,374.7720945446649,1168.0
557.197,373.061004202214,437.0
562.922,342.55933326360855,482.0
568.236,340.3297181098151,524.0
525.095,323.48052740034314,189.0
600.869,321.85182564249317,787.0
524.701,315.11116178448447,186.0
556.686,290.1807403773055,433.0
524.176,283.2965442982727,182.0
609.24,281.1356038612803,856.0
589.46,280.54579353779945,694.0
567.984,255.55348367312672,522.0
607.185,249.83522445229573,839.0
610.085,243.5006602916369,863.0
606.459,232.00769479504834,833.0
550.286,218.3643894480365,383.0
618.842,213.6673373601734,936.0
598.795,213.21794906602554,770.0
556.303,212.6293634687163,430.0
561.525,211.56593234874435,471.0
618.604,203.69853569911447,934.0
523.913,199.42667256837012,180.0
615.734,198.91458189937566,910.0
608.757,197.2216166327662,852.0
563.429,196.35130333824668,486.0
547.843,193.34762955487122,364.0
607.79,186.60354300132167,844.0
606.216,185.36001131512694,831.0
621.106,181.12122587259591,955.0
529.55,177.8899868007918,223.0
563.683,169.6041865702573,488.0
555.92,167.37780210518304,427.0
642.352,167.02763964699807,1136.0
548.744,165.00357990103794,371.0
553.875,164.38726253083632,411.0
636.542,161.66765784758422,1086.0
625.26,154.7059446614694,990.0
626.089,153.9744910085492,997.0
590.077,150.99401953222832,699.0
