0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Cr:1707.4,S :326.6,Si:295.5,Pt:292.0,Pd:278.7,Sb:266.7,W_:236.5,Zr:234.9,I_:225.0,Ta:216.3,Pt:203.5,Pd:203.4,Si:198.4,Ge:197.7,I_:180.6,V_:171.1
Ti:1368.6,Nb:842.0,Cr:781.3,Ni:407.4,Ni:317.9,S :281.5,Mo:196.1,I_:167.2,Si:167.1,Sb:164.5,Si:162.6,,,,,
Nb:6347.0,Ni:2088.7,Cr:745.2,In:184.9,,,,,,,,,,,,
Ti:775.4,Cr:717.9,Nb:458.6,Sn:293.9,Fe:221.8,Al:199.0,Si:194.7,Zr:193.0,W_:178.8,W_:158.6,,,,,,
Ca:4290.6,Ti:1318.6,Cr:554.6,I_:496.6,Co:397.7,I_:371.3,Pd:224.4,Pt:161.0,In:154.8,K :152.2,W_:150.3,,,,,
Zr:3082.4,K :2724.8,Mo:1459.8,Nb:530.0,Zn:516.9,Ti:483.8,In:445.2,Bi:436.5,Cr:399.8,C_:326.0,Pb:305.5,Pd:292.8,Ca:280.5,W_:272.8,Sn:212.7,Pt:192.6
Zr:1690.9,K :1353.8,Sb:545.9,Zn:472.2,Cr:296.6,Mo:241.6,Bi:200.8,In:186.9,Pb:173.6,Pd:152.1,Ca:151.0,,,,,
In:1084.3,Ti:983.0,Ni:455.6,Ca:323.5,Cr:278.1,P :274.8,Zr:223.7,Sn:204.9,Fe:198.0,W_:187.8,Bi:173.5,Pt:171.5,Pd:167.5,Sb:151.8,,
Fe:1407.4,Cr:227.3,Ta:224.4,V_:202.0,Ti:193.9,Pt:163.0,,,,,,,,,,
Ti:3687.0,Fe:1217.3,W_:1019.9,Nb:874.0,Ni:386.4,S :250.9,Zr:229.0,Ge:227.7,Ag:210.2,Pt:185.1,V_:170.4,Bi:169.4,Cr:167.8,Pd:163.4,,
