0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Cu:8747.5,Nb:1427.2,K :1088.2,Ni:700.2,I_:478.3,Fe:393.5,Mo:351.1,Ta:303.0,Pd:259.0,V_:256.8,W_:209.2,Pt:178.8,Sn:177.6,Pb:176.2,Zr:156.6,,,,,,,,,
Cu:6008.6,W_:425.7,V_:346.6,S :221.9,,,,,,,,,,,,,,,,,,,,
Cu:5098.6,Nb:1830.0,Ti:1612.7,Ni:1006.4,Ta:360.9,S :297.5,Fe:291.5,In:281.2,Sn:253.0,Pd:221.9,Pt:206.7,In:177.1,W_:173.8,Ge:172.9,Fe:159.7,Zr:158.8,,,,,,,,
Cu:3196.6,Ta:368.5,Ti:191.1,Sn:168.3,Pd:162.4,W_:162.1,,,,,,,,,,,,,,,,,,
Cu:1202.7,Pd:1196.0,Nb:653.6,Zr:337.7,Ni:323.9,P :299.6,Ta:284.2,Mo:253.5,P :241.6,W_:185.5,Sn:160.9,Si:158.8,Sn:158.4,I_:157.7,,,,,,,,,,
Cu:819.4,W_:351.4,Sn:306.9,Si:296.1,Ta:271.6,Pt:263.2,K :219.5,Pd:215.3,I_:197.8,In:163.2,Zr:156.1,,,,,,,,,,,,,
K :483.1,K :479.9,Cu:394.1,Sn:298.6,In:221.9,Sn:185.1,Pt:170.5,Ta:156.1,,,,,,,,,,,,,,,,
Nb:1843.2,Mo:976.8,Ni:839.9,Ta:493.3,Cu:386.0,Ca:283.3,I_:248.9,Bi:233.9,Sb:175.7,Ag:173.9,,,,,,,,,,,,,,
Nb:1843.2,V_:1134.7,Ni:839.9,Ta:493.3,Pd:443.4,Cu:372.4,Ca:283.3,Bi:275.6,Ca:199.4,Si:195.6,I_:177.9,Co:170.2,S :165.2,Ag:163.4,Zr:151.7,Sb:150.1,,,,,,,,
Nb:2795.3,Ni:1530.1,Ti:1073.0,P :347.5,P :322.1,Cu:302.5,Fe:226.2,Sn:199.5,W_:192.3,Pd:160.4,Pd:152.6,,,,,,,,,,,,,
Nb:1884.4,Fe:1450.8,V_:1134.7,Ni:979.3,Pd:443.4,Mo:342.2,Cu:286.4,Bi:271.5,Ca:199.4,W_:186.7,I_:177.9,S :165.2,Zr:151.7,,,,,,,,,,,
Mo:492.8,Si:316.4,Cu:283.6,Zr:266.1,Pb:251.4,Sb:246.7,Pt:244.6,Pd:209.3,In:183.0,Sn:178.1,Ge:175.1,K :158.4,I_:156.7,Fe:153.3,,,,,,,,,,
I_:546.4,W_:381.6,Ca:315.1,Cu:264.2,Zr:201.4,Bi:177.8,P :158.5,,,,,,,,,,,,,,,,,
C_:908.4,V_:800.6,Nb:573.5,Ge:493.1,Ni:323.0,W_:291.8,I_:272.6,Cu:238.6,S :236.7,Sb:215.3,Sb:167.1,Pb:155.3,,,,,,,,,,,,
Ti:6114.6,Pt:1398.7,In:1351.3,Pd:1230.2,S :1076.6,Sb:1065.9,Si:843.4,Ge:796.1,Si:795.0,V_:717.9,I_:706.9,Zr:706.6,K :684.1,Bi:579.2,Nb:492.1,Bi:441.6,Zn:422.0,Zn:368.3,P :336.9,Ta:327.4,Ni:244.5,C_:234.5,C_:234.3,Cu:229.5
Nb:2674.6,Sn:1238.5,Ni:1202.9,Sb:1184.4,Pd:1107.1,In:1074.1,S :1042.7,Si:856.5,I_:779.4,K :769.0,Ge:727.9,Fe:679.6,Zr:527.0,P :283.6,Al:254.6,Mo:248.9,C_:221.5,Ag:217.9,Cu:201.7,,,,,
In:946.7,Mo:895.3,Si:763.8,Bi:420.4,Ta:399.1,Cu:194.2,,,,,,,,,,,,,,,,,,
Bi:979.2,Al:733.3,Nb:294.4,Ge:277.6,Zr:223.4,Cu:192.6,Au:168.8,Sb:167.1,Fe:161.2,Pb:155.3,,,,,,,,,,,,,,
Bi:287.2,Cu:178.9,K :175.2,,,,,,,,,,,,,,,,,,,,,
Zr:526.8,I_:406.0,Si:337.8,Ti:275.3,C_:215.3,Bi:212.8,Zn:186.0,Cu:175.2,K :161.0,,,,,,,,,,,,,,,
Nb:1506.8,Ni:886.9,Fe:565.4,W_:256.9,K :214.6,Sb:169.4,Cu:166.6,Zr:159.3,,,,,,,,,,,,,,,,
Nb:1520.2,Ni:775.7,W_:419.0,Bi:287.2,K :175.2,S :168.5,Cu:164.7,,,,,,,,,,,,,,,,,
K :328.4,Pt:242.7,S :201.3,W_:200.8,Fe:192.9,Sn:184.0,Cu:164.3,,,,,,,,,,,,,,,,,
Nb:1123.6,V_:557.3,W_:312.0,Ta:265.7,Sn:226.9,In:224.8,Cu:160.1,Ge:157.6,Fe:155.6,,,,,,,,,,,,,,,
Nb:1807.1,Ti:1303.8,Ni:938.1,I_:203.9,W_:170.1,W_:166.3,Cu:154.5,,,,,,,,,,,,,,,,,
Ti:6163.5,W_:340.6,Sn:185.0,Zr:179.5,I_:156.0,In:153.8,Cu:152.0,,,,,,,,,,,,,,,,,
