Wavelength,Intensity,Pixel
522.203,8747.499688690883,167.0
510.967,6008.641650192796,82.0
515.738,5098.642518768475,118.0
578.657,3196.588589211334,607.0
529.811,1202.6866867097337,225.0
570.506,819.4010206161029,542.0
508.042,394.0760890415845,60.0
524.307,385.9507839769858,183.0
524.044,372.35515967636684,181.0
525.62,302.48240746089436,193.0
523.781,286.38140112566634,179.0
520.491,283.62869402062006,154.0
524.832,264.2241974083315,187.0
513.222,238.59534876844418,99.0
517.985,229.53458041376302,135.0
518.381,201.7287163472938,138.0
517.589,194.20943399691714,132.0
512.957,192.61101603920633,97.0
518.777,178.90367670581327,141.0
554.131,175.1662469211842,413.0
502.172,166.63149920618275,16.0
519.041,164.70673795467246,143.0
539.706,164.28374689379507,301.0
535.94,160.0694222685296,272.0
512.559,154.53452272913069,94.0
503.909,151.99121517466915,29.0
