0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Pd:3992.1,Pt:3821.8,Sn:3551.6,In:3217.6,Fe:3191.1,I_:3158.8,Sb:3048.6,S :2890.8,Zr:2866.3,Si:2711.9,K :2516.1,Ta:1215.8,Zn:1202.7,Bi:1153.9,Ge:1143.3,P :993.2,Pb:745.3,Ca:473.8,,,,,,,,,
Ca:5109.1,Nb:3383.7,Fe:2526.6,Ni:1499.2,Bi:1132.4,I_:530.9,Pd:175.6,Si:155.8,,,,,,,,,,,,,,,,,,,
Ti:4003.4,Fe:2462.6,Sb:252.7,,,,,,,,,,,,,,,,,,,,,,,,
Pd:2653.5,Pt:2617.1,In:2403.1,Sn:2214.2,Zr:2081.2,I_:1994.7,Fe:1918.4,S :1786.3,Sb:1753.6,Si:1485.8,K :1377.5,Zn:727.6,Ta:699.0,Bi:645.2,P :600.1,Ge:559.3,Nb:499.0,Ca:340.3,Ni:176.4,,,,,,,,
Nb:1884.4,Fe:1450.8,V_:1134.7,Ni:979.3,Pd:443.4,Mo:342.2,Cu:286.4,Bi:271.5,Ca:199.4,W_:186.7,I_:177.9,S :165.2,Zr:151.7,,,,,,,,,,,,,,
Fe:1407.4,Nb:252.5,Cr:227.3,Ta:224.4,V_:202.0,Ti:193.9,Pt:163.0,In:154.0,,,,,,,,,,,,,,,,,,,
Fe:1217.3,Nb:874.0,Ni:386.4,Ag:250.5,Zr:229.0,Ge:227.7,Pt:185.1,V_:170.4,Bi:169.4,Cr:167.8,Pd:163.4,,,,,,,,,,,,,,,,
Fe:1107.2,Ti:736.3,Ti:516.9,S :274.6,W_:271.9,W_:259.8,Ni:246.5,Sn:193.1,,,,,,,,,,,,,,,,,,,
Fe:1001.9,W_:234.3,Sb:217.2,S :214.7,Ni:187.1,Sn:175.4,Si:170.1,Ta:152.9,,,,,,,,,,,,,,,,,,,
Fe:967.6,Nb:252.5,I_:167.6,Sn:160.8,In:154.0,,,,,,,,,,,,,,,,,,,,,,
Zr:6177.2,Ti:4551.3,Nb:2539.4,V_:1941.3,Ni:1283.1,Fe:902.8,Bi:205.4,Bi:191.3,Al:180.9,Mo:174.2,Sn:168.5,,,,,,,,,,,,,,,,
W_:1428.7,Sn:1216.5,Pt:1196.6,Zr:1168.3,Pd:1143.1,Si:1031.2,In:1022.9,I_:924.5,Sb:899.2,Nb:841.7,Fe:838.3,K :669.7,S :649.3,Ti:581.3,Ta:483.5,Ge:412.2,Bi:316.0,Zn:313.2,P :257.3,Ni:246.9,Pb:226.2,,,,,,
I_:1579.0,Ta:869.8,Fe:814.0,W_:277.4,Ni:229.4,Pb:191.4,In:171.7,Ti:163.0,,,,,,,,,,,,,,,,,,,
Nb:1097.8,V_:860.6,Fe:742.8,Ni:507.6,Sb:461.9,W_:340.9,I_:282.0,S :226.2,Pd:212.0,Sn:204.9,W_:167.1,,,,,,,,,,,,,,,,
Zr:892.2,Fe:686.7,V_:357.7,W_:240.9,K :186.2,S :173.2,Si:173.2,Pd:167.5,,,,,,,,,,,,,,,,,,,
Nb:4598.3,Ni:1886.5,W_:1264.7,Pd:1103.1,Zr:977.1,In:882.2,Pt:806.9,Ta:805.5,Sn:794.0,S :793.4,Sb:707.8,Fe:683.3,I_:570.4,Si:518.9,K :477.7,Zn:270.9,Ge:215.2,P :200.4,Bi:182.4,Bi:153.9,,,,,,,
Pt:1398.7,Sn:1238.5,Sb:1184.4,Pd:1107.1,In:1074.1,S :1042.7,Si:856.5,Si:843.4,Ge:796.1,I_:779.4,K :769.0,Ge:727.9,V_:717.9,I_:706.9,Zr:706.6,Fe:679.6,Bi:579.2,Zr:527.0,Zn:422.0,P :336.9,Ta:327.4,P :283.6,Al:254.6,C_:234.5,C_:221.5,Ag:217.9,Cu:201.7
Nb:753.7,Fe:668.9,V_:614.7,C_:481.3,Ni:444.2,Pb:285.9,Pb:250.7,In:227.7,Bi:155.3,S :153.1,,,,,,,,,,,,,,,,,
Nb:1506.8,Ni:886.9,Fe:565.4,W_:256.9,K :214.6,Sb:169.4,Cu:166.6,Zr:159.3,,,,,,,,,,,,,,,,,,,
Nb:818.5,K :704.3,Ti:639.6,Fe:557.7,Ni:484.3,P :442.0,V_:296.9,W_:169.9,In:165.8,,,,,,,,,,,,,,,,,,
S :1279.0,Ti:879.6,Fe:555.8,Nb:436.9,Ni:273.5,W_:161.6,,,,,,,,,,,,,,,,,,,,,
Nb:583.1,Fe:545.7,Ti:542.1,Ti:388.2,In:216.5,Sn:200.7,In:195.4,Sb:170.1,,,,,,,,,,,,,,,,,,,
Nb:913.9,Fe:539.0,W_:321.4,K :304.9,Pd:261.2,Pd:236.2,I_:212.3,Zr:190.2,Si:178.5,K :156.5,In:152.6,,,,,,,,,,,,,,,,
Fe:531.7,K :387.6,Nb:257.8,Ni:175.2,,,,,,,,,,,,,,,,,,,,,,,
Fe:530.0,S :397.3,Ta:324.3,Ti:230.3,Ti:213.7,Pt:207.6,Co:206.0,W_:199.4,P :152.2,,,,,,,,,,,,,,,,,,
I_:1032.1,W_:873.2,Pd:702.2,Pt:668.3,Pd:618.7,Nb:579.9,In:564.2,In:513.2,Fe:513.1,Sn:493.4,Si:484.2,S :474.1,S :432.2,Zr:415.3,K :412.3,Sb:349.9,Ge:200.8,Zn:198.8,Zn:189.3,P :167.3,P :153.1,,,,,,
Ti:1430.4,Fe:451.2,Si:241.7,In:170.6,Sn:165.1,S :155.7,Pt:151.7,Bi:150.9,K :150.9,,,,,,,,,,,,,,,,,,
V_:971.7,Fe:441.6,Nb:295.8,Ni:263.4,Ti:228.2,W_:225.4,S :151.7,,,,,,,,,,,,,,,,,,,,
Mo:5601.2,Ti:832.1,In:637.7,W_:632.9,S :608.7,Sn:608.1,Pt:558.8,I_:507.0,Sn:467.5,Sb:465.1,In:452.8,Fe:440.7,Si:379.9,K :358.7,Nb:244.8,Zn:202.2,P :180.6,Ni:153.7,,,,,,,,,
Mo:5601.2,Ti:832.1,In:637.7,W_:632.9,S :608.7,Sn:608.1,Zr:537.4,I_:507.0,Pd:471.3,Sb:465.1,Fe:417.0,I_:406.0,Si:379.9,K :358.7,Bi:263.2,Ta:172.1,Ca:164.4,Zn:163.2,Ni:153.7,,,,,,,,
Pd:852.6,Si:564.5,W_:562.7,In:546.0,Pt:518.5,Sn:428.4,Fe:400.6,Sn:400.4,Sb:327.9,Zr:254.6,K :248.1,Ti:213.1,Zr:209.3,Ta:166.3,,,,,,,,,,,,,
Cu:8747.5,K :1088.2,K :893.3,I_:478.3,Fe:393.5,S :374.1,Pd:259.0,Pd:257.7,V_:256.8,W_:209.2,Pt:178.8,Sn:177.6,Zr:177.0,Pb:176.2,Zr:156.6,,,,,,,,,,,,
