Wavelength,Intensity,Pixel
500.835,3191.0675778658333,6.0
527.455,2526.5891460321473,207.0
517.325,2462.6092187196336,130.0
568.236,1918.352294968574,524.0
523.781,1450.8288208418408,179.0
533.206,1407.4386441385413,251.0
523.124,1217.2890376702526,174.0
562.033,1107.2284010321318,475.0
537.63,1001.8586244184544,285.0
532.945,967.5633660440344,249.0
519.701,902.7922452213825,148.0
504.844,838.2823296792194,36.0
540.872,814.0387762557766,310.0
514.415,742.7974861969215,108.0
538.798,686.6755705729529,294.0
566.974,683.3285855974327,514.0
518.249,679.6100462153336,137.0
559.109,668.9392896383888,452.0
502.172,565.3595882963482,16.0
542.813,557.6897216474572,325.0
543.459,555.8262310252376,330.0
536.981,545.7091076217066,280.0
546.04,538.9900340640397,350.0
545.138,531.6896251212238,343.0
534.509,530.0281132715436,261.0
571.387,513.1040393735857,549.0
528.765,451.2395375470396,217.0
541.908,441.6018312807364,318.0
553.619,440.7253456998096,409.0
553.875,417.0277194719947,411.0
656.786,400.5630086557603,1262.0
522.072,393.4532564282472,166.0
557.707,391.0279182368613,441.0
540.095,384.35334892099763,304.0
569.12,358.7150117711062,531.0
571.009,357.59721544096465,546.0
594.508,352.0464186764166,735.0
557.452,332.2570762415471,439.0
532.163,311.57753617393973,243.0
640.497,296.01127813436915,1120.0
515.606,291.4733021387583,117.0
614.175,280.84277993007026,897.0
553.235,272.3379550694208,406.0
549.9,272.1214533249722,380.0
515.341,270.4905350277095,115.0
530.726,269.83930144853184,232.0
594.262,258.6816713328476,733.0
649.95,248.21858737096727,1202.0
543.847,246.74283310887768,333.0
548.101,245.1126728956342,366.0
593.525,244.14419785665268,727.0
547.843,237.60936887524622,364.0
510.303,236.06575811054154,77.0
648.574,230.92403809685356,1190.0
548.358,228.3537249521305,368.0
657.24,227.1786385795167,1266.0
525.62,226.23903922538102,193.0
548.615,222.88027465378673,370.0
541.52,221.8421919932007,315.0
546.685,218.43856919148675,355.0
570.758,216.81954957687776,544.0
503.242,214.8958319276917,24.0
602.818,209.5197714663409,803.0
513.752,207.40384348755651,103.0
559.872,204.14872878924416,458.0
569.624,201.22240410358972,535.0
525.095,198.02158877206602,189.0
507.776,194.13740422771662,58.0
539.836,192.85380666584388,302.0
521.282,192.22461232477144,160.0
530.465,186.81283627458288,230.0
560.636,186.23356798377336,464.0
623.483,186.17392639622722,975.0
540.484,182.27206749057314,307.0
573.272,181.07156670253426,564.0
507.376,179.6119387571389,55.0
565.076,179.3553608572829,499.0
578.907,174.93607854055017,609.0
511.232,169.84169648488023,84.0
716.164,168.32601073863054,1812.0
565.33,166.05818189058846,501.0
535.42,162.8236613844856,268.0
512.825,161.1927510223495,96.0
558.089,160.1929571524015,444.0
515.871,159.74416190808006,119.0
551.825,158.277950388896,395.0
554.514,157.44906229673325,416.0
572.016,157.1898550048577,554.0
521.677,156.9851518082187,163.0
526.145,156.58478196977376,197.0
564.696,156.54980337962297,496.0
535.81,155.55238044094858,271.0
560.381,154.085995604054,462.0
520.36,153.34537864249432,153.0
550.927,152.31124509020447,388.0
502.841,151.25893616708527,21.0
