0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Ge:2228.9,Sb:545.9,Zn:472.2,Nb:376.5,Mo:241.6,Ni:236.9,Pb:173.6,,,,,,,,,,,,,,,
Pd:3992.1,Pt:3821.8,Sn:3551.6,In:3217.6,Fe:3191.1,I_:3158.8,Sb:3048.6,S :2890.8,Zr:2866.3,Si:2711.9,K :2516.1,Ta:1215.8,Zn:1202.7,Bi:1153.9,Ge:1143.3,P :993.2,Pb:745.3,Ca:473.8,,,,
Ge:1110.9,Ti:312.0,Ta:286.9,Nb:259.1,Sb:180.9,Si:154.8,,,,,,,,,,,,,,,,
Pt:1398.7,In:1351.3,Sn:1238.5,Pd:1230.2,Sb:1184.4,S :1076.6,Sb:1065.9,S :1042.7,Si:843.4,Ge:796.1,K :769.0,V_:717.9,I_:706.9,Zr:706.6,Fe:679.6,Bi:579.2,Zn:422.0,P :336.9,Ta:327.4,Al:254.6,C_:234.5,Cu:229.5
Nb:2443.0,Ni:1221.0,Ge:748.2,Zr:392.6,W_:263.6,S :245.4,Si:224.7,I_:224.3,Ta:223.8,Sb:207.6,Fe:207.4,Pb:185.9,W_:184.0,Pd:182.6,In:181.1,Si:165.8,K :161.5,,,,,
Nb:2674.6,Sn:1238.5,Ni:1202.9,Sb:1184.4,Pd:1107.1,In:1074.1,S :1042.7,Si:856.5,I_:779.4,K :769.0,Ge:727.9,Fe:679.6,Zr:527.0,P :283.6,Al:254.6,Mo:248.9,C_:221.5,Ag:217.9,Cu:201.7,,,
Ge:657.0,Zr:392.6,S :245.4,Sb:231.0,Ta:223.8,Fe:207.4,Pb:185.9,W_:184.0,In:181.1,Si:165.8,,,,,,,,,,,,
Pd:2653.5,Pt:2617.1,In:2403.1,Sn:2214.2,Zr:2081.2,I_:1994.7,Fe:1918.4,S :1786.3,Sb:1753.6,Si:1485.8,K :1377.5,Zn:727.6,Ta:699.0,Bi:645.2,P :600.1,Ge:559.3,Nb:499.0,Ca:340.3,Ni:176.4,,,
C_:908.4,V_:800.6,Nb:573.5,Ge:493.1,Ni:323.0,W_:291.8,I_:272.6,Cu:238.6,S :236.7,Sb:215.3,,,,,,,,,,,,
W_:1428.7,Sn:1216.5,Pt:1196.6,Zr:1168.3,Pd:1143.1,Si:1031.2,In:1022.9,I_:924.5,Sb:899.2,Nb:841.7,Fe:838.3,K :669.7,S :649.3,Ti:581.3,Ta:483.5,Ge:412.2,Bi:316.0,Zn:313.2,P :257.3,Ni:246.9,Pb:226.2,
Bi:979.2,Al:733.3,Nb:294.4,Ge:277.6,Zr:223.4,Cu:192.6,Au:168.8,Sb:167.1,Fe:161.2,Pb:155.3,,,,,,,,,,,,
Au:2141.8,Mo:342.2,W_:272.0,Ge:270.2,I_:248.5,Bi:246.6,Zr:225.4,Ta:208.4,Sb:179.4,Si:178.4,S :170.7,Co:151.5,,,,,,,,,,
Fe:1217.3,Nb:874.0,Ni:386.4,Ag:250.5,Zr:229.0,Ge:227.7,Pt:185.1,V_:170.4,Bi:169.4,Cr:167.8,Pd:163.4,,,,,,,,,,,
Nb:4598.3,Ni:1886.5,W_:1264.7,Pd:1103.1,Zr:977.1,In:882.2,Pt:806.9,Ta:805.5,Sn:794.0,S :793.4,Sb:707.8,Fe:683.3,I_:570.4,Si:518.9,K :477.7,Zn:270.9,Ge:215.2,P :200.4,Bi:182.4,Bi:153.9,,
Ti:1137.2,Ta:513.0,Sb:427.9,W_:310.2,Sn:236.5,In:212.8,Ge:206.1,Si:200.5,Pb:185.7,Pt:181.5,,,,,,,,,,,,
Ti:3468.9,V_:313.2,Pt:250.8,Ge:204.8,W_:200.5,Bi:176.9,S :176.1,Sb:150.6,,,,,,,,,,,,,,
I_:1032.1,W_:873.2,Pd:702.2,Pt:668.3,Pd:618.7,Nb:579.9,In:564.2,In:513.2,Fe:513.1,Sn:493.4,Si:484.2,S :474.1,S :432.2,Zr:415.3,K :412.3,Sb:349.9,Ge:200.8,Zn:198.8,Zn:189.3,P :167.3,P :153.1,
Ag:6718.5,Bi:4512.6,Cr:1707.4,S :349.6,S :326.6,Si:295.5,Pt:292.0,Pd:278.7,Sn:247.5,W_:236.5,Ge:197.7,Fe:192.2,I_:180.6,V_:171.1,Ni:159.8,,,,,,,
V_:1851.7,Nb:1798.8,V_:1497.2,Ni:691.2,Si:480.4,Si:420.5,Pd:401.1,Fe:357.6,K :305.5,Mo:298.2,Zr:260.5,Ta:258.6,S :246.7,Sb:245.9,Ge:194.0,Zn:154.4,,,,,,
Nb:1972.8,Ni:1031.7,Sb:266.7,Pb:257.0,Zr:234.9,In:230.0,I_:225.0,Ta:216.3,Pt:203.5,Pd:203.4,Si:198.4,Ge:189.2,Sn:180.4,,,,,,,,,
Mo:492.8,Si:316.4,Cu:283.6,Zr:266.1,Pb:251.4,Sb:246.7,Pt:244.6,Pd:209.3,In:183.0,Sn:178.1,Ge:175.1,K :158.4,I_:156.7,Fe:153.3,,,,,,,,
Cu:5098.6,Nb:1830.0,Ti:1612.7,Ni:1006.4,S :297.5,Fe:291.5,In:281.2,Sn:253.0,Pd:221.9,Pt:206.7,Ge:172.9,Zr:158.8,,,,,,,,,,
Ti:2416.8,Bi:2281.3,Al:498.7,Mo:419.5,I_:313.3,W_:238.0,Si:234.0,Pd:223.3,Ge:171.8,K :163.0,Pt:162.1,Sn:150.8,,,,,,,,,,
Ti:1303.8,Pd:516.5,Bi:366.3,Sb:232.3,S :214.0,Si:191.7,Ge:170.6,I_:168.0,W_:166.3,Zn:154.0,,,,,,,,,,,,
K :893.3,S :523.1,W_:388.4,S :374.1,Ta:322.3,Si:257.8,Pd:257.7,Co:245.7,In:237.3,V_:224.3,Sn:214.8,Zr:205.5,Pt:193.3,Zr:177.0,Ni:172.2,Ge:169.8,Fe:157.0,Mo:151.2,,,,
Ag:6718.5,Ti:5482.7,Bi:4512.6,Zr:493.7,Nb:395.0,S :349.6,Sb:266.5,Si:254.3,Sn:247.5,Pd:234.9,Fe:192.2,Ge:169.7,Ni:159.8,,,,,,,,,
Nb:583.4,Ni:260.4,Ge:160.6,,,,,,,,,,,,,,,,,,,
Nb:1123.6,Ta:265.7,In:224.8,W_:217.2,S :190.0,Al:180.4,Cu:160.1,Ge:157.6,,,,,,,,,,,,,,
V_:1330.5,Pd:788.3,Ti:743.9,P :170.5,Ge:157.2,,,,,,,,,,,,,,,,,
Ti:3468.9,Nb:1419.7,Zr:1320.3,Ni:741.3,Au:507.2,V_:313.2,Cd:288.6,S :211.4,I_:154.4,Ge:150.8,,,,,,,,,,,,
Nb:640.2,W_:336.8,Ni:246.5,Si:219.2,K :170.0,In:169.7,Mo:169.4,Ge:150.2,,,,,,,,,,,,,,
