Wavelength,Intensity,Pixel
589.83,2228.898727645912,697.0
500.835,1143.290715224317,6.0
602.574,1110.8977514890566,801.0
518.117,796.0729322542102,136.0
513.885,748.170820092575,104.0
518.381,727.9061517016598,138.0
513.62,657.0136869672942,102.0
568.363,559.3357543742127,525.0
513.355,493.0582075217826,100.0
504.844,412.2367212633908,36.0
512.957,277.63328878035645,97.0
523.518,270.1788411037396,177.0
523.124,227.74610238269997,174.0
566.974,215.21605651416803,514.0
511.896,206.13112316270326,89.0
506.71,204.78555933981715,50.0
571.387,200.77904698225984,549.0
521.15,197.71363877965814,159.0
571.009,193.96319864032466,546.0
520.755,189.15046027256903,156.0
520.491,175.10151965023033,154.0
515.606,172.86773378290764,117.0
514.944,171.7767610660503,112.0
512.294,170.61331242569395,92.0
521.808,169.81926422377728,164.0
521.414,169.73148845710512,161.0
505.377,160.64636978335875,40.0
536.071,157.61287638059184,273.0
567.353,157.21258873561783,517.0
506.977,150.8035351764902,52.0
530.987,150.22697164829515,234.0
