0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
I_:3324.4,Nb:3064.1,Ni:1542.7,Al:255.5,V_:235.7,Ta:173.5,,,,,,,,,,,,,,,,,,
Pd:3992.1,Pt:3821.8,Sn:3551.6,In:3217.6,Fe:3191.1,I_:3158.8,Sb:3048.6,S :2890.8,Zr:2866.3,Si:2711.9,K :2516.1,Ta:1215.8,Zn:1202.7,Bi:1153.9,Ge:1143.3,P :993.2,Pb:745.3,Ca:473.8,,,,,,
Ag:7145.9,I_:2545.9,Sb:488.6,Fe:218.4,W_:213.6,Sn:153.6,In:151.2,,,,,,,,,,,,,,,,,
Pd:2653.5,Pt:2617.1,In:2403.1,Sn:2214.2,Zr:2081.2,I_:1994.7,Fe:1918.4,S :1786.3,Sb:1753.6,Si:1485.8,K :1377.5,Zn:727.6,Ta:699.0,Bi:645.2,P :600.1,Ge:559.3,Nb:499.0,Ca:340.3,Ni:176.4,,,,,
I_:1627.4,S :397.3,Sn:301.6,Ti:230.3,Zr:227.8,W_:199.4,In:158.6,P :152.2,,,,,,,,,,,,,,,,
I_:1606.3,In:395.3,Sn:383.6,Pt:356.5,Pd:351.3,Si:340.1,Sb:329.3,Fe:272.1,K :218.1,Zr:205.0,S :169.8,,,,,,,,,,,,,
I_:1579.0,Fe:814.0,W_:277.4,Ti:163.0,,,,,,,,,,,,,,,,,,,,
Nb:6347.0,Ni:2088.7,I_:1486.2,S :618.5,Ta:324.3,K :223.7,Ti:213.7,Pt:207.6,Co:206.0,W_:192.2,P :189.5,In:184.9,Pd:176.4,Pb:174.0,Si:154.5,,,,,,,,,
I_:1032.1,W_:873.2,Pd:702.2,Pt:668.3,Pd:618.7,Nb:579.9,In:564.2,In:513.2,Fe:513.1,Sn:493.4,Si:484.2,S :474.1,S :432.2,Zr:415.3,K :412.3,Sb:349.9,Ge:200.8,Zn:198.8,Zn:189.3,P :167.3,P :153.1,,,
V_:2139.8,I_:948.9,Ca:342.6,Pb:184.7,,,,,,,,,,,,,,,,,,,,
W_:1428.7,Zr:1255.3,Sn:1216.5,Pt:1196.6,Zr:1168.3,Pd:1143.1,Si:1031.2,In:1022.9,I_:924.5,Sb:899.2,Nb:841.7,Fe:838.3,K :669.7,S :649.3,Ti:581.3,Ta:483.5,Ge:412.2,Bi:316.0,Bi:315.0,Zn:313.2,P :257.3,Ni:246.9,Pb:226.2,Mo:208.9
Nb:1498.6,I_:892.1,Ni:818.0,Ti:804.1,Ta:313.7,Mo:261.2,W_:226.0,Pd:202.5,Zr:160.7,,,,,,,,,,,,,,,
I_:816.5,Ti:630.9,In:254.5,W_:234.3,Co:220.7,S :204.8,Zr:168.5,Sn:152.6,,,,,,,,,,,,,,,,
Nb:2674.6,Sn:1238.5,Ni:1202.9,Sb:1184.4,Pd:1107.1,In:1074.1,S :1042.7,Si:856.5,I_:779.4,K :769.0,Ge:727.9,Fe:679.6,Zr:527.0,P :283.6,Al:254.6,Mo:248.9,C_:221.5,Ag:217.9,Cu:201.7,,,,,
Pt:1398.7,In:1351.3,Sn:1238.5,Pd:1230.2,Sb:1184.4,S :1076.6,Sb:1065.9,S :1042.7,Si:843.4,Ge:796.1,K :769.0,V_:717.9,I_:706.9,Zr:706.6,Fe:679.6,Bi:579.2,Zn:422.0,P :336.9,Ta:327.4,Al:254.6,C_:234.5,Cu:229.5,,
I_:581.6,Nb:221.7,Ta:185.2,S :170.3,S :162.7,,,,,,,,,,,,,,,,,,,
Nb:4598.3,Ni:1886.5,W_:1264.7,Pd:1103.1,Zr:977.1,In:882.2,Pt:806.9,Ta:805.5,Sn:794.0,S :793.4,Sb:707.8,Fe:683.3,I_:570.4,Si:518.9,K :477.7,Zn:270.9,Ge:215.2,P :200.4,Bi:182.4,Bi:153.9,,,,
Nb:642.2,I_:548.3,Ni:350.0,Ta:323.2,V_:206.9,,,,,,,,,,,,,,,,,,,
In:1084.3,Ti:983.0,I_:546.4,Ca:323.5,Cu:264.2,Fe:198.0,,,,,,,,,,,,,,,,,,
Ca:5109.1,Fe:2526.6,Bi:1132.4,I_:530.9,Pd:175.6,Si:155.8,In:154.7,Sb:150.2,,,,,,,,,,,,,,,,
Mo:5601.2,Ti:832.1,In:637.7,W_:632.9,S :608.7,Sn:608.1,Pt:558.8,Zr:537.4,I_:507.0,Pd:471.3,Sb:465.1,Fe:440.7,Fe:417.0,Si:379.9,K :358.7,Bi:263.2,Nb:244.8,P :180.6,Ta:172.1,Ca:164.4,Zn:163.2,Ni:153.7,,
Ca:4290.6,Ti:1318.6,Cr:554.6,I_:496.6,Co:397.7,In:154.8,In:154.7,W_:150.3,Sb:150.2,,,,,,,,,,,,,,,
Cu:8747.5,K :1088.2,K :893.3,I_:478.3,Fe:393.5,S :374.1,Pd:259.0,Pd:257.7,V_:256.8,W_:209.2,Pt:178.8,Sn:177.6,Zr:177.0,Pb:176.2,Zr:156.6,,,,,,,,,
Ti:1076.4,I_:476.9,W_:238.0,Si:210.6,,,,,,,,,,,,,,,,,,,,
Pd:593.0,Zr:525.4,Ti:506.1,S :466.6,I_:415.1,Si:346.0,Sb:311.6,In:286.7,Pt:283.1,Fe:272.3,K :254.4,Mo:189.4,,,,,,,,,,,,
Zr:537.4,Zr:526.8,Pd:471.3,Fe:417.0,I_:406.0,Si:337.8,Bi:263.2,C_:215.3,Bi:212.8,Zn:186.0,Cu:175.2,Ta:172.1,Ca:164.4,Zn:163.2,,,,,,,,,,
Ca:4290.6,Ca:3961.3,Cr:554.6,I_:371.3,Pd:224.4,S :205.6,Au:203.9,Pt:161.0,Ta:155.8,In:154.8,K :152.2,W_:150.3,,,,,,,,,,,,
V_:483.4,I_:314.6,W_:238.0,S :215.8,Pt:183.0,Nb:153.5,,,,,,,,,,,,,,,,,,
Ti:860.7,Nb:638.1,Zr:459.8,Nb:375.9,Ni:371.4,I_:313.9,In:283.8,Sb:222.2,In:169.9,Si:167.1,Pt:164.9,Fe:152.3,,,,,,,,,,,,
Ti:2416.8,Bi:2281.3,Al:498.7,Mo:419.5,I_:313.3,W_:238.0,Si:234.0,Pd:223.3,Ge:171.8,K :163.0,Pt:162.1,Sn:150.8,,,,,,,,,,,,
Mo:1613.4,Ti:471.5,I_:305.4,Fe:201.2,Ni:181.6,,,,,,,,,,,,,,,,,,,
Ti:884.7,Ta:839.2,Pd:541.7,Sb:340.7,I_:298.5,S :288.7,Bi:171.8,,,,,,,,,,,,,,,,,
Ti:4453.7,Ca:3873.4,Ta:349.0,Sn:319.4,I_:291.4,Nb:264.0,Fe:154.1,,,,,,,,,,,,,,,,,
Nb:1097.8,V_:860.6,Fe:742.8,Ni:507.6,Sb:461.9,Ta:347.8,I_:282.0,S :246.4,S :226.2,Pd:212.0,Sn:204.9,In:187.2,W_:167.1,,,,,,,,,,,
