Wavelength,Intensity,Pixel
516.532,3324.421227057601,124.0
500.835,3158.7542074947014,6.0
546.813,2545.866528992923,356.0
568.236,1994.74727855735,524.0
534.248,1627.4319189916841,259.0
550.029,1606.347501915403,381.0
541.002,1579.040542359733,311.0
534.769,1486.2104991895649,263.0
571.387,1032.0709026512814,549.0
563.049,948.8819206211638,483.0
504.977,924.5125779693517,37.0
544.105,892.148202525912,335.0
537.37,816.5399865856962,283.0
518.381,779.3658338255082,138.0
518.117,706.8682916547732,136.0
595.489,581.581518968791,743.0
566.974,570.4178483884771,514.0
578.032,548.2998239221542,602.0
524.964,546.4272066419489,188.0
527.324,530.8996110990192,206.0
553.747,507.01555037971593,410.0
527.062,496.59423949446864,204.0
522.072,478.28307160881013,166.0
574.402,476.9041701963997,573.0
553.235,415.138197802984,406.0
554.003,405.9950220156188,412.0
526.8,371.290829327987,202.0
574.652,314.58819345930533,575.0
550.799,313.9466481018808,387.0
514.944,313.30452135009546,112.0
569.498,305.4029224466449,534.0
594.753,298.46295634285525,737.0
560.254,291.406400007354,461.0
514.547,282.0364468601383,109.0
513.355,272.61865265780943,100.0
576.532,269.3877964598805,590.0
520.228,259.45431726867173,152.0
594.385,257.10113645726415,734.0
613.214,253.4267434853905,889.0
612.974,251.03481883055156,887.0
524.307,248.8634389390263,183.0
523.387,248.47125221171882,176.0
696.344,232.37021372772165,1622.0
511.631,228.56876821016704,87.0
520.887,224.99693851774282,157.0
513.885,224.33691641076075,104.0
514.15,219.89143918920308,106.0
546.04,212.25580370495663,350.0
512.559,203.88978935701743,94.0
560.0,200.9030184181829,459.0
593.525,199.97498641307538,727.0
570.38,197.7680075463113,541.0
545.396,195.10513857131264,345.0
648.804,192.2747600969492,1192.0
607.669,190.4840951155761,843.0
593.279,185.82669647371858,725.0
581.774,182.86207307612676,632.0
521.15,180.63865658643408,159.0
552.979,179.24528672811903,404.0
523.913,177.90045007225126,180.0
612.734,169.87516709843203,885.0
552.722,169.63669209911131,402.0
512.161,167.98176082927785,91.0
573.272,167.69529902607792,564.0
532.423,167.55128999613225,245.0
532.945,167.55089046818102,249.0
540.225,167.43067929380413,305.0
502.974,167.1868870823928,22.0
530.334,167.16151799933868,229.0
569.12,166.80574317990613,531.0
587.606,163.04861085971697,679.0
555.409,161.7390398082889,423.0
608.032,160.9552519345425,846.0
594.016,158.49879394406253,731.0
539.058,158.34799099664997,296.0
529.942,157.70904450280977,226.0
520.491,156.66051803923983,154.0
504.043,155.95078663650747,30.0
578.407,155.8970321155648,605.0
608.878,154.98746527791081,853.0
557.197,154.5854080392528,437.0
588.472,154.55885712490453,686.0
506.977,154.37741966448448,52.0
587.977,154.3246028997146,682.0
502.707,154.23505905145794,20.0
552.082,154.22086630937156,397.0
560.763,152.75379592674471,465.0
575.029,152.23161829529454,578.0
551.184,150.1380584174767,390.0
