0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Pd:3992.1,Pt:3821.8,Sn:3551.6,In:3217.6,Fe:3191.1,I_:3158.8,Sb:3048.6,S :2890.8,Zr:2866.3,Si:2711.9,K :2516.1,Ta:1215.8,Zn:1202.7,Bi:1153.9,Ge:1143.3,P :993.2,Pb:745.3,Ca:473.8,,,,,,
Pd:2653.5,Pt:2617.1,In:2403.1,Sn:2214.2,Zr:2081.2,I_:1994.7,Fe:1918.4,S :1786.3,Sb:1753.6,Si:1485.8,K :1377.5,Zn:727.6,Ta:699.0,Bi:645.2,P :600.1,Ge:559.3,Nb:499.0,Ca:340.3,Ni:176.4,,,,,
Ti:6114.6,Pt:1398.7,In:1351.3,Pd:1230.2,S :1076.6,Sb:1065.9,Si:843.4,Ge:796.1,Si:795.0,V_:717.9,I_:706.9,Zr:706.6,K :684.1,Bi:579.2,Nb:492.1,Bi:441.6,Zn:422.0,Zn:368.3,P :336.9,Ta:327.4,Ni:244.5,C_:234.5,C_:234.3,Cu:229.5
In:1084.3,Ti:983.0,I_:546.4,Ni:455.6,Ca:323.5,Cr:278.1,P :274.8,Zr:223.7,Sn:204.9,Fe:198.0,W_:187.8,Bi:173.5,Pt:171.5,Pd:167.5,Sb:151.8,,,,,,,,,
Nb:2674.6,Sn:1238.5,Ni:1202.9,Sb:1184.4,Pd:1107.1,In:1074.1,S :1042.7,Si:856.5,I_:779.4,K :769.0,Ge:727.9,Fe:679.6,Zr:527.0,P :283.6,Al:254.6,Mo:248.9,C_:221.5,Ag:217.9,Cu:201.7,,,,,
W_:1428.7,Sn:1216.5,Pt:1196.6,Zr:1168.3,Pd:1143.1,Si:1031.2,In:1022.9,I_:924.5,Sb:899.2,Nb:841.7,Fe:838.3,K :669.7,S :649.3,Ti:581.3,Ta:483.5,Ge:412.2,Bi:316.0,Zn:313.2,P :257.3,Ni:246.9,Pb:226.2,,,
In:946.7,Mo:895.3,Si:763.8,Bi:420.4,Ta:399.1,Cu:194.2,,,,,,,,,,,,,,,,,,
Nb:4598.3,Ni:1886.5,W_:1264.7,Pd:1103.1,Zr:977.1,In:882.2,Pt:806.9,Ta:805.5,Sn:794.0,S :793.4,Sb:707.8,Fe:683.3,I_:570.4,Si:518.9,K :477.7,Zn:270.9,Ge:215.2,P :200.4,Bi:182.4,Bi:153.9,,,,
In:746.0,Ti:217.4,Zr:205.6,,,,,,,,,,,,,,,,,,,,,
Mo:5601.2,Ti:832.1,In:637.7,W_:632.9,S :608.7,Sn:608.1,Pt:558.8,Zr:537.4,I_:507.0,Pd:471.3,Sb:465.1,Fe:440.7,Fe:417.0,Si:379.9,K :358.7,Bi:263.2,Nb:244.8,P :180.6,Ta:172.1,Ca:164.4,Zn:163.2,Ni:153.7,,
Nb:1798.8,V_:1497.2,I_:1032.1,W_:873.2,Ni:691.2,Pt:668.3,Pd:618.7,Nb:579.9,In:564.2,Fe:513.1,Sn:493.4,Si:480.4,S :474.1,Zr:415.3,K :412.3,Sb:349.9,Ge:200.8,Zn:189.3,P :153.1,,,,,
Pd:852.6,Si:564.5,W_:562.7,In:546.0,Pt:518.5,Sn:428.4,Fe:400.6,Sb:327.9,Zr:254.6,K :248.1,Ta:166.3,,,,,,,,,,,,,
I_:1032.1,W_:873.2,Pd:702.2,Pt:668.3,Nb:579.9,In:513.2,Fe:513.1,Sn:493.4,Si:484.2,S :432.2,Zr:415.3,K :412.3,Sb:349.9,Ge:200.8,Zn:198.8,P :167.3,,,,,,,,
In:506.0,W_:207.5,,,,,,,,,,,,,,,,,,,,,,
Ti:884.7,W_:775.7,Pd:541.7,Pt:483.6,In:456.8,Ta:411.5,S :395.1,Si:379.0,Fe:352.0,Zr:348.4,Sn:348.2,Sb:340.7,I_:257.1,Sb:255.4,K :231.8,Bi:171.8,,,,,,,,
Pd:593.0,Pt:558.8,Zr:525.4,Sn:467.5,In:452.8,Fe:440.7,Si:346.0,Sb:311.6,Nb:244.8,Zn:202.2,P :180.6,,,,,,,,,,,,,
Zr:3082.4,K :2724.8,Mo:1459.8,Nb:530.0,Zn:516.9,Ti:483.8,In:445.2,Bi:436.5,Cr:399.8,C_:326.0,Pb:305.5,Pd:292.8,Ca:280.5,W_:272.8,Sn:212.7,Pt:192.6,,,,,,,,
Nb:2474.2,Ti:1674.0,Ni:1161.4,In:405.1,Pd:274.4,Pb:191.3,Pt:161.5,Fe:156.5,,,,,,,,,,,,,,,,
I_:1606.3,In:395.3,Sn:383.6,Pt:356.5,Pd:351.3,Si:340.1,Sb:329.3,Fe:272.1,K :218.1,Zr:205.0,S :169.8,,,,,,,,,,,,,
Ti:1117.2,Ti:742.6,In:382.9,V_:205.5,K :188.3,W_:150.8,,,,,,,,,,,,,,,,,,
S :1079.6,Sb:927.7,Ti:589.4,In:375.0,Si:324.9,Pd:248.6,Zr:247.7,Pb:208.9,Ta:205.3,Pt:168.4,W_:163.4,K :152.4,,,,,,,,,,,,
Ti:996.9,Nb:599.1,Ni:472.2,In:350.2,Co:306.9,Sn:237.2,Fe:222.9,Pd:219.9,Ag:207.4,W_:178.9,Sb:171.5,Sb:169.8,Ca:165.0,Si:156.1,,,,,,,,,,
V_:1851.7,Ti:658.5,Si:420.5,W_:351.4,In:346.4,Sn:306.9,Si:296.1,Sb:291.5,Ta:258.6,Fe:216.8,K :159.0,Zr:156.1,,,,,,,,,,,,
Nb:797.9,Ni:443.6,S :418.1,Pd:339.5,In:301.3,Pt:283.3,Sb:275.7,Sn:268.3,Zr:234.1,Si:227.3,K :207.3,I_:167.2,W_:152.8,Fe:151.3,,,,,,,,,,
Ti:506.1,S :466.6,I_:415.1,In:286.7,Pt:283.1,Fe:272.3,K :254.4,Sb:248.8,Mo:189.4,I_:179.2,,,,,,,,,,,,,,
Ti:860.7,Zr:459.8,Nb:375.9,W_:333.0,I_:313.9,In:283.8,Sb:222.2,C_:216.5,Pt:164.9,,,,,,,,,,,,,,,
Ti:3083.1,Pd:339.5,Pt:283.3,Zr:282.3,In:281.9,Sb:272.8,Sn:272.6,K :257.0,I_:154.2,W_:152.8,Fe:151.3,,,,,,,,,,,,,
Cu:5098.6,Nb:1830.0,Ti:1612.7,Ni:1006.4,S :297.5,Fe:291.5,In:281.2,Sn:253.0,Pd:221.9,Pt:206.7,Ge:172.9,Zr:158.8,,,,,,,,,,,,
Ti:287.7,In:259.3,,,,,,,,,,,,,,,,,,,,,,
I_:816.5,Ti:630.9,In:254.5,W_:234.3,Co:220.7,S :204.8,Zr:168.5,Sn:152.6,,,,,,,,,,,,,,,,
Ti:656.5,C_:615.8,Nb:509.2,Sb:435.3,Si:316.2,In:254.2,Sn:205.6,W_:178.6,Pb:170.9,Ta:150.1,,,,,,,,,,,,,,
In:241.2,Ti:189.4,,,,,,,,,,,,,,,,,,,,,,
