Wavelength,Intensity,Pixel
500.835,3217.6357913718657,6.0
568.236,2403.111913566012,524.0
517.985,1351.2644123664286,135.0
525.095,1084.3083862106541,189.0
518.381,1074.0754464581642,138.0
504.844,1022.8948344313758,36.0
517.589,946.7048371105338,132.0
566.974,882.1575894346624,514.0
689.392,745.9578204945628,1557.0
553.747,637.6806037992374,410.0
571.261,564.1538238599196,548.0
656.673,546.0089680829055,1261.0
571.513,513.1943173893742,550.0
582.645,505.982566686831,639.0
594.508,456.8052855230617,735.0
553.491,452.80304174792036,408.0
589.46,445.2355067289318,694.0
564.696,405.06975031292495,496.0
550.029,395.25770669622216,381.0
582.147,382.8595046687751,635.0
564.316,374.9983708351856,493.0
548.615,350.2319976612107,370.0
570.758,346.37461541376524,544.0
502.974,301.2940797407027,22.0
553.107,286.6946931700095,405.0
550.671,283.81639672651454,386.0
502.707,281.91861713543403,20.0
515.606,281.2194249005188,117.0
718.512,259.251686458163,1835.0
537.37,254.52558950606,283.0
563.936,254.21092780788877,490.0
718.716,241.2312317777346,1837.0
648.574,241.06035016230362,1190.0
575.154,237.9568836336084,579.0
521.677,237.29112239059577,163.0
581.898,233.55719789298928,633.0
520.755,230.04726527875027,156.0
555.409,227.70254078527432,423.0
559.236,227.70015419926312,453.0
546.556,226.76484859731227,354.0
531.64,226.20062475382292,239.0
535.94,224.82795810382413,272.0
507.909,221.89975044982748,59.0
535.29,219.54528583174852,267.0
575.405,219.29627185993922,581.0
537.89,219.2751608983017,287.0
590.57,217.0165484817453,703.0
537.11,216.48244900007376,281.0
508.308,215.74656758726633,62.0
511.896,212.8345929974057,89.0
593.525,212.75181746074486,727.0
545.396,212.29602282142696,345.0
609.843,208.75178642186984,861.0
591.187,208.21250272205907,708.0
532.684,207.41480859546573,247.0
593.279,206.78236830494097,725.0
583.142,205.28777625451767,643.0
545.653,203.52707451994957,347.0
573.272,200.33794894664425,564.0
532.423,199.8594445296858,245.0
648.804,198.65934240741808,1192.0
536.851,195.37629987624223,279.0
555.793,193.70213102961134,426.0
516.135,190.88840008614898,121.0
661.307,188.8616649898895,1302.0
514.68,187.24269918486425,110.0
590.077,186.90208724203057,699.0
558.472,185.81199197905607,447.0
534.9,184.93410105434305,264.0
543.718,183.60587089071578,332.0
520.491,183.04773522863252,154.0
649.033,181.73931921147778,1194.0
513.752,181.1391883756478,103.0
532.163,181.0262576781115,243.0
620.273,180.63249169493156,948.0
509.239,179.2946977860047,69.0
506.311,178.5221114959386,47.0
515.871,177.14659346737972,119.0
540.743,171.72692789988832,309.0
556.942,170.72211253408204,435.0
528.765,170.60473283190186,217.0
550.927,169.9300376572046,388.0
531.118,169.7236598637246,235.0
530.726,169.51859535720178,232.0
546.298,168.88311471035377,352.0
544.88,168.09146414170027,341.0
592.787,167.77933490242322,721.0
593.771,167.18066147695026,729.0
542.942,165.7507646208187,326.0
541.649,165.2110064360677,316.0
548.101,164.95946503374034,366.0
506.044,164.23107290883672,45.0
570.38,163.1955941691249,541.0
598.061,162.73088266101058,764.0
596.102,162.3554842711128,748.0
547.328,160.4590600005804,360.0
528.503,158.59827882855825,215.0
534.248,158.56468080098784,259.0
560.0,158.19699981787835,459.0
505.777,155.94063428194931,43.0
526.931,154.79094617251212,203.0
527.193,154.73323897389128,205.0
527.717,154.65221058131647,209.0
533.076,153.97772514462122,250.0
503.909,153.79099475645853,29.0
545.911,152.58845164763625,349.0
716.369,151.5910398443084,1814.0
546.813,151.20392553427155,356.0
583.391,150.50636016096541,645.0
572.644,150.35319461148902,559.0
575.655,150.24385748625264,583.0
