0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
K :3339.1,Ti:243.8,,,,,,,,,,,,,,,,,,,,,,,,,
Zr:3082.4,K :2724.8,Mo:1459.8,Nb:530.0,Zn:516.9,Ti:483.8,In:445.2,Bi:436.5,Cr:399.8,C_:326.0,Pb:305.5,Pd:292.8,Ca:280.5,W_:272.8,Sn:212.7,Pt:192.6,,,,,,,,,,,
Pd:3992.1,Pt:3821.8,Sn:3551.6,In:3217.6,Fe:3191.1,I_:3158.8,Sb:3048.6,S :2890.8,Zr:2866.3,Si:2711.9,K :2516.1,Ta:1215.8,Zn:1202.7,Bi:1153.9,Ge:1143.3,P :993.2,Pb:745.3,Ca:473.8,,,,,,,,,
K :1826.4,Ti:162.9,,,,,,,,,,,,,,,,,,,,,,,,,
Pd:2653.5,Pt:2617.1,In:2403.1,Sn:2214.2,Zr:2081.2,I_:1994.7,Fe:1918.4,S :1786.3,Sb:1753.6,Si:1485.8,K :1377.5,Zn:727.6,Ta:699.0,Bi:645.2,P :600.1,Ge:559.3,Nb:499.0,Ca:340.3,Ni:176.4,,,,,,,,
Zr:1690.9,K :1353.8,Sb:545.9,Zn:472.2,Cr:296.6,Mo:241.6,Bi:200.8,In:186.9,Pb:173.6,Pd:152.1,Ca:151.0,,,,,,,,,,,,,,,,
K :1195.6,Ti:1113.3,Mo:300.4,Ca:255.6,,,,,,,,,,,,,,,,,,,,,,,
Cu:8747.5,Nb:1427.2,K :1088.2,Ni:700.2,I_:478.3,Fe:393.5,Mo:351.1,Ta:303.0,Pd:259.0,V_:256.8,W_:209.2,Pt:178.8,Sn:177.6,Pb:176.2,Zr:156.6,,,,,,,,,,,,
K :893.3,I_:478.3,Fe:393.5,S :374.1,Ta:322.3,Pd:257.7,Co:245.7,V_:224.3,Sn:214.8,W_:209.2,Pt:193.3,Zr:177.0,Ge:169.8,,,,,,,,,,,,,,
K :888.8,Nb:695.7,W_:512.4,Ni:331.1,Ti:241.6,S :175.7,,,,,,,,,,,,,,,,,,,,,
Pt:1398.7,Sn:1238.5,Sb:1184.4,Pd:1107.1,In:1074.1,S :1042.7,Si:856.5,Si:843.4,Ge:796.1,I_:779.4,K :769.0,Ge:727.9,V_:717.9,I_:706.9,Zr:706.6,Fe:679.6,Bi:579.2,Zr:527.0,Zn:422.0,P :336.9,Ta:327.4,P :283.6,Al:254.6,C_:234.5,C_:221.5,Ag:217.9,Cu:201.7
Nb:818.5,K :704.3,Ti:639.6,Fe:557.7,Ni:484.3,P :442.0,V_:296.9,W_:169.9,In:165.8,,,,,,,,,,,,,,,,,,
Ti:6114.6,In:1351.3,Pd:1230.2,S :1076.6,Sb:1065.9,Si:795.0,K :684.1,Nb:492.1,Bi:441.6,Zn:368.3,Ni:244.5,C_:234.3,Cu:229.5,,,,,,,,,,,,,,
W_:1428.7,Sn:1216.5,Pt:1196.6,Zr:1168.3,Pd:1143.1,Si:1031.2,In:1022.9,I_:924.5,Sb:899.2,Nb:841.7,Fe:838.3,K :669.7,S :649.3,Ti:581.3,Ta:483.5,Ge:412.2,Bi:316.0,Zn:313.2,P :257.3,Ni:246.9,Pb:226.2,,,,,,
Ti:555.6,K :551.0,V_:477.8,Fe:174.9,Pd:162.4,,,,,,,,,,,,,,,,,,,,,,
Nb:1769.9,Ni:979.2,Mo:643.7,K :493.1,Sn:433.8,Ti:262.9,Fe:236.1,Ta:206.7,W_:182.9,Pb:180.1,Si:178.9,Pt:176.2,Zr:162.0,,,,,,,,,,,,,,
Nb:1769.9,Ni:979.2,Al:856.1,K :489.6,Sn:346.7,S :224.6,Ti:166.6,,,,,,,,,,,,,,,,,,,,
Nb:4861.6,Ni:1984.7,Zr:905.9,K :483.1,Cu:394.1,In:215.7,Pt:192.4,Sn:185.1,,,,,,,,,,,,,,,,,,,
K :479.9,Cu:394.1,Sn:298.6,In:221.9,Fe:194.1,Pt:170.5,Pd:168.3,S :167.9,Ta:156.1,,,,,,,,,,,,,,,,,,
Nb:4598.3,Ni:1886.5,W_:1264.7,Pd:1103.1,Zr:977.1,In:882.2,Pt:806.9,Ta:805.5,Sn:794.0,S :793.4,Sb:707.8,Fe:683.3,I_:570.4,Si:518.9,K :477.7,Zn:270.9,Ge:215.2,P :200.4,Bi:182.4,Bi:153.9,,,,,,,
K :427.5,,,,,,,,,,,,,,,,,,,,,,,,,,
I_:1032.1,W_:873.2,Pd:702.2,Pt:668.3,Pd:618.7,Nb:579.9,In:564.2,In:513.2,Fe:513.1,Sn:493.4,Si:484.2,S :474.1,S :432.2,Zr:415.3,K :412.3,Sb:349.9,Ge:200.8,Zn:198.8,Zn:189.3,P :167.3,P :153.1,,,,,,
Ni:645.4,K :405.9,,,,,,,,,,,,,,,,,,,,,,,,,
Fe:531.7,K :387.6,In:168.1,Ni:158.3,,,,,,,,,,,,,,,,,,,,,,,
Mo:5601.2,Ti:832.1,In:637.7,W_:632.9,S :608.7,Sn:608.1,Pt:558.8,Zr:537.4,I_:507.0,Pd:471.3,Sb:465.1,Fe:440.7,Fe:417.0,Si:379.9,K :358.7,Bi:263.2,Nb:244.8,P :180.6,Ta:172.1,Ca:164.4,Zn:163.2,Ni:153.7,,,,,
K :354.0,,,,,,,,,,,,,,,,,,,,,,,,,,
K :328.4,Pt:242.7,S :201.3,W_:200.8,Fe:192.9,Sn:184.0,Cu:164.3,,,,,,,,,,,,,,,,,,,,
Ti:2385.1,S :660.7,K :311.7,P :161.7,Bi:153.4,Au:150.1,,,,,,,,,,,,,,,,,,,,,
V_:1851.7,Nb:1798.8,V_:1497.2,Ni:691.2,Si:480.4,Si:420.5,Pd:401.1,Fe:357.6,K :305.5,Mo:298.2,Zr:260.5,Ta:258.6,S :246.7,Sb:245.9,Ge:194.0,Zn:154.4,,,,,,,,,,,
Ti:1250.6,Nb:913.9,Fe:539.0,Ni:441.5,W_:321.4,K :304.9,Sn:236.9,Pd:236.2,I_:212.3,Zr:190.2,Si:178.5,In:168.9,Sb:165.8,,,,,,,,,,,,,,
Ti:843.0,K :296.9,Ta:287.1,W_:270.2,Pt:242.7,Nb:229.9,S :201.3,W_:200.8,S :178.0,,,,,,,,,,,,,,,,,,
Zr:421.1,Fe:358.7,Sb:281.7,K :276.6,Ta:199.9,Ni:187.4,P :171.6,Zn:167.7,I_:166.8,,,,,,,,,,,,,,,,,,
K :271.2,W_:223.0,,,,,,,,,,,,,,,,,,,,,,,,,
Ti:3083.1,Pd:339.5,Pt:283.3,Zr:282.3,In:281.9,Sb:272.8,Sn:272.6,K :257.0,I_:154.2,W_:152.8,Fe:151.3,,,,,,,,,,,,,,,,
Ti:506.1,S :466.6,I_:415.1,In:286.7,Pt:283.1,Fe:272.3,K :254.4,Sb:248.8,Mo:189.4,I_:179.2,,,,,,,,,,,,,,,,,
Mo:308.7,Ta:270.8,K :250.3,W_:227.0,Pb:192.0,Ti:168.3,Pd:160.0,Si:154.9,,,,,,,,,,,,,,,,,,,
Pd:852.6,Si:564.5,W_:562.7,In:546.0,Pt:518.5,Sn:428.4,Fe:400.6,Sn:400.4,Sb:327.9,Zr:254.6,K :248.1,Ti:213.1,Zr:209.3,Ta:166.3,,,,,,,,,,,,,
Nb:836.6,Ti:681.4,Ni:491.5,Pd:420.0,Fe:384.4,W_:307.2,K :244.1,Al:235.1,Sn:208.5,Mo:198.1,Fe:192.9,S :178.9,Zn:171.3,,,,,,,,,,,,,,
W_:775.7,Ti:552.3,Pd:496.9,Pt:483.6,In:456.8,Ta:411.5,S :395.1,Si:379.0,Fe:352.0,Zr:348.4,Sn:348.2,S :318.6,Fe:258.7,I_:257.1,Sb:255.4,K :231.8,,,,,,,,,,,
Nb:6347.0,Ni:2088.7,I_:1486.2,S :618.5,Ta:324.3,K :223.7,Ti:213.7,Pt:207.6,Co:206.0,W_:192.2,P :189.5,In:184.9,Pd:176.4,Pb:174.0,Si:154.5,,,,,,,,,,,,
Cu:819.4,W_:351.4,Sn:306.9,Si:296.1,Ta:271.6,Pt:263.2,K :219.5,Pd:215.3,I_:197.8,In:163.2,Zr:156.1,,,,,,,,,,,,,,,,
I_:1606.3,In:395.3,Sn:383.6,Pt:356.5,Pd:351.3,Si:340.1,Sb:329.3,Fe:272.1,K :218.1,Zr:205.0,S :169.8,,,,,,,,,,,,,,,,
Nb:1212.2,Ti:934.4,Ni:573.2,Bi:571.1,K :215.6,Ta:208.9,Fe:157.2,,,,,,,,,,,,,,,,,,,,
Sn:400.4,W_:309.9,Ti:253.3,K :215.3,Ti:213.1,Zr:209.3,,,,,,,,,,,,,,,,,,,,,
Nb:1506.8,Ni:886.9,Fe:565.4,V_:510.7,Mo:323.1,K :214.6,Cu:166.6,Zr:159.3,,,,,,,,,,,,,,,,,,,
Nb:797.9,Ni:443.6,S :418.1,Pd:339.5,In:301.3,Pt:283.3,Sb:275.7,Sn:268.3,Zr:234.1,Si:227.3,K :207.3,I_:167.2,W_:152.8,Fe:151.3,,,,,,,,,,,,,
Ca:4236.6,V_:518.8,Nb:227.2,K :206.6,Fe:204.1,I_:200.9,Pt:181.1,Pb:165.2,W_:161.9,Sb:161.3,In:158.2,,,,,,,,,,,,,,,,
Ca:6109.5,Zr:354.9,Ti:274.3,K :205.5,I_:169.9,,,,,,,,,,,,,,,,,,,,,,
Nb:1454.7,Ti:1049.0,Ni:772.9,I_:269.4,K :202.8,Pt:188.9,Pt:170.9,,,,,,,,,,,,,,,,,,,,
Nb:375.2,Ti:365.5,Ni:304.6,K :199.7,,,,,,,,,,,,,,,,,,,,,,,
Nb:640.2,Ti:463.5,Ni:246.5,K :197.4,W_:178.5,In:169.7,,,,,,,,,,,,,,,,,,,,,
V_:1075.8,Zr:354.9,Ti:274.3,Ni:200.3,K :196.2,Nb:156.9,,,,,,,,,,,,,,,,,,,,,
Ti:1500.6,K :194.8,,,,,,,,,,,,,,,,,,,,,,,,,
Nb:477.9,Zr:306.5,Pd:297.4,S :239.1,Ni:238.4,Ti:216.9,K :190.3,I_:158.5,,,,,,,,,,,,,,,,,,,
Ti:1117.2,Ti:742.6,In:382.9,V_:205.5,K :188.3,W_:150.8,,,,,,,,,,,,,,,,,,,,,
Ti:2120.2,Zr:282.3,W_:256.9,K :186.5,Sb:169.4,,,,,,,,,,,,,,,,,,,,,,
Zr:892.2,Fe:686.7,V_:357.7,W_:240.9,P :186.2,K :186.2,S :173.2,Si:173.2,Pd:167.5,I_:158.3,S :154.6,,,,,,,,,,,,,,,,
Zr:6177.2,Nb:1611.3,Ca:897.9,Ni:851.1,W_:358.7,Bi:205.4,Bi:185.8,K :182.6,Al:180.9,Mo:174.2,Ag:163.9,,,,,,,,,,,,,,,,
Ca:394.7,Ta:262.3,W_:224.6,Si:191.3,S :190.4,K :181.8,,,,,,,,,,,,,,,,,,,,,
Cd:8882.9,Ti:1110.1,Nb:367.2,Bi:332.2,Ta:274.5,Si:220.4,Ni:188.0,Sn:187.0,K :179.7,In:179.3,C_:179.3,W_:170.4,,,,,,,,,,,,,,,
V_:2807.7,Nb:1582.9,Ni:718.5,Ti:445.0,W_:270.0,In:200.3,Pt:186.6,Mo:183.2,Fe:181.1,K :179.3,Pd:173.0,I_:167.7,Zr:162.7,,,,,,,,,,,,,,
Ti:2569.4,Nb:1510.8,Ni:767.1,Si:248.7,W_:228.0,Ca:196.4,Pb:179.9,K :178.3,Zr:154.3,,,,,,,,,,,,,,,,,,
Bi:287.2,Cu:178.9,K :175.2,Cu:164.7,,,,,,,,,,,,,,,,,,,,,,,
Ti:408.2,K :173.3,W_:169.9,Si:165.1,,,,,,,,,,,,,,,,,,,,,,,
Ca:1925.3,K :173.3,Sb:169.6,,,,,,,,,,,,,,,,,,,,,,,,
V_:203.0,Nb:192.0,Sb:175.2,K :171.2,,,,,,,,,,,,,,,,,,,,,,,
Nb:640.2,W_:336.8,Ni:246.5,Si:219.2,K :170.0,In:169.7,Mo:169.4,Ge:150.2,,,,,,,,,,,,,,,,,,,
K :168.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi:2281.3,Al:498.7,Ta:347.8,I_:313.3,S :246.4,W_:238.0,Si:234.0,Pd:223.3,In:187.2,Ge:171.8,K :163.0,Pt:162.1,Sn:150.8,,,,,,,,,,,,,,
Ti:219.3,K :161.7,,,,,,,,,,,,,,,,,,,,,,,,,
Nb:2443.0,Ni:1221.0,Ge:748.2,Zr:392.6,W_:263.6,S :245.4,Si:224.7,I_:224.3,Ta:223.8,Sb:207.6,Fe:207.4,Pb:185.9,W_:184.0,Pd:182.6,In:181.1,Si:165.8,K :161.5,,,,,,,,,,
Zr:526.8,Si:337.8,C_:286.9,Nb:280.9,Ti:275.3,C_:215.3,Bi:212.8,Zn:186.0,Cu:175.2,K :161.0,,,,,,,,,,,,,,,,,
Mo:667.7,Nb:543.0,Pt:265.1,Zr:255.2,Si:250.2,Pd:246.7,Ni:219.4,In:206.8,I_:185.8,S :167.8,K :160.5,,,,,,,,,,,,,,,,
V_:1851.7,Ti:658.5,Si:420.5,W_:351.4,In:346.4,Sn:306.9,Si:296.1,Sb:291.5,Ta:258.6,Fe:216.8,K :159.0,Zr:156.1,,,,,,,,,,,,,,,
Ti:312.4,Nb:185.8,K :158.9,,,,,,,,,,,,,,,,,,,,,,,,
Mo:492.8,Si:316.4,Cu:283.6,S :273.4,Zr:266.1,I_:259.5,Pb:251.4,Sb:246.7,Pt:244.6,Pd:209.3,In:183.0,P :179.9,Sn:178.1,Ge:175.1,K :158.4,I_:156.7,Fe:153.3,,,,,,,,,,
Fe:539.0,Pd:261.2,W_:233.5,I_:212.3,Si:178.5,K :156.5,In:152.6,,,,,,,,,,,,,,,,,,,,
Pb:1077.7,Nb:687.3,W_:554.9,Ni:364.9,In:219.3,S :167.2,K :156.0,Si:155.0,Ta:152.9,,,,,,,,,,,,,,,,,,
