Wavelength,Intensity,Pixel
694.534,3339.0976608275732,1605.0
589.46,2724.841186214592,694.0
500.835,2516.1068511559524,6.0
691.754,1826.43526141422,1579.0
568.236,1377.5100430497205,524.0
590.077,1353.7538636269128,699.0
567.984,1195.6233215866923,522.0
522.203,1088.1576784022527,167.0
521.94,893.2566612293485,165.0
580.778,888.8353068774713,624.0
518.249,768.98389898804,137.0
542.813,704.2923222341669,325.0
517.853,684.0888839229319,134.0
504.844,669.7496381243673,36.0
578.907,551.0060055058639,609.0
510.303,493.0810076709058,77.0
510.568,489.56122243433674,79.0
508.175,483.0989347030845,61.0
507.909,479.8830109279461,59.0
566.974,477.6565509929833,514.0
583.763,427.47179690123994,648.0
571.387,412.3497391984283,549.0
584.012,405.8666374771601,650.0
545.009,387.63518874377405,342.0
553.747,358.71959810185217,410.0
675.013,354.03193266865037,1425.0
539.706,328.4201325619797,301.0
566.594,311.6895585692273,511.0
571.009,305.5199096366341,546.0
546.169,304.91067612100596,351.0
539.447,296.9100393639219,299.0
569.12,276.63812693572163,531.0
544.492,271.212515581401,338.0
502.707,256.97329999744034,20.0
553.107,254.40662808920752,405.0
509.638,250.28863979083326,72.0
656.786,248.06577336068494,1262.0
539.965,244.14662489512284,303.0
594.385,231.8111649528728,734.0
534.769,223.70980283730023,263.0
570.506,219.52064201050416,542.0
550.029,218.12697305730035,381.0
572.141,215.61552423506419,555.0
657.013,215.3490318185336,1264.0
502.039,214.58218822454728,15.0
502.974,207.28409032328454,22.0
559.872,206.60934096914207,458.0
612.734,205.54283127347753,885.0
576.657,202.78730716108475,591.0
584.508,199.681986203801,654.0
531.249,197.4315137364083,236.0
612.493,196.18664776245578,883.0
617.768,194.8029679081792,927.0
594.016,190.3210278786455,731.0
582.147,188.25480625663658,635.0
502.44,186.49124656603362,18.0
538.928,186.15913193824963,295.0
519.437,182.63948816749053,146.0
562.668,181.7567328948162,480.0
509.239,179.6807272937831,69.0
573.272,179.3365712933537,564.0
563.302,178.33966430997498,485.0
518.909,175.16066041610065,142.0
591.803,173.2920966081747,713.0
617.289,173.26532931526344,923.0
585.129,171.22858958141296,659.0
530.987,170.0204033541322,234.0
665.908,168.66421585542184,1343.0
514.812,162.99537174318448,111.0
602.331,161.69183938950846,799.0
513.885,161.52069158046106,104.0
554.259,160.95042911154815,414.0
593.279,160.51880117472047,725.0
570.758,158.95856383786304,544.0
611.41,158.8668520778806,874.0
520.36,158.44645486785157,153.0
545.911,156.48316825137226,349.0
537.89,155.9800973284764,287.0
587.977,153.6972824319264,682.0
552.594,153.39367625599516,401.0
572.895,153.0485959323014,561.0
559.618,152.39293615627048,456.0
564.19,152.35296260907398,492.0
526.8,152.21227211226142,202.0
613.094,151.44955805978043,888.0
528.896,150.9073888220646,218.0
593.648,150.87328694041753,728.0
597.205,150.49998635463453,757.0
