0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Mo:5661.1,Nb:638.1,V_:613.4,S :477.6,Ni:371.4,In:169.9,Si:167.1,Fe:152.3,I_:150.1,,,,,,,,,,,,,
Mo:5601.2,Ti:832.1,In:637.7,W_:632.9,S :608.7,Sn:608.1,Pt:558.8,Zr:537.4,I_:507.0,Pd:471.3,Sb:465.1,Fe:440.7,Fe:417.0,Si:379.9,K :358.7,Bi:263.2,Nb:244.8,P :180.6,Ta:172.1,Ca:164.4,Zn:163.2,Ni:153.7
Mo:3736.0,Nb:528.4,Ca:405.2,Fe:332.3,Pb:201.0,,,,,,,,,,,,,,,,,
Mo:2285.3,Nb:522.8,Ti:489.0,Ni:322.8,W_:168.9,,,,,,,,,,,,,,,,,
Mo:1613.4,Ti:471.5,I_:305.4,Ta:199.9,,,,,,,,,,,,,,,,,,
Zr:3082.4,K :2724.8,Mo:1459.8,Nb:530.0,Zn:516.9,Ti:483.8,In:445.2,Bi:436.5,Cr:399.8,C_:326.0,Pb:305.5,Pd:292.8,Ca:280.5,W_:272.8,Sn:212.7,Pt:192.6,,,,,,
Mo:1279.4,Ti:355.3,W_:230.2,,,,,,,,,,,,,,,,,,,
Mo:1274.3,Nb:444.7,Zr:369.9,Ni:247.9,S :181.8,,,,,,,,,,,,,,,,,
Ca:3807.1,Mo:1122.8,Nb:290.0,Pb:216.3,,,,,,,,,,,,,,,,,,
Mo:1114.9,Nb:999.8,Ni:509.5,W_:334.5,In:219.3,Ta:165.4,Ti:154.0,Sn:153.9,Pt:151.1,In:150.2,,,,,,,,,,,,
Nb:1843.2,Mo:976.8,Ni:839.9,Ta:493.3,Cu:386.0,Ca:283.3,I_:248.9,Bi:233.9,Sb:175.7,Ag:173.9,,,,,,,,,,,,
Mo:971.0,Sn:671.2,Pb:243.9,W_:223.6,Ca:169.6,Si:153.8,,,,,,,,,,,,,,,,
In:946.7,Mo:895.3,Si:763.8,Bi:420.4,Ta:399.1,Cu:194.2,,,,,,,,,,,,,,,,
Mo:791.6,Ti:640.4,W_:527.3,Sn:211.6,Si:201.5,Zr:193.5,Pd:192.3,Pb:178.1,Fe:166.1,,,,,,,,,,,,,
Mo:717.5,Ta:175.9,Sb:165.4,Si:160.7,In:158.6,Pt:151.7,Co:151.1,,,,,,,,,,,,,,,
Nb:1455.9,Si:1101.9,Ni:855.8,Mo:711.5,Pt:403.6,W_:246.1,S :239.7,In:178.5,Bi:176.9,Sn:160.9,Sb:160.1,,,,,,,,,,,
Mo:687.9,Nb:499.1,Ni:325.6,W_:303.1,V_:162.8,,,,,,,,,,,,,,,,,
Mo:667.7,Nb:543.0,Pt:265.1,Zr:255.2,Si:250.2,Pd:246.7,Ni:219.4,In:206.8,I_:185.8,S :167.8,K :160.5,,,,,,,,,,,
Nb:3797.1,Mo:643.7,K :493.1,Sn:433.8,C_:289.4,Ti:262.9,Fe:236.1,Zr:215.5,Ta:206.7,W_:182.9,Pb:180.1,Si:178.9,Pt:176.2,Pb:173.3,Zr:162.0,W_:160.2,,,,,,
Mo:582.1,W_:180.1,W_:172.8,K :153.0,In:150.4,,,,,,,,,,,,,,,,,
Mo:492.8,Si:316.4,Cu:283.6,Zr:266.1,Pb:251.4,Sb:246.7,Pt:244.6,Pd:209.3,In:183.0,Sn:178.1,Ge:175.1,K :158.4,I_:156.7,Fe:153.3,,,,,,,,
Ti:852.6,S :572.2,Mo:475.1,Fe:237.6,Ta:205.0,Ca:193.3,Ta:186.4,,,,,,,,,,,,,,,
S :506.8,Mo:471.0,Ca:211.6,Sb:184.7,Sn:150.9,,,,,,,,,,,,,,,,,
Nb:4861.6,Ni:1984.7,Zr:905.9,Al:852.3,Bi:693.7,Mo:463.4,In:215.7,W_:196.3,Pt:192.4,Si:188.1,C_:155.4,,,,,,,,,,,
Ti:2416.8,Nb:2033.5,Ni:769.7,Mo:419.5,I_:313.3,W_:238.0,Ta:209.5,Pd:186.2,Ge:171.8,Sn:170.9,Au:169.7,Pt:154.7,Sn:150.8,,,,,,,,,
Mo:401.7,Si:358.4,Zr:321.8,,,,,,,,,,,,,,,,,,,
Mo:365.3,Ti:194.5,,,,,,,,,,,,,,,,,,,,
Nb:480.2,Sb:397.7,Pd:368.5,Mo:364.5,Ta:353.9,Ni:220.1,Si:183.6,Fe:169.8,Zn:156.6,,,,,,,,,,,,,
Cu:8747.5,Nb:1427.2,Ti:1382.3,K :1088.2,Ni:700.2,Mo:351.1,Ta:303.0,Pd:259.0,V_:256.8,S :241.6,Pt:178.8,Sn:177.6,Pb:176.2,Zr:156.6,,,,,,,,
Mo:348.6,Zr:220.0,Ca:167.4,Pb:156.1,,,,,,,,,,,,,,,,,,
Au:2141.8,Nb:1884.4,Fe:1450.8,Ni:979.3,Mo:342.2,Cu:286.4,Bi:271.5,Ge:270.2,Bi:246.6,Ta:208.4,W_:186.7,Sb:179.4,Co:151.5,,,,,,,,,
Ti:3320.6,W_:945.2,V_:510.7,Mo:323.1,K :214.6,Zr:159.3,,,,,,,,,,,,,,,,
Mo:308.7,Ta:270.8,K :250.3,W_:227.0,Pb:192.0,Ti:168.3,Pd:160.0,Si:154.9,,,,,,,,,,,,,,
K :1195.6,Ti:1113.3,Ti:759.3,W_:730.0,Mo:300.4,Ca:255.6,,,,,,,,,,,,,,,,
V_:1851.7,Nb:1798.8,V_:1497.2,Ni:691.2,Si:480.4,Si:420.5,Pd:401.1,Fe:357.6,K :305.5,Mo:298.2,Zr:260.5,Ta:258.6,S :246.7,Sb:245.9,Ge:194.0,Zn:154.4,,,,,,
Mo:290.0,P :159.1,,,,,,,,,,,,,,,,,,,,
Ti:820.0,Mo:283.3,Si:236.7,Ta:175.1,V_:171.3,W_:170.5,,,,,,,,,,,,,,,,
C_:3180.6,Nb:2573.0,Ni:1265.9,Pd:809.5,Mo:263.5,Ta:161.8,Sn:152.2,,,,,,,,,,,,,,,
Ta:461.4,Mo:262.2,Sb:193.9,Si:153.7,K :153.4,S :151.8,,,,,,,,,,,,,,,,
Nb:1498.6,I_:892.1,Ni:818.0,Ti:804.1,Ta:313.7,Mo:261.2,W_:226.0,Pd:202.5,Zr:160.7,,,,,,,,,,,,,
Cu:1202.7,Nb:653.6,Ni:323.9,Mo:253.5,P :241.6,Ca:177.9,Si:158.8,Sn:158.4,,,,,,,,,,,,,,
Nb:2674.6,Ni:1202.9,Pd:1107.1,In:1074.1,Si:856.5,I_:779.4,Ge:727.9,Zr:527.0,P :283.6,Mo:248.9,C_:221.5,Ag:217.9,Cu:201.7,,,,,,,,,
Ge:2228.9,Zr:1690.9,K :1353.8,Sb:545.9,Zn:472.2,Nb:376.5,Cr:296.6,Mo:241.6,Ni:236.9,Bi:200.8,In:186.9,Pb:173.6,Pd:152.1,Ca:151.0,,,,,,,,
Ti:2810.1,Nb:1450.2,Ni:445.8,Mo:241.0,,,,,,,,,,,,,,,,,,
Nb:378.4,Pd:369.3,Ni:289.3,Sn:265.9,Mo:239.2,Si:161.1,Bi:151.9,Pb:150.5,,,,,,,,,,,,,,
S :561.7,Nb:437.9,Ni:266.4,Mo:213.9,Zr:200.3,Sn:183.0,Si:158.1,,,,,,,,,,,,,,,
Ca:403.7,Ca:394.7,Nb:384.8,Zr:375.6,Pd:290.4,Ta:262.3,S :245.9,Mo:213.6,Si:191.3,,,,,,,,,,,,,
Zr:1255.3,I_:924.5,Sb:899.2,Nb:583.4,Bi:315.0,Ni:260.4,P :257.3,Mo:208.9,,,,,,,,,,,,,,
Mo:198.8,,,,,,,,,,,,,,,,,,,,,
Nb:836.6,Ti:681.4,Ni:491.5,Pd:420.0,Fe:384.4,W_:307.2,K :244.1,Al:235.1,Sn:208.5,Mo:198.1,Fe:192.9,S :178.9,Zn:171.3,,,,,,,,,
Ti:1368.6,Pd:1196.0,Nb:842.0,Cr:781.3,Ni:407.4,Zr:337.7,P :299.6,Ta:284.2,S :281.5,Mo:196.1,W_:185.5,Si:167.1,Sb:164.5,Sn:160.9,I_:157.7,,,,,,,
Ti:810.1,Mo:194.9,,,,,,,,,,,,,,,,,,,,
Ti:506.1,S :466.6,I_:415.1,In:286.7,Pt:283.1,Fe:272.3,K :254.4,Sb:248.8,Mo:189.4,I_:179.2,,,,,,,,,,,,
Mo:186.9,,,,,,,,,,,,,,,,,,,,,
Nb:1582.9,Ni:718.5,Ti:445.0,W_:213.7,In:200.3,Pt:186.6,Mo:183.2,Fe:181.1,K :179.3,Pd:173.0,I_:167.7,Sn:153.2,,,,,,,,,,
Ti:2845.6,Nb:257.8,W_:228.4,Pd:212.3,In:212.3,I_:195.1,Zr:191.3,Mo:178.8,Ni:175.2,Si:162.8,,,,,,,,,,,,
Mo:174.7,,,,,,,,,,,,,,,,,,,,,
Zr:6177.2,Ti:4551.3,Nb:1611.3,Fe:902.8,Ni:851.1,W_:358.7,Bi:205.4,K :182.6,Al:180.9,Mo:174.2,Sn:168.5,,,,,,,,,,,
Mo:170.8,,,,,,,,,,,,,,,,,,,,,
W_:336.8,Fe:269.8,Si:219.2,Zr:192.0,K :170.0,In:169.5,Mo:169.4,Ge:150.2,,,,,,,,,,,,,,
Ca:3004.9,Ni:471.4,Fe:186.2,Zr:180.8,Mo:166.8,W_:162.9,I_:152.8,Sb:150.1,,,,,,,,,,,,,,
Ti:266.5,Mo:156.0,,,,,,,,,,,,,,,,,,,,
In:205.3,Ti:179.6,Mo:155.5,,,,,,,,,,,,,,,,,,,
Ti:5482.7,S :523.1,Nb:395.0,W_:388.4,Ta:322.3,Si:257.8,Co:245.7,In:237.3,Pd:234.9,V_:224.3,Sn:214.8,Zr:205.5,Pt:193.3,Ni:172.2,Ge:169.8,Fe:157.0,Mo:151.2,,,,,
