Wavelength,Intensity,Pixel
551.056,5661.118238121976,389.0
553.747,5601.2430723085,410.0
557.452,3735.953542195649,439.0
603.547,2285.2862123620853,809.0
569.372,1613.367480881262,533.0
589.336,1459.843727859094,693.0
579.655,1279.3945275504384,615.0
536.591,1274.3444932838993,277.0
586.244,1122.8105872105239,668.0
575.53,1114.8986976677263,582.0
524.307,976.7862261521846,183.0
563.683,971.0328486018631,488.0
517.589,895.3047073317366,132.0
565.456,791.5951981526393,502.0
528.503,717.5294957403028,215.0
506.444,711.4692110635983,48.0
526.407,687.8820707804512,199.0
593.279,667.6778364012744,725.0
510.17,643.7040288111202,76.0
572.77,582.0859517595877,560.0
520.491,492.77083189089944,154.0
547.843,475.1137722031791,364.0
561.525,471.0439005876691,471.0
508.441,463.3957503831193,63.0
515.077,419.46863601724294,113.0
587.359,401.7120616012272,677.0
662.319,365.3256156863351,1311.0
511.365,364.4927396610715,85.0
522.335,351.123067659915,168.0
556.048,348.6350773869465,428.0
523.65,342.20466350189304,178.0
501.905,323.11732922619683,14.0
509.638,308.72235563797676,72.0
567.858,300.36954819555206,521.0
571.009,298.2176681922068,546.0
531.901,290.036278021832,241.0
585.377,283.2971257137965,661.0
516.796,263.5421040355527,126.0
552.466,262.2263915432643,400.0
544.105,261.1619185227021,335.0
529.681,253.534686159157,224.0
518.513,248.88748719806972,139.0
589.954,241.55726320815256,698.0
500.299,241.04291558080126,2.0
554.77,239.20534164526293,418.0
503.509,213.88646890377788,26.0
562.414,213.63274046751576,478.0
505.111,208.94440788515953,38.0
642.93,198.82770619969648,1141.0
539.965,198.10213657398867,303.0
530.073,196.11856671848795,227.0
665.46,194.9207298770457,1339.0
553.107,189.3734232898821,405.0
724.685,186.9024476368888,1896.0
573.398,183.19124951461504,565.0
545.396,178.80781147584867,345.0
711.435,174.72315412849287,1766.0
519.569,174.16923983993115,147.0
673.799,170.75827399638337,1414.0
530.857,169.36527423055384,233.0
560.636,166.83342004665883,464.0
599.283,155.99385882668741,774.0
583.018,155.45249023729923,642.0
521.677,151.1926128452078,163.0
