Wavelength,Intensity,Pixel
534.9,6346.974376618199,264.0
508.308,4861.569924336215,62.0
535.55,4740.917769195507,269.0
566.974,4598.269110064853,514.0
532.293,4130.696392955125,244.0
510.037,3797.089150631291,75.0
527.586,3383.698114367463,208.0
516.532,3064.118684820538,124.0
525.62,2795.3329512023474,193.0
518.513,2674.591277311948,139.0
516.928,2572.988175553174,127.0
519.832,2539.3833525534155,149.0
564.696,2474.197249983167,496.0
582.396,2461.7431351131445,637.0
584.26,2446.2101029961295,652.0
513.885,2443.037009902645,104.0
528.11,2400.1160922845174,212.0
567.605,2339.512478411717,519.0
515.209,2033.4600243044897,114.0
590.447,2006.9514744466992,702.0
520.755,1972.8254534398993,156.0
666.467,1892.0383110525386,1348.0
523.781,1884.3825791270592,179.0
555.537,1874.9821624907468,424.0
524.176,1843.2022480279857,182.0
515.738,1830.0171811314885,118.0
512.559,1807.1204028569164,94.0
571.135,1798.7986171735738,547.0
510.436,1769.934348255877,78.0
668.141,1646.2192080466684,1363.0
519.437,1611.2603328995738,146.0
573.398,1582.911513284368,565.0
519.173,1520.2325986030437,144.0
563.302,1510.7831403473037,485.0
502.172,1506.7585860852746,16.0
544.234,1498.6118925188357,336.0
520.096,1496.7243487171927,151.0
598.795,1487.4180199012935,770.0
587.111,1469.1540789754404,675.0
506.311,1455.8953670061196,47.0
576.532,1454.7114817402312,590.0
500.433,1450.1710496059313,3.0
522.335,1427.2186911562994,168.0
506.977,1419.71959373569,52.0
529.026,1286.524328753735,219.0
504.31,1267.191132139882,32.0
572.016,1212.209436332531,554.0
579.156,1201.0964420844612,611.0
672.804,1197.7975815141367,1405.0
705.095,1171.2288403288999,1705.0
558.089,1139.0687865513355,444.0
536.071,1123.6006696853656,273.0
587.977,1110.3666509096502,682.0
514.547,1097.7820798008402,109.0
533.988,1050.424329123874,257.0
576.907,1048.6923753305455,593.0
575.655,999.7708994372438,583.0
546.169,913.8857278723322,351.0
599.039,906.7162510967873,772.0
522.993,874.0180863751993,173.0
737.667,859.0708541939376,2027.0
579.905,846.8791024464581,617.0
530.073,841.9713972430482,227.0
504.844,841.6997366559294,36.0
539.965,836.6453940037654,303.0
542.684,818.4989106287753,324.0
555.026,798.9129907184165,420.0
503.108,797.8979325496366,23.0
600.26,774.5389362106803,782.0
643.508,755.5606592258084,1146.0
559.109,753.687396668482,452.0
560.89,745.9539532603831,466.0
683.225,735.7364632174205,1500.0
552.851,705.5067706308487,403.0
716.369,704.5611757851793,1814.0
580.902,695.6998516937601,625.0
538.02,687.3209494522275,288.0
538.539,680.8475219245634,292.0
529.811,653.5988188196861,225.0
578.032,642.1510129048711,602.0
531.118,640.2188577014258,235.0
550.927,638.1214190459659,388.0
674.461,629.0453103428956,1420.0
654.856,602.5564749909668,1245.0
548.615,599.1337195127117,370.0
670.588,584.424718507603,1385.0
505.244,583.4284349364771,39.0
537.11,583.0958680171129,281.0
571.387,579.9112632713723,549.0
524.57,573.625095543297,185.0
513.222,573.5173839463978,99.0
593.279,543.0010262334281,725.0
559.491,530.2780119298022,455.0
589.46,530.0022640783677,694.0
557.579,528.4441742984854,440.0
603.426,522.8240685599235,808.0
563.936,509.22084550298314,490.0
507.643,499.36065032637134,57.0
526.538,499.14703941638754,200.0
568.236,498.95494330760994,524.0
517.853,492.06251433300895,134.0
590.817,488.36676045337344,705.0
511.498,480.22962840590753,86.0
593.894,477.8590430097156,730.0
541.52,458.6247593225721,315.0
536.721,444.6793606539859,278.0
503.509,437.93043560582964,26.0
543.588,436.90952955678404,331.0
625.615,436.38248658616317,993.0
551.569,434.9484290135124,393.0
556.814,434.4963476684884,434.0
544.75,424.7424457958846,340.0
596.225,423.1655403848599,749.0
699.417,404.710298542905,1651.0
547.328,397.0533422012113,360.0
521.545,395.0055676429829,162.0
549.258,389.25932673796206,375.0
570.254,386.9614817183765,540.0
562.287,384.82491012392984,477.0
554.642,378.4219645690282,417.0
574.151,377.5278527610976,571.0
589.83,376.48898078141474,697.0
550.671,375.86925079137563,386.0
584.632,375.21676653137365,655.0
622.652,371.68761198046377,968.0
509.372,367.24709734783346,70.0
643.739,361.0112699759279,1148.0
605.004,360.5545193363853,821.0
501.637,358.64903146558845,12.0
578.407,357.425998263006,605.0
569.75,356.5794117063274,536.0
565.836,350.57491340241586,505.0
615.254,345.5625200806344,906.0
508.973,342.0004347528097,67.0
546.556,340.1960249221893,354.0
606.095,333.7309700365465,830.0
692.29,331.99627641300526,1584.0
568.867,328.93507892753223,529.0
577.532,318.0764011292358,598.0
613.335,315.6648257805314,890.0
542.037,295.7894624269038,319.0
616.811,295.43444551319953,919.0
548.101,294.47033751465915,366.0
512.957,294.43690180316116,97.0
597.572,292.6529861035028,760.0
586.12,289.9532135081022,667.0
611.169,288.0837450682641,872.0
626.561,281.03649095070705,1001.0
554.387,280.90655259673304,415.0
621.82,266.3686125915915,961.0
560.381,264.01868343004116,462.0
592.418,260.2977149766766,718.0
602.696,259.06916666275833,802.0
545.266,257.8185012262493,344.0
614.655,256.70141154717567,901.0
661.869,253.8709910567909,1307.0
533.076,252.4635709271506,250.0
725.689,252.24252413628415,1906.0
629.039,251.6672063578244,1022.0
735.807,250.21530209848726,2008.0
646.851,248.94154550327994,1175.0
688.099,244.79726619141968,1545.0
553.619,244.77407930708432,409.0
607.185,238.74700243184316,839.0
585.749,234.7869687315756,664.0
604.64,232.74207173518198,818.0
539.317,229.93234975116593,298.0
552.21,227.48545588049228,398.0
559.872,227.1570082520975,458.0
691.218,223.56425911215138,1574.0
595.489,221.73515913855317,743.0
661.081,212.27817659486936,1300.0
605.368,208.35245099776648,824.0
620.868,199.5144091548009,953.0
610.687,192.42818531505327,868.0
585.129,192.04325674114534,659.0
635.141,190.781579001718,1074.0
550.414,190.50157995531117,384.0
710.298,189.57810796747503,1755.0
635.375,187.63010868639458,1076.0
633.62,186.3744676759843,1061.0
607.669,186.02939298743559,843.0
611.531,185.7646911743086,875.0
574.903,172.49376190714156,577.0
658.032,170.739934937641,1273.0
623.483,170.48547180005426,975.0
650.179,169.32700805221475,1204.0
627.978,166.02473181204095,1013.0
596.96,157.67488574308936,755.0
608.878,157.43524155729938,853.0
679.954,157.40403294966484,1470.0
612.493,156.8706420882927,883.0
574.652,153.5046686630576,575.0
663.331,150.13821378351554,1320.0
