Wavelength,Intensity,Pixel
534.9,2088.7313872196337,264.0
532.293,2083.4696004931584,244.0
508.308,1984.7177516758356,62.0
566.974,1886.4993960375868,514.0
509.904,1882.3805037189068,74.0
535.55,1716.6820442589378,269.0
516.532,1542.7092606453562,124.0
525.62,1530.0717804619212,193.0
527.586,1499.1979741493901,208.0
519.832,1283.0962382313974,149.0
516.928,1265.9046293918273,127.0
513.885,1220.9810256334795,104.0
518.513,1202.9399136355414,139.0
528.11,1183.5319618558296,212.0
564.696,1161.412500253327,496.0
567.605,1090.151316570853,519.0
555.537,1035.5325240826896,424.0
520.755,1031.6821873166073,156.0
515.738,1006.3537215797296,118.0
523.781,979.2598104555714,179.0
510.436,979.244197094542,78.0
582.396,972.3932258443465,637.0
584.26,941.4766918947994,652.0
512.559,938.1135863993918,94.0
502.172,886.8593487654302,16.0
590.447,869.3380488943722,702.0
506.311,855.7974328399796,47.0
519.437,851.0879802587078,146.0
524.176,839.887687469673,182.0
544.234,817.9540998341586,336.0
520.096,813.0731073552433,151.0
519.173,775.7028543691931,144.0
576.532,772.8995352336906,590.0
515.209,769.7322279685909,114.0
563.302,767.0783626806815,485.0
506.977,741.2675838238779,52.0
573.398,718.5459887388579,565.0
522.335,700.1565963930698,168.0
571.135,691.1814214825336,547.0
504.31,654.1394709811811,32.0
584.012,645.3635771060817,650.0
558.089,643.6238448412951,444.0
587.111,642.8557127423164,675.0
598.795,634.5805509169295,770.0
666.578,594.7953098573498,1349.0
572.016,573.2085964210146,554.0
529.026,572.9890072180033,219.0
533.988,569.6676871588779,257.0
579.156,553.345661439254,611.0
587.977,552.5738345577147,682.0
668.141,535.0797750273903,1363.0
575.655,509.4514371477644,583.0
514.547,507.6386373778878,109.0
540.095,491.4678030842715,304.0
538.539,487.1568107126632,292.0
542.684,484.33004393967303,324.0
548.615,472.17938029532525,370.0
560.763,471.3901238306971,465.0
525.226,455.57214123149515,190.0
500.433,445.7777638015309,3.0
559.109,444.19392466586805,452.0
502.974,443.6474991964369,22.0
546.298,441.46277469188,352.0
576.907,438.8165091279543,593.0
672.804,436.1259996902295,1405.0
530.073,407.4253998094482,227.0
552.851,400.04982537975957,403.0
522.993,386.3835534487025,173.0
550.927,371.4035026925312,388.0
538.02,364.8927777715794,288.0
578.032,350.0293358506269,602.0
579.905,349.94947477226015,617.0
580.902,331.0998003793479,625.0
526.538,325.6396307005707,200.0
600.26,323.903336145976,782.0
529.811,323.8681826567672,225.0
513.222,322.9930384776271,99.0
603.426,322.7814707800976,808.0
530.334,317.92601219666403,229.0
705.095,314.05840978240076,1705.0
524.57,306.5247017484535,185.0
584.632,304.58684528012554,655.0
578.407,301.55553333327316,605.0
501.637,292.14575258208697,12.0
541.649,291.2016284118781,316.0
554.642,289.31834760001675,417.0
643.508,288.29836691720266,1146.0
683.225,284.18456171282037,1500.0
605.004,276.3531874538994,821.0
543.588,273.5187400331424,331.0
503.375,266.37658697819006,25.0
542.037,263.36596103239754,319.0
505.244,260.41696125119233,39.0
557.707,257.09126282887064,441.0
536.721,247.92944608980497,278.0
504.844,246.93164138904604,36.0
562.16,246.54731879546307,476.0
531.118,246.4645947573449,235.0
556.686,246.22399166734203,433.0
517.853,244.5439954911485,134.0
593.894,238.44263504727223,730.0
674.461,237.80896205528097,1420.0
589.83,236.8629773772327,697.0
654.856,236.1305670069337,1245.0
508.973,233.57674341800293,67.0
540.743,229.4482800009141,309.0
511.498,220.08972037178955,86.0
593.279,219.3956881615013,725.0
670.588,216.61860471338537,1385.0
615.254,208.38456890959515,906.0
596.225,203.86365300794068,749.0
625.615,203.81292290880265,993.0
612.493,200.26132929883124,883.0
551.697,197.25983577912712,394.0
737.667,196.73021851631756,2027.0
622.533,195.97515070065174,967.0
547.2,191.61149437304448,359.0
605.247,190.4192603816182,823.0
650.064,189.19050827930687,1203.0
509.239,187.98688755933563,69.0
568.993,187.37847729206305,530.0
537.63,187.0839921621182,285.0
569.624,181.58405626699232,535.0
716.369,179.59387600999503,1814.0
622.177,176.74844636315356,964.0
568.236,176.41864548181593,524.0
658.032,175.93420077340716,1273.0
659.502,175.21665968597154,1286.0
545.266,175.1672269095916,344.0
552.21,174.88659306263662,398.0
521.677,172.19640689176777,163.0
699.417,171.46887722647602,1651.0
565.836,163.46169055642395,505.0
521.282,159.82842136828367,160.0
544.88,158.2594974191661,341.0
607.306,156.05227703859327,840.0
553.747,153.68274398628364,410.0
