0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Pb:4887.1,Sn:150.9,,,,,,,,,,,,,,,,,,,
Pb:1077.7,Nb:687.3,W_:554.9,Ni:364.9,In:219.3,S :167.2,K :156.0,Si:155.0,Ta:152.9,,,,,,,,,,,,
Pd:3992.1,Pt:3821.8,Sn:3551.6,In:3217.6,Fe:3191.1,I_:3158.8,Sb:3048.6,S :2890.8,Zr:2866.3,K :2516.1,Ti:2210.0,Ta:1215.8,Bi:1153.9,Ge:1143.3,Pb:745.3,Ca:473.8,,,,,
Pb:674.0,Ti:313.7,,,,,,,,,,,,,,,,,,,
Nb:1892.0,Pb:661.0,Ni:594.8,Ti:270.4,,,,,,,,,,,,,,,,,
Pb:473.4,,,,,,,,,,,,,,,,,,,,
Zr:3082.4,K :2724.8,Mo:1459.8,Nb:530.0,Zn:516.9,Ti:483.8,In:445.2,Bi:436.5,Cr:399.8,C_:326.0,Pb:305.5,Pd:292.8,Ca:280.5,W_:272.8,Sn:212.7,Pt:192.6,,,,,
Nb:1139.1,Ni:643.6,Ti:555.9,Zr:388.0,Pb:295.1,Fe:160.2,,,,,,,,,,,,,,,
Nb:753.7,Fe:668.9,V_:614.7,Ti:551.3,C_:481.3,Ni:444.2,Pb:285.9,Ta:220.9,Bi:155.3,S :153.1,,,,,,,,,,,
Nb:1972.8,Ni:1031.7,Sb:266.7,Pb:257.0,Zr:234.9,In:230.0,I_:225.0,Ta:216.3,Pt:203.5,Pd:203.4,Si:198.4,Ge:189.2,Sn:180.4,,,,,,,,
Ti:494.1,Ti:473.4,Pb:256.2,W_:193.3,S :186.8,In:185.8,Sb:176.3,Sn:162.4,,,,,,,,,,,,,
Mo:492.8,Si:316.4,Cu:283.6,Zr:266.1,Pb:251.4,Sb:246.7,Pt:244.6,Pd:209.3,In:183.0,Sn:178.1,Ge:175.1,K :158.4,I_:156.7,Fe:153.3,,,,,,,
