Wavelength,Intensity,Pixel
561.271,4887.130545514043,469.0
537.89,1077.7330474985938,287.0
500.968,745.2828262372186,7.0
666.243,674.0490829298892,1346.0
666.467,660.9651053985772,1348.0
723.376,473.3664626042606,1883.0
589.46,305.45892015095023,694.0
557.962,295.1164508233742,443.0
558.981,285.9234329779465,451.0
520.755,256.9926363495688,156.0
558.472,256.22245324718824,447.0
520.491,251.38823993650476,154.0
559.236,250.72430231598628,453.0
563.683,243.93027212734341,488.0
504.844,226.20211019035332,36.0
558.217,225.78921363569316,445.0
559.491,217.70559525570388,455.0
586.244,216.33799743529653,668.0
564.316,208.93285854334135,493.0
557.707,208.84162605739584,441.0
527.979,208.58363123164418,211.0
504.577,208.09871693090645,34.0
557.452,201.02274637923347,439.0
509.638,191.96493226298935,72.0
540.743,191.3718996019943,309.0
564.696,191.3316235544844,496.0
555.537,188.02288341432904,424.0
513.752,185.90906537893443,103.0
511.896,185.71689216377217,89.0
504.31,184.77076025983206,32.0
563.049,184.68512196550728,483.0
510.303,180.09095716250704,77.0
563.302,179.87277528144114,485.0
556.942,178.77245576186215,435.0
565.456,178.11966938896694,502.0
522.203,176.21134155225627,167.0
534.769,173.9563858225456,263.0
589.954,173.59851846820447,698.0
510.037,173.32517439552885,75.0
563.936,170.87940162360428,490.0
559.872,165.21767420322885,458.0
555.92,156.0540195035228,427.0
513.09,155.27282569494946,98.0
554.898,150.50751117649634,419.0
