0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Pd:3992.1,Pt:3821.8,Sn:3551.6,In:3217.6,Fe:3191.1,I_:3158.8,Sb:3048.6,S :2890.8,Zr:2866.3,Si:2711.9,K :2516.1,Ta:1215.8,Zn:1202.7,Bi:1153.9,Ge:1143.3,P :993.2,Pb:745.3,Ca:473.8,,,,,,
Pd:2653.5,Pt:2617.1,In:2403.1,Sn:2214.2,Zr:2081.2,I_:1994.7,Fe:1918.4,S :1786.3,Sb:1753.6,Si:1485.8,K :1377.5,Zn:727.6,Ta:699.0,Bi:645.2,P :600.1,Ge:559.3,Nb:499.0,Ca:340.3,Ni:176.4,,,,,
Ti:6114.6,Pt:1398.7,In:1351.3,Pd:1230.2,S :1076.6,Sb:1065.9,Si:843.4,Ge:796.1,Si:795.0,V_:717.9,I_:706.9,Zr:706.6,K :684.1,Bi:579.2,Nb:492.1,Bi:441.6,Zn:422.0,Zn:368.3,P :336.9,Ta:327.4,Ni:244.5,C_:234.5,C_:234.3,Cu:229.5
Cu:1202.7,Pd:1196.0,Nb:842.0,Nb:653.6,Ni:407.4,Zr:337.7,Ni:323.9,P :299.6,Ta:284.2,S :281.5,Mo:196.1,W_:185.5,Si:167.1,Sn:160.9,I_:157.7,,,,,,,,,
W_:1428.7,Sn:1216.5,Pt:1196.6,Zr:1168.3,Pd:1143.1,Si:1031.2,In:1022.9,I_:924.5,Sb:899.2,Nb:841.7,Fe:838.3,K :669.7,S :649.3,Ti:581.3,Ta:483.5,Ge:412.2,Bi:316.0,Zn:313.2,P :257.3,Ni:246.9,Pb:226.2,,,
Nb:2674.6,Sn:1238.5,Ni:1202.9,Sb:1184.4,Pd:1107.1,In:1074.1,S :1042.7,Si:856.5,I_:779.4,K :769.0,Ge:727.9,Fe:679.6,Zr:527.0,P :283.6,Al:254.6,Mo:248.9,C_:221.5,Ag:217.9,Cu:201.7,,,,,
Nb:4598.3,Ni:1886.5,W_:1264.7,Pd:1103.1,In:882.2,Pt:806.9,Ta:805.5,Sn:794.0,S :793.4,Sb:707.8,Fe:683.3,I_:570.4,Si:518.9,K :477.7,Zn:270.9,Ge:215.2,P :200.4,Bi:182.4,,,,,,
Pd:852.6,Si:564.5,W_:562.7,In:546.0,Pt:518.5,Sn:428.4,Fe:400.6,Sn:400.4,Sb:327.9,Zr:254.6,K :248.1,Ti:213.1,Zr:209.3,Ta:166.3,,,,,,,,,,
C_:3180.6,Nb:2573.0,Ni:1265.9,Pd:809.5,Mo:263.5,Ta:161.8,Sn:152.2,,,,,,,,,,,,,,,,,
V_:1330.5,Pd:788.3,Ti:743.9,P :170.5,Ge:157.2,,,,,,,,,,,,,,,,,,,
I_:1032.1,W_:873.2,Pd:702.2,Pt:668.3,Nb:579.9,In:513.2,Fe:513.1,Sn:493.4,Si:484.2,S :432.2,Zr:415.3,K :412.3,Sb:349.9,Ge:200.8,Zn:198.8,P :167.3,,,,,,,,
Nb:1798.8,V_:1497.2,I_:1032.1,W_:873.2,Ni:691.2,Pt:668.3,Pd:618.7,Nb:579.9,In:564.2,Fe:513.1,Sn:493.4,Si:480.4,S :474.1,Zr:415.3,K :412.3,Sb:349.9,Ge:200.8,Zn:189.3,P :153.1,,,,,
Pd:593.0,Zr:525.4,Ti:506.1,Sn:467.5,S :466.6,In:452.8,I_:415.1,Si:346.0,Sb:311.6,Fe:272.3,Zn:202.2,,,,,,,,,,,,,
Ti:884.7,W_:775.7,Pd:541.7,Pt:483.6,In:456.8,S :395.1,Si:379.0,Fe:352.0,Zr:348.4,Sn:348.2,Sb:340.7,I_:298.5,Bi:171.8,,,,,,,,,,,
Pd:516.5,Ta:513.0,Bi:366.3,Sn:236.5,Sb:232.3,S :214.0,Si:191.7,Pt:181.5,Ge:170.6,I_:168.0,Zn:154.0,,,,,,,,,,,,,
Ti:552.3,Pd:496.9,Ta:411.5,S :318.6,Fe:258.7,I_:257.1,Sb:255.4,K :231.8,,,,,,,,,,,,,,,,
Mo:5601.2,Ti:832.1,In:637.7,W_:632.9,S :608.7,Sn:608.1,Zr:537.4,I_:507.0,Pd:471.3,Sb:465.1,Fe:417.0,I_:406.0,Si:379.9,K :358.7,Bi:263.2,Ta:172.1,Ca:164.4,Zn:163.2,Ni:153.7,,,,,
Nb:1884.4,Fe:1450.8,V_:1134.7,Ni:979.3,Pd:443.4,Cu:372.4,Cu:286.4,Bi:275.6,Bi:271.5,Ca:199.4,Si:195.6,W_:186.7,I_:177.9,Co:170.2,S :165.2,Ag:163.4,Zr:151.7,Sb:150.1,,,,,,
Nb:836.6,Ti:681.4,Ni:491.5,Pd:420.0,Fe:384.4,W_:307.2,K :244.1,Al:235.1,Sn:208.5,Mo:198.1,Fe:192.9,S :178.9,Zn:171.3,,,,,,,,,,,
V_:1851.7,Nb:1798.8,V_:1497.2,Ni:691.2,Si:480.4,Si:420.5,Pd:401.1,Fe:357.6,K :305.5,Mo:298.2,Zr:260.5,Ta:258.6,S :246.7,Sb:245.9,Ge:194.0,Zn:154.4,,,,,,,,
Pd:377.4,W_:358.1,Sb:289.1,Pt:273.8,Si:263.9,Sn:250.4,Fe:244.1,S :227.2,In:212.8,Ta:212.0,I_:200.0,Ti:170.4,K :150.9,,,,,,,,,,,
Nb:378.4,Pd:369.3,Ni:289.3,Sn:265.9,Mo:239.2,Si:161.1,Bi:151.9,Pb:150.5,,,,,,,,,,,,,,,,
Zr:3282.5,Nb:480.2,Sb:477.3,Sb:397.7,Pd:368.5,Mo:364.5,Ta:353.9,I_:228.6,Sn:224.6,Ni:220.1,W_:161.9,Zn:156.6,,,,,,,,,,,,
Nb:705.5,Ni:400.0,Pd:364.1,Sb:248.8,I_:179.2,Sn:174.3,I_:169.6,Si:160.9,,,,,,,,,,,,,,,,
I_:1606.3,In:395.3,Sn:383.6,Pt:356.5,Pd:351.3,Si:340.1,Sb:329.3,Fe:272.1,K :218.1,Zr:205.0,S :169.8,,,,,,,,,,,,,
Ti:3083.1,Ni:443.6,Pd:339.5,In:301.3,Pt:283.3,In:281.9,Sb:275.7,Sb:272.8,Sn:272.6,Sn:268.3,K :257.0,Si:227.3,K :207.3,I_:167.2,I_:154.2,W_:152.8,Fe:151.3,,,,,,,
Ti:558.2,Pd:339.0,,,,,,,,,,,,,,,,,,,,,,
Ti:721.3,Nb:356.6,Pd:302.3,S :155.7,,,,,,,,,,,,,,,,,,,,
Nb:477.9,Zr:306.5,Pd:297.4,S :239.1,Ni:238.4,Ti:216.9,K :190.3,I_:158.5,,,,,,,,,,,,,,,,
Zr:3082.4,K :2724.8,Mo:1459.8,Nb:530.0,Zn:516.9,Ti:483.8,In:445.2,Bi:436.5,Cr:399.8,C_:326.0,Pb:305.5,Pd:292.8,Ca:280.5,W_:272.8,Sn:212.7,Pt:192.6,,,,,,,,
