Wavelength,Intensity,Pixel
500.835,3992.054168491766,6.0
568.236,2653.528136297933,524.0
517.985,1230.2041470867152,135.0
529.942,1196.0030930291978,226.0
504.844,1143.1087464150187,36.0
518.381,1107.0986795186018,138.0
567.1,1103.1142542903453,515.0
656.786,852.5732705201872,1262.0
516.796,809.5236452140871,126.0
567.353,788.3054023289369,517.0
571.513,702.1901523868273,550.0
571.261,618.6565866528344,548.0
553.363,593.037659188114,407.0
594.63,541.6705462560722,736.0
512.161,516.4544637552281,91.0
594.262,496.92943541461864,733.0
553.875,471.30113038154377,411.0
523.913,443.3783067852901,180.0
539.965,419.9891853690533,303.0
571.009,401.08748009310784,546.0
593.525,377.404488780121,727.0
554.77,369.33062839140257,418.0
511.498,368.49278255108584,86.0
552.851,364.1278122490621,403.0
550.029,351.2867475630701,381.0
502.841,339.5365745612107,21.0
678.859,338.95301869184755,1460.0
569.876,302.3162545341456,537.0
594.016,297.39325242630366,731.0
589.46,292.8208099145686,694.0
562.287,290.36448591327644,477.0
521.15,278.6532571554353,159.0
564.696,274.36474629177246,496.0
545.911,261.1677607810734,349.0
522.203,258.9716765034027,167.0
521.94,257.73481774096945,165.0
566.215,252.47555227192424,508.0
564.443,248.5650443602708,494.0
593.279,246.65293910421678,725.0
546.169,236.19229878242368,351.0
521.545,234.92669755516454,162.0
526.013,232.5279971553291,196.0
648.574,225.06280458829224,1190.0
526.8,224.36305276120856,202.0
514.812,223.25951285406063,111.0
515.606,221.9034840638069,117.0
548.487,219.91272338748786,369.0
522.729,218.82144260404039,171.0
570.506,215.30504753477817,542.0
545.396,212.32879537258486,345.0
514.415,211.96638424924186,108.0
575.029,210.64965118021155,578.0
520.491,209.261859223765,154.0
661.644,206.56199016931714,1305.0
520.887,203.39411079702768,157.0
544.105,202.48416296115647,335.0
555.154,201.67102522413097,421.0
531.51,199.02919064642174,238.0
737.276,198.72899733692395,2023.0
548.101,197.79931488551665,366.0
565.962,194.91569729667117,506.0
565.33,192.27078193476518,501.0
548.872,191.93955551997715,372.0
577.282,189.9018297836401,596.0
532.423,189.03616556561428,245.0
574.025,186.62730982457015,570.0
515.209,186.20611050680236,114.0
519.964,185.39018393590231,150.0
661.419,184.31903626303574,1303.0
514.017,182.64462552183704,105.0
557.197,181.8544866383645,437.0
543.072,180.16002318450046,327.0
532.684,178.82948082768598,247.0
545.653,177.5576913998084,347.0
532.163,176.90683031081608,243.0
534.769,176.4430096376036,263.0
527.455,175.6232428913181,207.0
573.272,172.96104893519714,564.0
648.345,170.4492378431387,1188.0
507.776,168.26722903879545,58.0
538.928,167.54225750114438,295.0
525.226,167.5253427387379,190.0
552.082,166.75579291876784,397.0
528.11,165.48899110918865,212.0
648.918,164.7759218934816,1193.0
522.993,163.41053529764213,173.0
549.387,162.47286661003272,376.0
578.782,162.3912735959002,608.0
525.489,160.36330118008937,192.0
509.505,160.02640340187372,71.0
561.017,159.9054125810835,467.0
661.081,156.9852575510654,1300.0
716.164,155.62000149694768,1812.0
525.751,152.62462819698885,194.0
590.077,152.0549485653546,699.0
601.966,151.39968608484423,796.0
578.407,150.64634832919455,605.0
