0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Pd:3992.1,Pt:3821.8,Sn:3551.6,In:3217.6,Fe:3191.1,I_:3158.8,Sb:3048.6,S :2890.8,Zr:2866.3,Si:2711.9,K :2516.1,Ta:1215.8,Zn:1202.7,Bi:1153.9,Ge:1143.3,P :993.2,Pb:745.3,Ca:473.8,,,,
Pd:2653.5,Pt:2617.1,In:2403.1,Sn:2214.2,Zr:2081.2,I_:1994.7,Fe:1918.4,S :1786.3,Sb:1753.6,Si:1485.8,K :1377.5,Zn:727.6,Ta:699.0,Bi:645.2,P :600.1,Ge:559.3,Nb:499.0,Ca:340.3,Ni:176.4,,,
Pt:1398.7,In:1351.3,Sn:1238.5,Pd:1230.2,Sb:1184.4,S :1076.6,Sb:1065.9,S :1042.7,Si:843.4,Ge:796.1,K :769.0,V_:717.9,I_:706.9,Zr:706.6,Fe:679.6,Bi:579.2,Zn:422.0,P :336.9,Ta:327.4,Al:254.6,C_:234.5,Cu:229.5
W_:1428.7,Sn:1216.5,Pt:1196.6,Zr:1168.3,Pd:1143.1,Si:1031.2,In:1022.9,I_:924.5,Sb:899.2,Nb:841.7,Fe:838.3,K :669.7,S :649.3,Ti:581.3,Ta:483.5,Ge:412.2,Bi:316.0,Zn:313.2,P :257.3,Ni:246.9,Pb:226.2,
Pt:929.5,Fe:269.8,Zr:196.8,Zr:192.0,Fe:186.8,In:169.5,,,,,,,,,,,,,,,,
Nb:4598.3,Ni:1886.5,W_:1264.7,Pd:1103.1,Zr:977.1,In:882.2,Pt:806.9,Ta:805.5,Sn:794.0,S :793.4,Sb:707.8,Fe:683.3,I_:570.4,Si:518.9,K :477.7,Zn:270.9,Ge:215.2,P :200.4,Bi:182.4,Bi:153.9,,
I_:1032.1,W_:873.2,Pd:702.2,Pt:668.3,Pd:618.7,Nb:579.9,In:564.2,In:513.2,Fe:513.1,Sn:493.4,Si:484.2,S :474.1,S :432.2,Zr:415.3,K :412.3,Sb:349.9,Ge:200.8,Zn:198.8,Zn:189.3,P :167.3,P :153.1,
Mo:5601.2,Ti:832.1,In:637.7,W_:632.9,S :608.7,Sn:608.1,Pt:558.8,I_:507.0,Sn:467.5,Sb:465.1,In:452.8,Fe:440.7,Si:379.9,K :358.7,Nb:244.8,Zn:202.2,P :180.6,Ni:153.7,,,,
Pd:852.6,Si:564.5,W_:562.7,In:546.0,Pt:518.5,Sn:428.4,Fe:400.6,Sb:327.9,Zr:254.6,K :248.1,Ta:166.3,,,,,,,,,,,
Ti:884.7,W_:775.7,Pd:541.7,Pt:483.6,In:456.8,Ta:411.5,S :395.1,Si:379.0,Fe:352.0,Zr:348.4,Sn:348.2,Sb:340.7,I_:257.1,Sb:255.4,K :231.8,Bi:171.8,,,,,,
Zr:732.9,Ti:494.5,Pt:427.0,W_:283.7,Fe:228.4,Pd:219.9,Sb:171.5,Si:156.1,,,,,,,,,,,,,,
Nb:1455.9,Si:1101.9,Ni:855.8,Mo:711.5,Pt:403.6,W_:246.1,S :239.7,In:178.5,Bi:176.9,Sn:160.9,Sb:160.1,,,,,,,,,,,
I_:1606.3,W_:694.5,In:395.3,Pt:356.5,Pd:351.3,Si:340.1,Sb:329.3,Sn:290.8,Fe:272.1,K :218.1,S :169.8,,,,,,,,,,,
Ti:494.5,Pt:352.2,Nb:294.5,Fe:245.1,Sn:241.3,Pd:197.8,S :197.0,Ta:186.4,In:165.0,,,,,,,,,,,,,
Zr:756.3,Ta:581.0,Ta:360.9,Pt:293.9,In:190.9,Sn:186.1,In:177.1,W_:173.8,S :169.3,Fe:159.7,,,,,,,,,,,,
Ag:6718.5,Bi:4512.6,Cr:1707.4,S :349.6,S :326.6,Si:295.5,Pt:292.0,Pd:278.7,Sn:247.5,W_:236.5,Ge:197.7,Fe:192.2,I_:180.6,V_:171.1,Ni:159.8,,,,,,,
Ti:3083.1,Ni:443.6,Pd:339.5,In:301.3,Pt:283.3,In:281.9,Sb:275.7,Sb:272.8,Sn:272.6,Sn:268.3,K :257.0,Si:227.3,K :207.3,I_:167.2,I_:154.2,W_:152.8,Fe:151.3,,,,,
Ti:506.1,S :466.6,I_:415.1,In:286.7,Pt:283.1,Fe:272.3,K :254.4,Sb:248.8,Mo:189.4,I_:179.2,,,,,,,,,,,,
Pd:377.4,W_:358.1,Sb:289.1,Pt:273.8,Si:263.9,Sn:250.4,Fe:244.1,S :227.2,In:212.8,Ta:212.0,I_:200.0,Ti:170.4,S :167.5,In:167.2,Zr:156.3,K :150.9,,,,,,
Mo:667.7,Nb:543.0,Pt:265.1,Zr:255.2,Si:250.2,Pd:246.7,Ni:219.4,In:206.8,I_:185.8,S :167.8,K :160.5,,,,,,,,,,,
Cu:819.4,W_:351.4,Sn:306.9,Si:296.1,Ta:271.6,Pt:263.2,K :219.5,Pd:215.3,I_:197.8,In:163.2,Zr:156.1,,,,,,,,,,,
Ti:4003.4,C_:3180.6,Nb:2573.0,Ni:1265.9,W_:580.4,Pt:260.9,Sb:252.7,Bi:198.3,Zr:172.4,,,,,,,,,,,,,
Ti:3468.9,V_:313.2,Pt:250.8,Ge:204.8,W_:200.5,Bi:176.9,S :176.1,Sb:150.6,,,,,,,,,,,,,,
Mo:492.8,Si:316.4,Cu:283.6,S :273.4,Zr:266.1,I_:259.5,Pb:251.4,Sb:246.7,Pt:244.6,Pd:209.3,In:183.0,P :179.9,Sn:178.1,Ge:175.1,K :158.4,I_:156.7,Fe:153.3,,,,,
Ti:843.0,K :328.4,K :296.9,Pt:242.7,S :201.3,W_:200.8,Sn:184.0,Cu:164.3,,,,,,,,,,,,,,
Ta:716.8,S :646.8,Ti:640.4,W_:527.3,V_:493.2,Pt:242.2,Zr:221.0,Sn:211.6,Si:201.5,Zr:193.5,Pd:192.3,Si:189.8,Fe:179.4,Fe:166.1,Bi:151.0,,,,,,,
Pt:235.0,,,,,,,,,,,,,,,,,,,,,
S :1944.4,W_:233.5,W_:228.4,Pt:222.6,In:203.5,Pd:177.6,Si:159.1,,,,,,,,,,,,,,,
W_:309.9,Ti:253.3,Fe:227.2,Pt:217.1,,,,,,,,,,,,,,,,,,
Nb:1875.0,Ni:1035.5,Ti:248.1,W_:242.5,In:227.7,Pt:216.4,Pb:188.0,I_:161.7,,,,,,,,,,,,,,
Ta:454.9,W_:251.7,Pt:209.2,Pd:206.6,Pd:184.3,Ti:179.7,W_:172.7,Sb:160.4,,,,,,,,,,,,,,
I_:1486.2,S :618.5,Fe:530.0,Ta:324.3,K :223.7,Ti:213.7,Pt:207.6,Co:206.0,W_:192.2,P :189.5,Pd:176.4,Pb:174.0,Si:154.5,,,,,,,,,
Cu:5098.6,Nb:1830.0,Ti:1612.7,Ni:1006.4,S :297.5,Fe:291.5,In:281.2,Sn:253.0,Pd:221.9,Pt:206.7,Ge:172.9,Zr:158.8,,,,,,,,,,
