Wavelength,Intensity,Pixel
500.835,3821.82205988283,6.0
568.236,2617.0608168451727,524.0
518.117,1398.7369205384712,136.0
504.844,1196.6338482450328,36.0
530.596,929.4689061284789,231.0
566.974,806.9414606923601,514.0
571.387,668.2612027281175,549.0
553.619,558.8367811822591,409.0
656.673,518.5263326754084,1261.0
594.508,483.6025450587822,735.0
548.358,426.96705452539027,368.0
506.444,403.61370022256597,48.0
549.9,356.52941704489695,380.0
548.101,352.2022878690377,366.0
516.003,293.9416929893696,120.0
521.15,291.9818235479379,159.0
502.841,283.3393065129785,21.0
553.107,283.066742856523,405.0
593.648,273.76718956837703,728.0
593.279,265.06608736438466,725.0
570.506,263.21315697037335,542.0
517.06,260.8928756110763,128.0
506.71,250.76418705411106,50.0
520.36,244.55236707945005,153.0
539.576,242.66474266430214,300.0
565.203,242.1611282227932,500.0
676.444,235.02026750829418,1438.0
545.653,222.59681041850308,347.0
657.24,217.12339212979168,1266.0
555.409,216.4307051299238,423.0
661.532,209.16384710154716,1304.0
534.639,207.5560154198556,262.0
515.606,206.73468369747206,117.0
628.804,206.3094253901886,1020.0
520.887,203.5350348504162,157.0
503.242,203.30946432348537,24.0
577.032,194.81427656670166,594.0
521.808,193.336034322484,164.0
589.46,192.6046700095444,694.0
508.308,192.42672896966542,62.0
527.717,190.7988627770419,209.0
576.782,188.90152395982113,592.0
573.272,186.553315096814,564.0
570.254,186.45809518170608,540.0
523.124,185.08465047964455,174.0
526.013,184.48999651259874,196.0
574.652,182.96898948541457,575.0
512.029,181.5394999285145,90.0
559.872,181.12211760080845,458.0
507.376,179.42935321989808,55.0
522.203,178.80815231920133,167.0
527.979,177.24572956904012,211.0
510.303,176.1962099148668,77.0
661.307,174.47350843396998,1302.0
546.427,174.2061400323746,353.0
528.241,173.54065760544108,213.0
525.226,171.47123287278646,190.0
576.532,170.90384652422472,590.0
507.909,170.51553971088197,59.0
584.881,170.3081914886452,657.0
564.316,168.39009149301455,493.0
551.697,167.4363593856324,394.0
648.804,166.58141130175682,1192.0
648.574,166.38847782332505,1190.0
550.671,164.8956341003186,386.0
533.206,163.01118280456376,251.0
575.029,162.17741236321126,578.0
514.812,162.09159712234032,111.0
564.696,161.46190091001517,496.0
526.8,160.9596446089472,202.0
505.777,158.84362000751662,43.0
577.407,157.90663835769556,597.0
532.423,155.64322254627587,245.0
515.209,154.7474898564269,114.0
599.039,153.71987181590202,772.0
596.96,152.98223669648542,755.0
528.634,151.74135657142506,216.0
575.405,151.05861535752229,581.0
