0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Pd:3992.1,Pt:3821.8,Sn:3551.6,In:3217.6,Fe:3191.1,I_:3158.8,Sb:3048.6,S :2890.8,Zr:2866.3,Si:2711.9,K :2516.1,Ta:1215.8,Zn:1202.7,Bi:1153.9,Ge:1143.3,P :993.2,Pb:745.3,Ca:473.8,,,,,,,,,
S :1944.4,W_:233.5,W_:228.4,Pt:222.6,In:203.5,Pd:177.6,Si:159.1,,,,,,,,,,,,,,,,,,,,
Pd:2653.5,Pt:2617.1,In:2403.1,Sn:2214.2,Zr:2081.2,I_:1994.7,Fe:1918.4,S :1786.3,Sb:1753.6,Si:1485.8,K :1377.5,Zn:727.6,Ta:699.0,Bi:645.2,P :600.1,Ge:559.3,Nb:499.0,Ca:340.3,Ni:176.4,,,,,,,,
S :1279.0,Ti:879.6,Fe:555.8,Nb:436.9,Ni:273.5,W_:161.6,,,,,,,,,,,,,,,,,,,,,
S :1079.6,Sb:927.7,Ti:589.4,In:375.0,Si:324.9,Pd:248.6,Zr:247.7,Pb:208.9,Ta:205.3,Pt:168.4,W_:163.4,,,,,,,,,,,,,,,,
Ti:6114.6,Pt:1398.7,In:1351.3,Pd:1230.2,S :1076.6,Sb:1065.9,Si:843.4,Ge:796.1,Si:795.0,V_:717.9,I_:706.9,Zr:706.6,K :684.1,Bi:579.2,Nb:492.1,Bi:441.6,Zn:422.0,Zn:368.3,P :336.9,Ta:327.4,Ni:244.5,C_:234.5,C_:234.3,Cu:229.5,,,
Pt:1398.7,Sn:1238.5,Sb:1184.4,Pd:1107.1,In:1074.1,S :1042.7,Si:856.5,Si:843.4,Ge:796.1,I_:779.4,K :769.0,Ge:727.9,V_:717.9,I_:706.9,Zr:706.6,Fe:679.6,Bi:579.2,Zr:527.0,Zn:422.0,P :336.9,Ta:327.4,P :283.6,Al:254.6,C_:234.5,C_:221.5,Ag:217.9,Cu:201.7
Nb:4130.7,Ni:2083.5,S :876.6,Ta:220.0,W_:209.2,In:199.9,Pd:189.0,I_:167.6,Pt:155.6,,,,,,,,,,,,,,,,,,
Ti:1323.3,S :832.0,Nb:746.0,V_:605.8,Sn:240.5,Pd:159.9,,,,,,,,,,,,,,,,,,,,,
Nb:4598.3,Ni:1886.5,W_:1264.7,Pd:1103.1,Zr:977.1,In:882.2,Pt:806.9,Ta:805.5,Sn:794.0,S :793.4,Sb:707.8,Fe:683.3,I_:570.4,Si:518.9,K :477.7,Zn:270.9,Ge:215.2,P :200.4,Bi:182.4,Bi:153.9,,,,,,,
Ti:2385.1,Zr:977.1,S :660.7,K :311.7,P :161.7,Bi:153.9,Bi:153.4,,,,,,,,,,,,,,,,,,,,
W_:1428.7,Sn:1216.5,Pt:1196.6,Zr:1168.3,Pd:1143.1,Si:1031.2,In:1022.9,I_:924.5,Sb:899.2,Nb:841.7,Fe:838.3,K :669.7,S :649.3,Ti:581.3,Ta:483.5,Ge:412.2,Bi:316.0,Zn:313.2,P :257.3,Ni:246.9,Pb:226.2,,,,,,
Ta:716.8,S :646.8,V_:493.2,Pt:242.2,Zr:221.0,Si:189.8,Fe:179.4,Bi:151.0,,,,,,,,,,,,,,,,,,,
Nb:6347.0,Ni:2088.7,I_:1486.2,S :618.5,Ta:324.3,K :223.7,Ti:213.7,Pt:207.6,Co:206.0,W_:192.2,P :189.5,In:184.9,Pd:176.4,Pb:174.0,Si:154.5,,,,,,,,,,,,
Mo:5601.2,Ti:832.1,In:637.7,W_:632.9,S :608.7,Sn:608.1,Pt:558.8,Zr:537.4,I_:507.0,Pd:471.3,Sb:465.1,Fe:440.7,Fe:417.0,Si:379.9,K :358.7,Bi:263.2,Nb:244.8,P :180.6,Ta:172.1,Ca:164.4,Zn:163.2,Ni:153.7,,,,,
Ti:852.6,Ti:765.6,S :572.2,Mo:475.1,W_:238.2,Fe:237.6,Ta:205.0,V_:200.7,Ca:193.3,,,,,,,,,,,,,,,,,,
S :561.7,Nb:437.9,Mo:213.9,Sn:183.0,,,,,,,,,,,,,,,,,,,,,,,
