Wavelength,Intensity,Pixel
500.835,2890.7564897379434,6.0
545.653,1944.408401833949,347.0
568.236,1786.3311933989407,524.0
543.459,1279.0476494078066,330.0
564.443,1079.623865206433,494.0
517.985,1076.5592258553625,135.0
518.249,1042.6963376422646,137.0
532.423,876.5789063271623,245.0
561.017,832.0105439321287,467.0
566.974,793.4247844420297,514.0
566.721,660.7082514746035,512.0
504.844,649.2703224553607,36.0
565.076,646.7891339316302,499.0
534.769,618.5111917755839,263.0
553.747,608.6802913443953,410.0
547.715,572.2066942503006,363.0
503.642,561.7016789443678,27.0
521.677,523.1262017672143,163.0
561.525,506.84959525915474,471.0
551.184,477.6103151264251,390.0
571.261,474.1118429449725,548.0
553.235,466.63698601461874,406.0
551.441,438.1532683537371,392.0
571.513,432.24152291053997,550.0
503.108,418.13804366793556,23.0
534.379,397.283269858317,260.0
594.508,395.086088771096,735.0
521.94,374.11836205362306,165.0
521.282,349.63875619608007,160.0
556.942,345.929536028023,435.0
521.018,326.6105123621892,158.0
594.262,318.5669324966402,733.0
515.606,297.5257763954105,117.0
594.876,288.70171784653576,738.0
530.073,281.51710115156493,227.0
547.328,277.02621568456743,360.0
562.16,274.59745022347215,476.0
520.228,273.40754863547045,152.0
556.686,262.20765763745476,433.0
522.861,250.89093363059328,172.0
552.21,248.8443659661898,398.0
571.009,246.70971674901375,546.0
514.68,246.4257034722359,110.0
562.414,245.88613263030402,478.0
513.752,245.39583085910635,103.0
522.466,241.5654877364086,169.0
506.444,239.67867488734555,48.0
594.016,239.08402951490643,731.0
513.222,236.66403176824315,99.0
593.525,227.16692500097452,727.0
514.415,226.15905844611734,108.0
510.568,224.63191032691248,79.0
510.834,221.88261303324543,81.0
507.376,217.62938877887427,55.0
574.652,215.8199097896586,575.0
559.363,215.7151822134474,454.0
537.63,214.73755714269282,285.0
512.161,214.03346886088548,91.0
506.977,211.38075379261682,52.0
526.669,205.6361196859234,201.0
575.029,205.24706068114574,578.0
537.37,204.7737757675959,283.0
538.279,203.5365340414719,290.0
539.576,201.26154469731773,300.0
548.101,197.03149183340247,366.0
551.825,196.6451579358727,395.0
531.51,192.65710404087076,238.0
562.668,190.4162716770752,480.0
536.201,190.0046029141413,274.0
529.419,187.77650635638383,222.0
558.344,186.84247033454812,446.0
536.591,181.82460927868306,277.0
539.965,178.90138874456716,303.0
539.317,177.966136015375,298.0
506.71,176.08178402923295,50.0
580.902,175.73792472370496,625.0
555.665,173.49779768722692,425.0
538.798,173.24829898043754,294.0
505.777,173.19118674504352,43.0
601.235,171.1052226151769,790.0
523.387,170.71994271529184,176.0
660.856,170.41025140115198,1298.0
595.612,170.2560420901973,744.0
533.727,170.17761335641808,255.0
550.029,169.83265211590333,381.0
516.135,169.3457827545426,121.0
519.173,168.52727144557502,144.0
507.776,167.91915298458116,58.0
614.895,167.8085534980155,903.0
593.279,167.806231198565,725.0
593.771,167.54810959933093,729.0
537.89,167.22327273377869,287.0
523.913,165.16654240779644,180.0
648.918,165.07510156789067,1193.0
585.749,164.16373591713182,664.0
509.904,164.09279832635002,74.0
595.367,162.722283971485,742.0
596.225,162.6853691500719,749.0
661.081,161.41250174322067,1300.0
583.515,160.57679581777393,646.0
595.857,158.03770292135232,746.0
549.387,156.93902690623145,376.0
528.765,155.70345940328116,217.0
569.75,155.6591926839501,536.0
661.307,155.13323996904637,1302.0
601.844,154.64935219329345,795.0
539.058,154.6158928028126,296.0
600.869,153.5839692688951,787.0
558.981,153.09997109059532,451.0
542.425,152.97080728553192,322.0
592.91,152.63039622489669,722.0
552.594,151.7502323591416,401.0
541.778,151.65873085890598,317.0
606.216,151.5771419451312,831.0
573.774,151.37650178945023,568.0
605.125,150.67621177366982,822.0
