Wavelength,Intensity,Pixel
500.835,3048.5569430100913,6.0
600.869,2852.818235510873,787.0
613.455,2192.222723534491,891.0
568.236,1753.649574154777,524.0
557.197,1695.4228424839966,437.0
608.274,1208.889132301235,848.0
518.249,1184.4204917917596,137.0
517.985,1065.9196311691412,135.0
564.316,927.6894703551716,493.0
504.977,899.2180923061787,37.0
566.974,707.8289061839259,514.0
591.433,590.7622770502257,710.0
538.539,585.2385178203804,292.0
589.954,545.9267574782971,698.0
591.187,507.61935042714504,708.0
546.813,488.5819656115709,356.0
511.631,477.2702902185483,87.0
553.747,465.11055384974134,410.0
514.547,461.8980099309738,109.0
563.936,435.3495731805724,490.0
511.896,427.8729035349061,89.0
511.365,397.7356434032263,85.0
700.051,372.50032577250204,1657.0
571.387,349.8630345550491,549.0
594.63,340.7241611798354,736.0
549.9,329.2841405857944,380.0
656.673,327.89106138732495,1261.0
553.363,311.61447178039816,407.0
678.202,296.2314392904,1454.0
570.758,291.5075208633025,544.0
593.033,290.5334082345089,723.0
593.525,289.0927390021661,727.0
568.993,281.7264281052103,530.0
502.974,275.6547223567395,22.0
502.707,272.84890007537615,20.0
520.887,266.6628365000033,157.0
521.414,266.5004866490326,161.0
681.046,260.27496248230887,1480.0
594.385,255.38202293114773,734.0
517.193,252.7477356418167,129.0
552.979,248.8489231445492,404.0
520.36,246.70942854371606,153.0
571.009,245.9310235308003,546.0
550.286,235.914139392763,383.0
512.161,232.2616013679708,91.0
513.62,231.04484237162615,102.0
550.671,222.1705852089226,386.0
554.514,222.0839294210955,416.0
610.928,217.54482912558296,870.0
537.63,217.2338251459032,285.0
513.355,215.27525203474943,100.0
598.428,212.0279436029159,767.0
610.446,208.3288294858803,866.0
513.885,207.60999518579956,104.0
610.205,206.75006817030862,864.0
605.489,205.57143000292763,825.0
524.57,203.47768193642514,185.0
592.664,201.38816712877815,720.0
605.732,195.66849184080866,827.0
552.594,193.92392921462124,401.0
535.68,191.14823663830794,270.0
532.684,185.70588059080274,247.0
561.525,184.65050268563027,471.0
602.818,183.8655118183451,803.0
602.574,180.8825375086667,801.0
506.044,180.7049386333365,45.0
523.518,179.36901327285887,177.0
540.484,179.0050728887336,307.0
558.472,176.31324262300222,447.0
524.307,175.67148876533793,183.0
585.129,175.20673104491834,659.0
611.169,172.38296902030606,872.0
548.487,171.5233162490722,369.0
508.973,170.2280622706512,67.0
536.981,170.1200877893125,280.0
548.744,169.80372432643344,371.0
617.289,169.58733283161473,923.0
502.306,169.39814141954412,17.0
609.602,168.77681382134233,859.0
513.09,167.10556091133367,98.0
546.298,165.79979616170021,352.0
528.503,165.42963596610207,215.0
530.203,164.49071057682522,228.0
559.872,161.2806212229807,458.0
650.751,160.8438887935863,1209.0
661.419,160.36973966755704,1303.0
648.689,160.3405189593209,1191.0
552.21,160.28944805235187,398.0
506.444,160.13327343646233,48.0
559.363,158.4452568924571,454.0
598.917,156.86604167626092,771.0
616.332,156.22381048782063,915.0
544.75,155.81298685382535,340.0
603.182,152.7751299674146,806.0
525.226,151.795587844711,190.0
506.71,150.614758040163,50.0
527.193,150.15675569008454,205.0
524.044,150.09572395908071,181.0
560.508,150.05750325065856,463.0
