0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Si:3497.3,Zr:569.8,Nb:190.8,Zn:167.5,,,,,,,,,,,,,,,,,,
Pd:3992.1,Pt:3821.8,Sn:3551.6,In:3217.6,Fe:3191.1,I_:3158.8,Sb:3048.6,S :2890.8,Zr:2866.3,Si:2711.9,K :2516.1,Ta:1215.8,Zn:1202.7,Bi:1153.9,Ge:1143.3,P :993.2,Ca:473.8,V_:278.6,,,,
Si:1860.3,,,,,,,,,,,,,,,,,,,,,
Pd:2653.5,Pt:2617.1,In:2403.1,Sn:2214.2,Zr:2081.2,I_:1994.7,Fe:1918.4,S :1786.3,Sb:1753.6,Si:1485.8,K :1377.5,Zn:727.6,Ta:699.0,Bi:645.2,P :600.1,Ge:559.3,Nb:499.0,Ca:340.3,Ni:176.4,,,
Nb:1455.9,Si:1101.9,Ni:855.8,Mo:711.5,Pt:403.6,W_:246.1,S :239.7,In:178.5,Sn:160.9,Sb:160.1,,,,,,,,,,,,
W_:1428.7,Sn:1216.5,Pt:1196.6,Zr:1168.3,Pd:1143.1,Si:1031.2,In:1022.9,I_:924.5,Sb:899.2,Nb:841.7,Fe:838.3,K :669.7,S :649.3,Ti:581.3,Ta:483.5,Ge:412.2,Bi:316.0,Zn:313.2,P :257.3,Ni:246.9,Pb:226.2,
Nb:2674.6,Sn:1238.5,Ni:1202.9,Sb:1184.4,Pd:1107.1,In:1074.1,S :1042.7,Si:856.5,I_:779.4,K :769.0,Ge:727.9,Fe:679.6,Zr:527.0,P :283.6,Al:254.6,Mo:248.9,C_:221.5,Ag:217.9,Cu:201.7,,,
Pt:1398.7,In:1351.3,Sn:1238.5,Pd:1230.2,Sb:1184.4,S :1076.6,Sb:1065.9,S :1042.7,Si:843.4,Ge:796.1,K :769.0,V_:717.9,I_:706.9,Zr:706.6,Fe:679.6,Bi:579.2,Zn:422.0,P :336.9,Ta:327.4,Al:254.6,C_:234.5,Cu:229.5
Ti:6114.6,In:1351.3,Pd:1230.2,S :1076.6,Sb:1065.9,Si:795.0,K :684.1,Nb:492.1,Bi:441.6,Zn:368.3,Ni:244.5,C_:234.3,Cu:229.5,,,,,,,,,
In:946.7,Mo:895.3,Si:763.8,Bi:420.4,Ta:399.1,Cu:194.2,,,,,,,,,,,,,,,,
Pd:852.6,Si:564.5,W_:562.7,In:546.0,Pt:518.5,Sn:428.4,Fe:400.6,Sb:327.9,Zr:254.6,K :248.1,Ta:166.3,,,,,,,,,,,
Nb:4598.3,Ni:1886.5,W_:1264.7,Pd:1103.1,Zr:977.1,In:882.2,Pt:806.9,Ta:805.5,Sn:794.0,S :793.4,Sb:707.8,Fe:683.3,I_:570.4,Si:518.9,K :477.7,Zn:270.9,Ge:215.2,P :200.4,Bi:182.4,Bi:153.9,,
I_:1032.1,W_:873.2,Pd:702.2,Pt:668.3,Nb:579.9,In:513.2,Fe:513.1,Sn:493.4,Si:484.2,S :432.2,Zr:415.3,K :412.3,Sb:349.9,Ge:200.8,Zn:198.8,P :167.3,,,,,,
Nb:1798.8,V_:1497.2,Ni:691.2,Pd:618.7,In:564.2,Si:480.4,S :474.1,Pd:401.1,Fe:357.6,K :305.5,Mo:298.2,Zr:260.5,S :246.7,Sb:245.9,Ge:194.0,Zn:189.3,Zn:154.4,P :153.1,,,,
Ti:2294.4,Nb:1469.2,Ni:642.9,Si:451.0,W_:226.4,,,,,,,,,,,,,,,,,
V_:1851.7,Ti:658.5,Si:420.5,Pd:401.1,Fe:357.6,In:346.4,K :305.5,Mo:298.2,Sb:291.5,Zr:260.5,Ta:258.6,S :246.7,Sb:245.9,Fe:216.8,Ge:194.0,K :159.0,Zn:154.4,,,,,
Mo:5601.2,Ti:832.1,In:637.7,W_:632.9,S :608.7,Sn:608.1,Pt:558.8,Zr:537.4,I_:507.0,Pd:471.3,Sb:465.1,Fe:440.7,Fe:417.0,Si:379.9,K :358.7,Bi:263.2,Nb:244.8,P :180.6,Ta:172.1,Ca:164.4,Zn:163.2,Ni:153.7
Ti:884.7,W_:775.7,Pd:541.7,Pt:483.6,In:456.8,Ta:411.5,S :395.1,Si:379.0,Fe:352.0,Zr:348.4,Sn:348.2,Sb:340.7,I_:257.1,Sb:255.4,K :231.8,Bi:171.8,,,,,,
Mo:401.7,Si:358.4,Zr:321.8,,,,,,,,,,,,,,,,,,,
Pd:593.0,Zr:525.4,Ti:506.1,Sn:467.5,S :466.6,In:452.8,I_:415.1,Si:346.0,Sb:311.6,Fe:272.3,Zn:202.2,,,,,,,,,,,
I_:1606.3,W_:694.5,In:395.3,Pt:356.5,Pd:351.3,Si:340.1,Sb:329.3,Sn:290.8,Fe:272.1,K :218.1,S :169.8,,,,,,,,,,,
Zr:526.8,I_:406.0,Si:337.8,Ti:275.3,C_:215.3,Bi:212.8,Zn:186.0,Cu:175.2,K :161.0,,,,,,,,,,,,,
S :1079.6,Sb:927.7,Ti:589.4,In:375.0,Si:324.9,Pd:248.6,Zr:247.7,Pb:208.9,Ta:205.3,Pt:168.4,W_:163.4,,,,,,,,,,,
Mo:492.8,Si:316.4,Cu:283.6,S :273.4,Zr:266.1,I_:259.5,Pb:251.4,Sb:246.7,Pt:244.6,Pd:209.3,In:183.0,P :179.9,Sn:178.1,Ge:175.1,K :158.4,I_:156.7,Fe:153.3,,,,,
Ti:656.5,C_:615.8,Nb:509.2,Sb:435.3,Si:316.2,In:254.2,Sn:205.6,W_:178.6,Pb:170.9,Ta:150.1,,,,,,,,,,,,
Cu:819.4,Ti:658.5,W_:351.4,In:346.4,Sn:306.9,Si:296.1,Sb:291.5,Pt:263.2,K :219.5,Fe:216.8,Pd:215.3,K :159.0,Zr:156.1,,,,,,,,,
Ag:6718.5,Bi:4512.6,Cr:1707.4,S :349.6,S :326.6,Si:295.5,Pt:292.0,Pd:278.7,Sn:247.5,W_:236.5,Ge:197.7,Fe:192.2,I_:180.6,V_:171.1,Ni:159.8,,,,,,,
