Wavelength,Intensity,Pixel
635.024,3497.3072563055284,1073.0
500.701,2711.9015203622985,5.0
637.475,1860.322138902587,1094.0
568.236,1485.7712526596679,524.0
506.311,1101.910414644335,47.0
504.844,1031.2008478155367,36.0
518.381,856.5437871838822,138.0
518.117,843.3799080694153,136.0
517.853,794.9668418921792,134.0
517.589,763.775355110527,132.0
656.673,564.4942261936112,1261.0
566.974,518.924686243834,514.0
571.513,484.16573650188366,550.0
571.135,480.36056267432014,547.0
587.111,450.98567911881855,675.0
570.883,420.54741092617587,545.0
553.747,379.90132523350803,410.0
594.508,378.95778414797314,735.0
587.359,358.4471146252936,677.0
553.363,345.9760818879995,407.0
549.9,340.0989767868523,380.0
554.131,337.79955717838857,413.0
564.443,324.87142510996637,494.0
520.36,316.3620660172528,153.0
563.936,316.18118039115507,490.0
570.632,296.14420307159344,543.0
521.15,295.47214369905305,159.0
593.648,263.88725212030386,728.0
521.677,257.81718638416714,163.0
521.414,254.33688530832114,161.0
593.279,250.17471440218105,725.0
563.302,248.69671900633693,485.0
528.896,241.72430134894785,218.0
585.377,236.69222859005868,661.0
508.973,234.60911569674863,67.0
514.812,234.04409074007162,111.0
502.974,227.32895308309526,22.0
507.243,225.41591666444037,54.0
514.017,224.6805164739253,105.0
636.542,221.5561439161056,1086.0
509.372,220.3921424982036,70.0
530.857,219.23378862519348,233.0
504.176,210.7246122485558,31.0
574.402,210.6269316487933,573.0
565.33,201.4827133990775,501.0
511.763,200.53956918132644,88.0
592.91,200.2262374618258,722.0
520.887,198.3599960089723,157.0
596.592,197.0344566603344,752.0
524.044,195.5867786012559,181.0
541.52,194.69695695852533,315.0
512.161,191.7132144974712,91.0
562.541,191.25767946925953,479.0
565.076,189.8434895425935,499.0
508.441,188.1300853509456,63.0
599.039,185.9667512113865,772.0
511.232,183.6486753332465,84.0
510.303,178.8638917105709,77.0
546.04,178.51463476385106,350.0
523.387,178.4479124181844,176.0
529.419,174.59336874423934,222.0
538.928,173.16556128094817,295.0
537.63,170.1318564144931,285.0
598.55,167.38350232050107,768.0
530.073,167.085085394825,227.0
550.927,167.07552368680444,388.0
513.752,165.83615634571834,103.0
591.803,165.05961456557452,713.0
599.527,163.96592447522653,776.0
545.396,162.80921219734682,345.0
530.334,162.61969035272705,229.0
554.642,161.0793535148805,417.0
552.851,160.90852587787958,403.0
528.372,160.7070759135786,214.0
545.653,159.05656257023657,347.0
529.681,158.7989876884103,224.0
584.881,158.34752608181952,657.0
503.375,158.144701897887,25.0
548.487,156.08638947963482,369.0
527.455,155.75981737836355,207.0
587.854,155.28861064608145,681.0
537.89,155.00448530358517,287.0
509.638,154.88363165407463,72.0
602.574,154.83468171825052,801.0
534.769,154.53477092096182,263.0
580.404,154.30007220619427,621.0
563.683,153.80724852439744,488.0
552.338,153.69718865421783,399.0
587.606,152.8398483171768,679.0
544.75,150.867737471257,340.0
648.804,150.53521388919262,1192.0
532.163,150.40910239453478,243.0
