0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Pd:3992.1,Pt:3821.8,Sn:3551.6,In:3217.6,Fe:3191.1,I_:3158.8,Sb:3048.6,S :2890.8,Zr:2866.3,Si:2711.9,K :2516.1,Ta:1215.8,Zn:1202.7,Bi:1153.9,Ge:1143.3,P :993.2,Pb:745.3,Ca:473.8,,,,,,,,,
Sn:2840.4,V_:266.9,Ti:211.0,,,,,,,,,,,,,,,,,,,,,,,,
Pd:2653.5,Pt:2617.1,In:2403.1,Sn:2214.2,Zr:2081.2,I_:1994.7,Fe:1918.4,S :1786.3,Sb:1753.6,Si:1485.8,K :1377.5,Zn:727.6,Ta:699.0,Bi:645.2,P :600.1,Ge:559.3,Nb:499.0,Ca:340.3,Ni:176.4,,,,,,,,
Ca:8549.3,Sn:1300.3,Nb:530.3,Ti:335.6,Pb:250.7,In:227.7,Pb:217.7,S :215.7,Sb:158.4,,,,,,,,,,,,,,,,,,
Pt:1398.7,Sn:1238.5,Sb:1184.4,Pd:1107.1,In:1074.1,S :1042.7,Si:856.5,Si:843.4,Ge:796.1,I_:779.4,K :769.0,Ge:727.9,V_:717.9,I_:706.9,Zr:706.6,Fe:679.6,Bi:579.2,Zr:527.0,Zn:422.0,P :336.9,Ta:327.4,P :283.6,Al:254.6,C_:234.5,C_:221.5,Ag:217.9,Cu:201.7
Sn:1227.3,Ti:221.8,Si:154.3,,,,,,,,,,,,,,,,,,,,,,,,
W_:1428.7,Sn:1216.5,Pt:1196.6,Zr:1168.3,Pd:1143.1,Si:1031.2,In:1022.9,I_:924.5,Sb:899.2,Nb:841.7,Fe:838.3,K :669.7,S :649.3,Ti:581.3,Ta:483.5,Ge:412.2,Bi:316.0,Zn:313.2,P :257.3,Ni:246.9,Pb:226.2,,,,,,
Sn:870.7,Nb:434.5,Ca:290.2,S :262.2,Ni:246.2,,,,,,,,,,,,,,,,,,,,,,
Nb:4598.3,Ni:1886.5,W_:1264.7,Pd:1103.1,Zr:977.1,In:882.2,Pt:806.9,Ta:805.5,Sn:794.0,S :793.4,Sb:707.8,Fe:683.3,I_:570.4,Si:518.9,K :477.7,Zn:270.9,Ge:215.2,P :200.4,Bi:182.4,Bi:153.9,,,,,,,
Sn:680.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo:971.0,Sn:671.2,Pb:243.9,W_:223.6,Ca:169.6,Si:153.8,,,,,,,,,,,,,,,,,,,,,
Mo:5601.2,Ti:832.1,In:637.7,W_:632.9,S :608.7,Sn:608.1,Pt:558.8,Zr:537.4,I_:507.0,Pd:471.3,Sb:465.1,Fe:440.7,Fe:417.0,Si:379.9,K :358.7,Bi:263.2,Nb:244.8,P :180.6,Ta:172.1,Ca:164.4,Zn:163.2,Ni:153.7,,,,,
I_:1032.1,W_:873.2,Pd:702.2,Pt:668.3,Pd:618.7,Nb:579.9,In:564.2,In:513.2,Fe:513.1,Sn:493.4,Si:484.2,S :474.1,S :432.2,Zr:415.3,K :412.3,Sb:349.9,Ge:200.8,Zn:198.8,Zn:189.3,P :167.3,P :153.1,,,,,,
Pd:593.0,Pt:558.8,Zr:525.4,Sn:467.5,In:452.8,Fe:440.7,Si:346.0,Sb:311.6,Nb:244.8,Zn:202.2,P :180.6,,,,,,,,,,,,,,,,
Nb:1769.9,Ni:979.2,Mo:643.7,K :493.1,Sn:433.8,Ti:262.9,Fe:236.1,Ta:206.7,W_:182.9,Pb:180.1,Si:178.9,Pt:176.2,Zr:162.0,,,,,,,,,,,,,,
Pd:852.6,Si:564.5,W_:562.7,In:546.0,Pt:518.5,Sn:428.4,Fe:400.6,Sb:327.9,Zr:254.6,K :248.1,Ta:166.3,,,,,,,,,,,,,,,,
Pd:852.6,W_:562.7,Fe:400.6,Sn:400.4,K :248.1,K :215.3,Ti:213.1,Zr:209.3,Ta:166.3,,,,,,,,,,,,,,,,,,
I_:1606.3,Ti:946.0,In:395.3,Sn:383.6,Pd:351.3,Sb:235.9,Ca:218.4,K :218.1,Zr:205.0,S :169.8,P :168.9,,,,,,,,,,,,,,,,
Ti:884.7,W_:775.7,Pd:541.7,Pt:483.6,In:456.8,Ta:411.5,S :395.1,Si:379.0,Fe:352.0,Zr:348.4,Sn:348.2,Sb:340.7,I_:257.1,Sb:255.4,K :231.8,Bi:171.8,,,,,,,,,,,
Al:856.1,K :489.6,W_:425.7,Sn:346.7,S :224.6,S :221.9,Ti:166.6,,,,,,,,,,,,,,,,,,,,
Nb:1050.4,Ni:569.7,Sn:340.7,Zr:313.3,S :170.2,Ti:166.4,,,,,,,,,,,,,,,,,,,,,
Ti:4453.7,Ca:3873.4,Ta:349.0,Sn:319.4,I_:291.4,Nb:264.0,Fe:154.1,,,,,,,,,,,,,,,,,,,,
Cu:819.4,Ti:658.5,W_:351.4,In:346.4,Sn:306.9,Si:296.1,Sb:291.5,Pt:263.2,K :219.5,Fe:216.8,Pd:215.3,K :159.0,Zr:156.1,,,,,,,,,,,,,,
I_:1627.4,S :397.3,Sn:301.6,Ti:230.3,Zr:227.8,W_:199.4,In:158.6,P :152.2,,,,,,,,,,,,,,,,,,,
K :479.9,Cu:394.1,Sn:298.6,In:221.9,Fe:194.1,Pt:170.5,Pd:168.3,S :167.9,Ta:156.1,,,,,,,,,,,,,,,,,,
Ti:775.4,Cr:717.9,Sn:293.9,Zr:193.0,W_:158.6,,,,,,,,,,,,,,,,,,,,,,
W_:694.5,Pt:356.5,Si:340.1,Sb:329.3,Sn:290.8,Fe:272.1,Zr:175.7,P :173.7,Ag:163.7,,,,,,,,,,,,,,,,,,
Ti:3083.1,Pd:339.5,Pt:283.3,Zr:282.3,In:281.9,Sb:272.8,Sn:272.6,K :257.0,I_:154.2,W_:152.8,Fe:151.3,,,,,,,,,,,,,,,,
Nb:797.9,Ni:443.6,S :418.1,Pd:339.5,In:301.3,Pt:283.3,Sb:275.7,Sn:268.3,Zr:234.1,Si:227.3,K :207.3,I_:167.2,W_:152.8,Fe:151.3,,,,,,,,,,,,,
Nb:378.4,Pd:369.3,Ni:289.3,Sn:265.9,Mo:239.2,Sb:222.1,Si:161.1,W_:159.3,Fe:157.4,Bi:151.9,,,,,,,,,,,,,,,,,
Cu:5098.6,Nb:1830.0,Ti:1612.7,Ni:1006.4,S :297.5,Fe:291.5,In:281.2,Sn:253.0,Pd:221.9,Pt:206.7,Ge:172.9,Zr:158.8,,,,,,,,,,,,,,,
W_:282.5,Sn:251.8,In:241.1,Fe:230.9,Pd:225.1,In:198.7,I_:192.3,Pt:166.6,Pt:166.4,Sb:160.3,Zr:157.9,Si:150.5,,,,,,,,,,,,,,,
Pd:377.4,W_:358.1,Sb:289.1,Pt:273.8,Si:263.9,Sn:250.4,Fe:244.1,S :227.2,In:212.8,Ta:212.0,I_:200.0,Ti:170.4,K :150.9,,,,,,,,,,,,,,
Ag:6718.5,Bi:4512.6,Zr:493.7,S :349.6,Si:295.5,Pt:292.0,Pd:278.7,Sb:266.5,Si:254.3,Sn:247.5,Ge:197.7,Fe:192.2,I_:180.6,V_:171.1,Ge:169.7,Ni:159.8,,,,,,,,,,,
Ti:494.5,Pt:352.2,Nb:294.5,Fe:245.1,Sn:241.3,Pd:197.8,S :197.0,Ta:186.4,In:165.0,,,,,,,,,,,,,,,,,,
Ti:1323.3,S :832.0,Nb:746.0,V_:605.8,Ni:471.4,Sn:240.5,W_:162.9,Pd:159.9,I_:152.8,,,,,,,,,,,,,,,,,,
Ti:996.9,Nb:599.1,Ni:472.2,In:350.2,Co:306.9,Sn:237.2,Fe:222.9,Pd:219.9,Ag:207.4,W_:178.9,Sb:171.5,Sb:169.8,Ca:165.0,Si:156.1,,,,,,,,,,,,,
Ti:1250.6,Nb:913.9,Ni:441.5,W_:321.4,Ta:309.7,K :304.9,Sn:236.9,Pd:236.2,Zr:190.2,Pt:174.2,In:168.9,Sb:165.8,,,,,,,,,,,,,,,
Pd:516.5,Ta:513.0,Sb:427.9,Bi:366.3,W_:310.2,Sn:236.5,Sb:232.3,S :214.0,In:212.8,Ge:206.1,Si:191.7,Pb:185.7,Pt:181.5,I_:168.0,Zn:154.0,,,,,,,,,,,,
V_:557.3,W_:312.0,Co:272.3,Ta:265.7,Sn:226.9,In:224.8,Sb:191.1,Ta:181.0,Cu:160.1,Fe:155.6,,,,,,,,,,,,,,,,,
Ti:721.3,Sn:225.7,Pt:194.8,Pd:189.9,,,,,,,,,,,,,,,,,,,,,,,
Zr:3282.5,Ti:1137.2,Nb:480.2,Sb:477.3,Pd:368.5,I_:228.6,Sn:224.6,Ni:220.1,Si:200.5,W_:161.9,,,,,,,,,,,,,,,,,
Nb:797.9,S :418.1,Ni:266.4,Zr:234.1,Sn:216.8,Fe:214.9,Pt:203.3,Zr:200.3,Si:158.1,,,,,,,,,,,,,,,,,,
