Wavelength,Intensity,Pixel
500.835,3551.583672553752,6.0
645.7,2840.3566168738043,1165.0
568.363,2214.2416326292696,525.0
559.363,1300.2527305482581,454.0
518.249,1238.5198344236796,137.0
580.528,1227.2806092277915,622.0
504.844,1216.529173030176,36.0
556.686,870.6648584860577,433.0
566.974,793.9995736817746,514.0
684.746,680.6097376536031,1514.0
563.683,671.1715554015846,488.0
553.747,608.1245882727007,410.0
571.387,493.42644089636997,549.0
553.491,467.4922458816982,408.0
510.303,433.76258842034076,77.0
656.673,428.37480585325966,1261.0
656.9,400.4338988609434,1263.0
550.157,383.55502520724076,382.0
594.508,348.2027303905843,735.0
510.701,346.7059186570077,80.0
533.858,340.6699161148299,256.0
560.254,319.3818657507618,461.0
570.632,306.8625368174917,543.0
534.248,301.63314043375794,259.0
507.909,298.63923673242516,59.0
541.261,293.88220932280456,313.0
549.772,290.75187506312614,379.0
502.707,272.5902207346044,20.0
502.974,268.27832463732193,22.0
554.642,265.9159443563876,417.0
515.606,252.99702930102285,117.0
648.689,251.80934974097727,1191.0
593.525,250.3516295520094,727.0
521.282,247.4531341451093,160.0
548.101,241.27010202910242,366.0
560.89,240.4695358065983,466.0
548.615,237.1815682428769,370.0
546.298,236.9442676479939,352.0
512.029,236.5379015039598,90.0
535.81,226.87346111206443,271.0
577.157,225.66170278029313,595.0
511.631,224.59774877729978,87.0
503.242,216.83857091843674,24.0
521.808,214.8095583930717,164.0
531.64,212.77078658501705,239.0
589.336,212.6591979847317,693.0
565.33,211.5980255601189,501.0
540.095,208.5283970461278,304.0
575.029,207.19568203268045,578.0
647.311,206.96267305042738,1179.0
563.936,205.61202929323827,490.0
525.226,204.94333477151486,190.0
514.415,204.87360528573845,108.0
536.981,200.70090458935647,280.0
525.62,199.53634352782592,193.0
538.409,193.50850213035665,291.0
561.906,193.05483861059838,474.0
509.372,187.00873421482174,70.0
593.033,186.81895413169423,723.0
516.135,186.08831879841455,121.0
661.307,185.74525615452558,1302.0
508.175,185.05476289004037,61.0
504.043,184.98980487076187,30.0
539.706,184.04271356321442,301.0
503.642,182.9688788168305,27.0
520.755,180.35262213733768,156.0
532.163,179.63576669180384,243.0
520.36,178.0793084037905,153.0
522.203,177.63782563909263,167.0
647.771,176.5399737345483,1183.0
537.63,175.4014910921087,285.0
552.722,174.26196326796617,402.0
515.209,170.87701887522599,114.0
542.167,169.96612043064124,320.0
519.701,168.45912218650847,148.0
578.657,168.33869504532777,607.0
548.872,166.76943031527117,372.0
528.896,165.07292450897694,218.0
540.484,164.6758981695957,307.0
648.23,163.24356258664784,1187.0
558.599,162.38637027090954,448.0
529.419,161.83831942956567,222.0
529.942,160.93409259780856,226.0
506.311,160.90422613037117,47.0
532.945,160.76049614992007,249.0
507.243,159.82582056144474,54.0
529.681,158.41369991867123,224.0
647.541,157.02392522767514,1181.0
716.164,156.76389309002138,1812.0
575.53,153.90958923682138,582.0
546.685,153.641710846583,355.0
573.523,153.23074291001012,566.0
648.0,152.98219890167775,1185.0
595.121,152.73762968068877,740.0
537.24,152.57558560527013,282.0
516.796,152.23542963703585,126.0
561.398,150.86455422351628,470.0
575.279,150.86391389369328,580.0
514.944,150.78133793069355,112.0
