0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Ta:1315.8,Ti:344.3,In:181.7,W_:170.5,S :165.1,Pd:164.8,,,,,,,,,,,,,,,,
Pd:3992.1,Pt:3821.8,Sn:3551.6,In:3217.6,Fe:3191.1,I_:3158.8,Sb:3048.6,S :2890.8,Zr:2866.3,Si:2711.9,K :2516.1,Ta:1215.8,Zn:1202.7,Bi:1153.9,Ge:1143.3,P :993.2,Pb:745.3,Ca:473.8,,,,
Ta:997.7,Nb:360.6,Ni:276.4,W_:166.9,Zr:164.4,S :150.7,,,,,,,,,,,,,,,,
Ta:869.8,Fe:814.0,V_:752.8,W_:277.4,Ni:229.4,Pb:191.4,In:171.7,Ti:163.0,,,,,,,,,,,,,,
Ta:839.2,I_:298.5,S :288.7,,,,,,,,,,,,,,,,,,,
Nb:4598.3,Ni:1886.5,W_:1264.7,Pd:1103.1,Zr:977.1,In:882.2,Pt:806.9,Ta:805.5,Sn:794.0,S :793.4,Sb:707.8,Fe:683.3,I_:570.4,Si:518.9,K :477.7,Zn:270.9,Ge:215.2,P :200.4,Bi:182.4,Bi:153.9,,
Ta:740.6,Ti:485.7,Ti:472.3,Zr:411.6,,,,,,,,,,,,,,,,,,
Nb:755.6,Ta:739.7,Ni:288.3,V_:174.7,,,,,,,,,,,,,,,,,,
Ta:716.8,S :646.8,V_:493.2,Pt:242.2,Zr:221.0,Si:189.8,Fe:179.4,Bi:151.0,,,,,,,,,,,,,,
Ca:2159.7,Ta:714.4,Ti:270.3,,,,,,,,,,,,,,,,,,,
Ta:712.9,,,,,,,,,,,,,,,,,,,,,
Pd:2653.5,Pt:2617.1,In:2403.1,Sn:2214.2,Zr:2081.2,I_:1994.7,Fe:1918.4,S :1786.3,Sb:1753.6,Si:1485.8,K :1377.5,Zn:727.6,Ta:699.0,Bi:645.2,P :600.1,Ge:559.3,Nb:499.0,Ca:340.3,Ni:176.4,,,
Nb:774.5,Ta:623.3,Ni:323.9,,,,,,,,,,,,,,,,,,,
Ta:583.7,,,,,,,,,,,,,,,,,,,,,
Zr:756.3,Ta:581.0,Pt:293.9,In:190.9,Sn:186.1,S :169.3,,,,,,,,,,,,,,,,
Ti:6163.5,Nb:1267.2,Ni:654.1,Ta:558.9,W_:340.6,Si:210.7,Sn:185.0,Pb:184.8,Zr:179.5,I_:156.0,,,,,,,,,,,,
Pd:516.5,Ta:513.0,Sb:427.9,Bi:366.3,W_:310.2,Sn:236.5,Sb:232.3,S :214.0,In:212.8,Ge:206.1,Si:191.7,Pb:185.7,Pt:181.5,I_:168.0,Zn:154.0,,,,,,,
Ta:513.0,V_:295.4,Zr:242.8,Ca:154.0,,,,,,,,,,,,,,,,,,
Ta:504.7,W_:340.9,W_:263.6,Si:224.7,I_:219.9,Pd:182.6,,,,,,,,,,,,,,,,
Ta:503.6,Ti:223.9,,,,,,,,,,,,,,,,,,,,
Nb:1646.2,Ni:535.1,Ta:499.1,,,,,,,,,,,,,,,,,,,
Nb:1843.2,Mo:976.8,Ni:839.9,Ta:493.3,Cu:386.0,Cu:372.4,Ca:283.3,Bi:275.6,I_:248.9,Bi:233.9,Si:195.6,Sb:175.7,Ag:173.9,Co:170.2,Ag:163.4,Sb:150.1,,,,,,
W_:1428.7,Sn:1216.5,Pt:1196.6,Zr:1168.3,Pd:1143.1,Si:1031.2,In:1022.9,I_:924.5,Sb:899.2,Nb:841.7,Fe:838.3,K :669.7,S :649.3,Ti:581.3,Ta:483.5,Ge:412.2,Bi:316.0,Zn:313.2,P :257.3,Ni:246.9,Pb:226.2,
Ta:482.4,W_:249.0,,,,,,,,,,,,,,,,,,,,
Ti:859.5,Ta:469.9,V_:212.9,W_:159.9,,,,,,,,,,,,,,,,,,
Ta:461.4,Mo:262.2,S :248.8,Nb:227.5,Ni:174.9,Sb:160.3,Si:153.7,,,,,,,,,,,,,,,
Ta:460.3,Ti:246.5,Nb:244.8,,,,,,,,,,,,,,,,,,,
Ta:454.9,Pt:209.2,Pd:206.6,W_:172.7,,,,,,,,,,,,,,,,,,
Ta:439.5,,,,,,,,,,,,,,,,,,,,,
Ti:3320.6,W_:945.2,Ta:439.1,Nb:358.6,Ni:292.1,,,,,,,,,,,,,,,,,
Ta:429.6,,,,,,,,,,,,,,,,,,,,,
W_:775.7,Ti:552.3,Pd:496.9,Pt:483.6,In:456.8,Ta:411.5,S :395.1,Si:379.0,Fe:352.0,Zr:348.4,Sn:348.2,S :318.6,Fe:258.7,I_:257.1,Sb:255.4,K :231.8,,,,,,
In:946.7,Mo:895.3,Si:763.8,Bi:420.4,Ta:399.1,Cu:194.2,,,,,,,,,,,,,,,,
Cu:3196.6,Ta:368.5,Nb:357.4,Ni:301.6,Ti:191.1,Sn:168.3,W_:162.1,I_:155.9,Pd:150.6,,,,,,,,,,,,,
Cu:5098.6,Nb:1830.0,Ni:1006.4,Zr:756.3,Ta:360.9,Pt:293.9,In:177.1,W_:173.8,Fe:159.7,,,,,,,,,,,,,
Nb:480.2,Sb:397.7,Pd:368.5,Mo:364.5,Ta:353.9,Ni:220.1,Si:183.6,Fe:169.8,Zn:156.6,,,,,,,,,,,,,
Ti:4453.7,Ca:3873.4,Ta:349.0,Sn:319.4,I_:291.4,Nb:264.0,Zr:180.8,Fe:154.1,Sb:150.1,,,,,,,,,,,,,
Bi:2281.3,Nb:1097.8,Ni:507.6,Al:498.7,Sb:461.9,Ta:347.8,I_:282.0,S :246.4,Si:234.0,Pd:223.3,In:187.2,W_:167.1,K :163.0,Pt:162.1,,,,,,,,
Nb:4740.9,Zr:3896.9,Ca:2356.8,Ni:1716.7,Ta:337.6,W_:329.6,Ti:272.9,In:219.5,Fe:162.8,,,,,,,,,,,,,
Ta:331.5,Ti:228.6,,,,,,,,,,,,,,,,,,,,
Pt:1398.7,In:1351.3,Sn:1238.5,Pd:1230.2,Sb:1184.4,S :1076.6,Sb:1065.9,S :1042.7,Si:843.4,Ge:796.1,K :769.0,V_:717.9,I_:706.9,Zr:706.6,Fe:679.6,Bi:579.2,Zn:422.0,P :336.9,Ta:327.4,Al:254.6,C_:234.5,Cu:229.5
I_:1486.2,S :618.5,Fe:530.0,Ta:324.3,K :223.7,Ti:213.7,Pt:207.6,Co:206.0,W_:192.2,P :189.5,Pd:176.4,Pb:174.0,Si:154.5,,,,,,,,,
Nb:642.2,I_:548.3,Ni:350.0,Ta:323.2,V_:206.9,,,,,,,,,,,,,,,,,
K :893.3,S :523.1,W_:388.4,S :374.1,Ta:322.3,Si:257.8,Pd:257.7,Co:245.7,In:237.3,V_:224.3,Sn:214.8,Zr:205.5,Pt:193.3,Zr:177.0,Ni:172.2,Ge:169.8,Fe:157.0,Mo:151.2,,,,
I_:892.1,Ti:804.1,V_:321.8,Ta:313.7,Mo:261.2,Fe:246.7,W_:226.0,Pd:202.5,W_:157.2,,,,,,,,,,,,,
Ta:313.3,,,,,,,,,,,,,,,,,,,,,
Ti:1250.6,Ni:441.5,Nb:340.2,Ta:309.7,Sn:236.9,In:226.8,Pt:174.2,In:168.9,Sb:165.8,,,,,,,,,,,,,
Cu:8747.5,Nb:1427.2,Ti:1382.3,K :1088.2,Ni:700.2,Mo:351.1,Ta:303.0,Pd:259.0,V_:256.8,S :241.6,Pt:178.8,Sn:177.6,Pb:176.2,Zr:156.6,,,,,,,,
Ta:303.0,Ni:175.9,Nb:170.7,,,,,,,,,,,,,,,,,,,
Ti:334.9,Ta:287.8,Nb:260.3,,,,,,,,,,,,,,,,,,,
Ti:843.0,K :296.9,Ta:287.1,W_:270.2,Nb:229.9,S :178.0,,,,,,,,,,,,,,,,
Ge:1110.9,Ti:312.0,Ta:286.9,Nb:259.1,Sb:180.9,Si:154.8,,,,,,,,,,,,,,,,
Ta:286.8,,,,,,,,,,,,,,,,,,,,,
Cu:1202.7,Pd:1196.0,Nb:842.0,Nb:653.6,Ni:407.4,Zr:337.7,Ni:323.9,P :299.6,Ta:284.2,S :281.5,Mo:196.1,W_:185.5,Si:167.1,Sn:160.9,I_:157.7,,,,,,,
Zr:282.1,Ta:281.9,Sb:208.3,Nb:192.4,,,,,,,,,,,,,,,,,,
Ta:276.8,,,,,,,,,,,,,,,,,,,,,
Cd:8882.9,Ti:1110.1,Nb:367.2,Bi:332.2,Ta:274.5,Si:220.4,Ni:188.0,Sn:187.0,K :179.7,In:179.3,C_:179.3,W_:170.4,,,,,,,,,,
W_:1056.9,Ti:732.8,Ta:272.6,Si:225.4,S :217.6,Fe:179.6,Pt:179.4,Sn:159.8,,,,,,,,,,,,,,
V_:1701.1,Cu:819.4,Nb:387.0,Ta:271.6,Pt:263.2,K :219.5,Pd:215.3,I_:197.8,Pt:186.5,In:163.2,,,,,,,,,,,,
Nb:367.2,Mo:308.7,Ta:270.8,K :250.3,W_:227.0,Si:220.4,Pb:192.0,Sn:187.0,C_:179.3,Pd:160.0,Si:154.9,,,,,,,,,,,
Ta:270.2,Ca:198.9,W_:159.3,,,,,,,,,,,,,,,,,,,
Nb:1123.6,V_:557.3,W_:312.0,Ta:265.7,Sn:226.9,In:224.8,Cu:160.1,Ge:157.6,Fe:155.6,,,,,,,,,,,,,
Ca:394.7,Zr:375.6,Ta:262.3,S :245.9,Mo:213.6,Si:191.3,S :190.4,K :181.8,,,,,,,,,,,,,,
V_:1851.7,Ti:658.5,Si:420.5,Pd:401.1,Fe:357.6,In:346.4,K :305.5,Mo:298.2,Sb:291.5,Zr:260.5,Ta:258.6,S :246.7,Sb:245.9,Fe:216.8,Ge:194.0,K :159.0,Zn:154.4,,,,,
Ca:2453.8,Ta:250.4,,,,,,,,,,,,,,,,,,,,
Ta:240.0,Ti:194.5,Ti:160.9,,,,,,,,,,,,,,,,,,,
V_:247.8,Ta:237.8,Zr:195.8,,,,,,,,,,,,,,,,,,,
