Wavelength,Intensity,Pixel
649.033,1315.7654074461032,1194.0
500.835,1215.7804085770513,6.0
605.004,997.7233053869918,821.0
540.743,869.7923107046286,309.0
594.876,839.2008496684243,738.0
566.974,805.5486175900596,514.0
588.224,740.6149598640782,684.0
643.508,739.6721284794237,1146.0
565.076,716.8053912080159,499.0
645.47,714.414957547996,1163.0
631.392,712.9021785439011,1042.0
568.236,699.0091439084772,524.0
600.138,623.311250296123,781.0
581.525,583.710656039874,630.0
516.135,580.9762525246606,121.0
504.176,558.8771588634345,31.0
512.029,513.0310687765741,90.0
626.089,512.976594842436,997.0
514.15,504.6921298148427,106.0
651.894,503.5981385381218,1219.0
668.029,499.0722724744969,1362.0
524.176,493.2651674517101,182.0
504.844,483.50242598679233,36.0
588.719,482.4048438810687,688.0
627.27,469.9376703077494,1007.0
552.338,461.37697774034996,399.0
687.991,460.2712991272498,1544.0
661.644,454.9432419333275,1305.0
693.253,439.47486808812016,1593.0
501.637,439.0930855133165,12.0
687.019,429.6426914624768,1535.0
594.385,411.52897836639977,734.0
517.589,399.0890731087802,132.0
578.532,368.46834277965263,606.0
515.871,360.87184915533953,119.0
511.365,353.94452100033914,85.0
560.381,349.02236822063196,462.0
514.68,347.7682629827709,110.0
535.42,337.64642004133657,268.0
639.452,331.47814228341986,1111.0
518.117,327.4170894225217,136.0
534.639,324.258170920295,262.0
578.157,323.1560432734641,603.0
521.808,322.34604699743477,164.0
543.976,313.7042630212327,334.0
681.81,313.2680520127692,1487.0
546.427,309.7246182111003,353.0
522.335,303.03563932680845,168.0
657.919,302.98485605317273,1272.0
592.295,287.8386448632541,717.0
539.317,287.11146543366704,298.0
602.574,286.8623426975232,801.0
697.087,286.78835159386466,1629.0
529.942,284.18636790363144,226.0
610.567,281.9344956720529,867.0
690.682,276.8206163677639,1569.0
509.239,274.51298165454546,69.0
507.243,272.5878438958707,54.0
570.38,271.62108167085717,541.0
509.505,270.784887320337,71.0
615.854,270.2141717161437,911.0
535.94,265.7265422561609,272.0
562.541,262.2742782071141,479.0
570.883,258.6085080912967,545.0
715.345,250.4056621760539,1804.0
662.544,239.96648680722797,1313.0
650.979,237.76408061359507,1211.0
533.206,224.38036571258908,251.0
513.752,223.7600166454622,103.0
558.854,220.88414369985958,450.0
532.293,220.03998283834926,244.0
542.296,217.28017348155117,321.0
550.414,216.37252452443045,384.0
520.887,216.3302111633002,157.0
644.893,213.58829173391587,1158.0
593.525,212.00956273759994,727.0
614.895,210.0983926220108,903.0
515.209,209.49248080012512,114.0
572.016,208.91451755366597,554.0
523.518,208.39507807018572,177.0
510.303,206.7238466206627,77.0
564.443,205.26103197383418,494.0
547.715,205.01723365104954,363.0
506.044,204.26148820031813,45.0
636.075,204.14861035406113,1082.0
569.246,199.94756669906974,532.0
590.694,197.76386466489294,704.0
735.12,191.70676822574137,2001.0
636.542,188.02706660739636,1086.0
547.972,186.37325398286976,365.0
595.612,185.19152103683655,744.0
535.68,181.01505078139598,270.0
730.578,178.44635781554302,1955.0
549.515,176.11182319600994,377.0
528.503,175.89404931386707,215.0
585.377,175.123886395073,661.0
516.532,173.46249136494953,124.0
584.757,173.4266328440633,656.0
553.875,172.08465509257348,411.0
628.568,170.41433470591687,1018.0
656.786,166.27677677995052,1262.0
634.556,165.60760064592978,1069.0
575.655,165.398754013926,583.0
632.917,164.26911770897163,1055.0
701.106,162.4885395696774,1667.0
516.796,161.816138533899,126.0
735.709,160.7988016485574,2007.0
717.697,156.52413351892613,1827.0
507.909,156.1238543918871,59.0
526.669,155.76080706068115,201.0
576.031,153.94027498041623,586.0
674.572,152.95158299925947,1421.0
537.76,152.91048643074282,286.0
563.936,150.07851829911215,490.0
